match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
42918,13432,Luccas Lira,8514,Fellipe Andrew,L,0,Pts: 8x1,ADGS Miami,94KG,SF,2023
43190,13432,Luccas Lira,11027,Pedro Rocha,L,0,Guillotine,NoGi Pan,ABS,SF,2023
43290,13432,Luccas Lira,8116,Dante Leon,L,0,"Pts: 0x0, Adv",NoGi Pan,97KG,SF,2023
41590,13432,Luccas Lira,,Fayyaz Akbari,W,1,Inside heel hook,Orlando SMNGO,91KG,RR,2023
41591,13432,Luccas Lira,,Fayyaz Akbari,W,1,Inside heel hook,Orlando SMNGO,91KG,F,2023
42390,13432,Luccas Lira,,Sean Yadimarco,W,1,Referee Decision,Blue Collar,NA,SPF,2023
42914,13432,Luccas Lira,,Carlos Cabrera,W,1,Pts: 10x1,ADGS Miami,94KG,4F,2023
42924,13432,Luccas Lira,,Thiago Andrade,W,1,Pts: 3x0,ADGS Miami,94KG,RPC,2023
42925,13432,Luccas Lira,12267,Lucas Norat,W,1,Pts: 2x0,ADGS Miami,94KG,3RD,2023
43177,13432,Luccas Lira,,Max Li,W,1,Pts: 6x2,NoGi Pan,ABS,R1,2023
43182,13432,Luccas Lira,8116,Dante Leon,W,1,Pts: 2x0,NoGi Pan,ABS,8F,2023
43189,13432,Luccas Lira,,Jose Inacio,W,1,Referee Decision,NoGi Pan,ABS,4F,2023
43284,13432,Luccas Lira,,Marcos Carrozzino,W,1,"Pts: 0x0, Pen",NoGi Pan,97KG,R1,2023
43287,13432,Luccas Lira,8686,Fellipe Trovo,W,1,Pts: 28x2,NoGi Pan,97KG,4F,2023
