match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
41072,13496,Helder Junior,12084,G. Lambertucci,L,0,Cross choke,Betim Open,100KG,4F,2023
41859,13496,Helder Junior,8195,Gutemberg Pereira,L,0,Pts: 8x2,Vitoria Open,ABS,F,2023
42532,13496,Helder Junior,10817,Gabriel Henrique,L,0,"Pts: 0x0, Adv",Desafio HG,ABS,F,2023
42809,13496,Helder Junior,10174,Rafael Paganini,L,0,"Pts: 2x2, Adv",Sul Americano,ABS,4F,2023
41078,13496,Helder Junior,,Walisson Pereira,W,1,Straight ankle lock,Betim Open,ABS,R1,2023
41079,13496,Helder Junior,,Fernando Favari,W,1,Pts: 11x10,Betim Open,ABS,4F,2023
41084,13496,Helder Junior,,Joao Leal,W,1,Straight ankle lock,Betim Open,ABS,SF,2023
41085,13496,Helder Junior,,Leonardo Andrade,W,1,Kneebar,Betim Open,ABS,F,2023
41841,13496,Helder Junior,,Richardson Ferreira,W,1,Armbar,Vitoria Open,O100KG,4F,2023
41843,13496,Helder Junior,,Raphael Santos,W,1,Referee Decision,Vitoria Open,O100KG,SF,2023
41846,13496,Helder Junior,,Diego Heirich,W,1,Straight ankle lock,Vitoria Open,ABS,8F,2023
41855,13496,Helder Junior,,Wellington Marques,W,1,Straight ankle lock,Vitoria Open,ABS,4F,2023
41857,13496,Helder Junior,,Raphael Santos,W,1,Choke,Vitoria Open,ABS,SF,2023
42526,13496,Helder Junior,,Joao Pedro,W,1,Toe hold,Desafio HG,ABS,R1,2023
42527,13496,Helder Junior,,Henrique Finger,W,1,Pts: 4x2,Desafio HG,ABS,4F,2023
42530,13496,Helder Junior,,Joao Eduardo,W,1,Straight ankle lock,Desafio HG,ABS,SF,2023
42779,13496,Helder Junior,,Eldeson Silva,W,1,Toe hold,Sul Americano,O100KG,R1,2023
42786,13496,Helder Junior,,Matheus Fernandes,W,1,Toe hold,Sul Americano,O100KG,4F,2023
42789,13496,Helder Junior,,Sean Goolsby,W,1,Straight ankle lock,Sul Americano,O100KG,SF,2023
42793,13496,Helder Junior,,Eldeson Silva,W,1,Toe hold,Sul Americano,ABS,R1,2023
