match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
2180,1604,Nivaldo Oliveira,2107,Otavio Sousa,L,0,Adv,Pan American,88KG,SF,2009
2703,1604,Nivaldo Oliveira,477,Tarsis Humphreys,L,0,Referee Decision,World Champ.,88KG,4F,2010
2774,1604,Nivaldo Oliveira,188,Augusto Mendes,L,0,Pts: 4x2,South American,ABS,SF,2010
2963,1604,Nivaldo Oliveira,138,Sergio Moraes,L,0,Pts: 2x0,Brasileiro,88KG,F,2011
3402,1604,Nivaldo Oliveira,474,Alexandre Ceconi,L,0,Points,Pan Am CBJJE,ABS,NA,2011
3514,1604,Nivaldo Oliveira,1895,Rodrigo Fajardo,L,0,Referee Decision,European Open,88KG,F,2012
4079,1604,Nivaldo Oliveira,1003,Diogo Sampaio,L,0,Points,World Champ.,88KG,R2,2012
4251,1604,Nivaldo Oliveira,576,Rafael Lovato,L,0,Katagatame,NoGi Worlds,94KG,SF,2012
4530,1604,Nivaldo Oliveira,144,Andre Galvao,L,0,Pts: 2x0,Pan American,ABS,SF,2013
4623,1604,Nivaldo Oliveira,926,Roberto Alencar,L,0,Adv,Pan American,88KG,F,2013
4631,1604,Nivaldo Oliveira,1534,R. Evangelista,L,0,Adv,Brasileiro,ABS,SF,2013
4644,1604,Nivaldo Oliveira,4960,Dimitrius Souza,L,0,Points,Brasileiro,94KG,SF,2013
4812,1604,Nivaldo Oliveira,247,Rodolfo Vieira,L,0,Katagatame,World Champ.,94KG,SF,2013
5629,1604,Nivaldo Oliveira,1188,Leandro Lo,L,0,Pts: 9x0,World Pro.,ABS,R3,2014
5662,1604,Nivaldo Oliveira,320,Romulo Barral,L,0,Kimura,World Pro.,88KG,4F,2014
3398,1604,Nivaldo Oliveira,,Igor Ribeiro,W,1,Botinha,Pan Am CBJJE,ABS,NA,2011
3850,1604,Nivaldo Oliveira,320,Romulo Barral,W,1,Points,Brasileiro,88KG,SF,2012
3851,1604,Nivaldo Oliveira,,William Lima,W,1,Kneebar,Brasileiro,88KG,F,2012
3856,1604,Nivaldo Oliveira,484,Murilo Santana,W,1,"Pts: 2x2, Adv",Brasileiro,ABS,SF,2012
4517,1604,Nivaldo Oliveira,,Guilherme Santos,W,1,Points,Pan American,ABS,R1,2013
4519,1604,Nivaldo Oliveira,224,Roberto Abreu,W,1,Choke,Pan American,ABS,R2,2013
4526,1604,Nivaldo Oliveira,1272,Leo Nogueira,W,1,Pts: 2x0,Pan American,ABS,4F,2013
4614,1604,Nivaldo Oliveira,,Guilherme Santos,W,1,Pts: 15x0,Pan American,88KG,R1,2013
4621,1604,Nivaldo Oliveira,,Max Freitas,W,1,Pts: 4x2,Pan American,88KG,4F,2013
4809,1604,Nivaldo Oliveira,,Fabiano Souza,W,1,Ezekiel,World Champ.,94KG,4F,2013
6124,1604,Nivaldo Oliveira,,Bruno Cuppari,W,1,Arm in Ezekiel,BJJ Stars,ABS,SPF,2014
