match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
3252,1757,Alexander Trans,573,Fabricio Werdum,L,0,Pts: 2x0,ADCC,O99KG,R1,2011
3664,1757,Alexander Trans,984,Marcus Almeida,L,0,Pts: 2x0,Pan American,O100KG,F,2012
4146,1757,Alexander Trans,886,Leonardo Leite,L,0,Pts: 2x0,World Champ.,O100KG,SF,2012
4433,1757,Alexander Trans,1272,Leo Nogueira,L,0,Pts: 4x0,European Open,ABS,SF,2013
4827,1757,Alexander Trans,984,Marcus Almeida,L,0,Referee Decision,World Champ.,O100KG,SF,2013
5321,1757,Alexander Trans,1188,Leandro Lo,L,0,Points,Pan American,ABS,SF,2014
5423,1757,Alexander Trans,144,Andre Galvao,L,0,Adv,Pan American,O100KG,F,2014
5616,1757,Alexander Trans,2107,Otavio Sousa,L,0,"Pts: 0x0, Adv",World Pro.,ABS,R1,2014
5683,1757,Alexander Trans,984,Marcus Almeida,L,0,Pts: 2x0,World Pro.,O100KG,F,2014
5722,1757,Alexander Trans,247,Rodolfo Vieira,L,0,Choke,World Champ.,ABS,4F,2014
5859,1757,Alexander Trans,984,Marcus Almeida,L,0,Choke from back,World Champ.,O100KG,F,2014
6772,1757,Alexander Trans,425,Bernardo Faria,L,0,Pts: 2x0,Pan American,ABS,SF,2015
7158,1757,Alexander Trans,984,Marcus Almeida,L,0,Pts: 2x0,World Pro,O95KG,F,2015
7199,1757,Alexander Trans,984,Marcus Almeida,L,0,"Pts: 0x0, Adv",World Pro,ABS,F,2015
9555,1757,Alexander Trans,2416,Felipe Pena,L,0,Pts: 2x0,World Pro,ABS,SF,2016
10068,1757,Alexander Trans,2403,Joao Rocha,L,0,Referee Decision,World Champ.,O100KG,4F,2016
10101,1757,Alexander Trans,2416,Felipe Pena,L,0,Pts: 2x0,World Champ.,ABS,8F,2016
10784,1757,Alexander Trans,1188,Leandro Lo,L,0,Pts: 2x0,Copa Podio,105KG,F,2016
12910,1757,Alexander Trans,3122,Luiz Panza,L,0,Referee Decision,ACBJJ 5,O95KG,F,2017
13214,1757,Alexander Trans,4177,Gustavo Dias,L,0,"Pts: 2x2, Adv",World Champ.,O100KG,8F,2017
3520,1757,Alexander Trans,,Andre Campos,W,1,"Pts: 0x0, Adv",European Open,O100KG,SF,2012
3521,1757,Alexander Trans,,T. Gaia,W,1,Choke,European Open,O100KG,F,2012
3659,1757,Alexander Trans,,Michael Schuss,W,1,Submission,Pan American,O100KG,4F,2012
3663,1757,Alexander Trans,1534,R. Evangelista,W,1,Toe Hold,Pan American,O100KG,SF,2012
