match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
3715,2226,DeAlonzio Jackson,875,Lucas Leite,L,0,Referee Decision,NYC World Trials,83KG,F,2012
4276,2226,DeAlonzio Jackson,1188,Leandro Lo,L,0,"Pts: 0x0, Adv",NoGi Worlds,ABS,4F,2012
4449,2226,DeAlonzio Jackson,410,Claudio Calasans,L,0,"Pts: 0x0, Pen",European Open,82KG,4F,2013
4527,2226,DeAlonzio Jackson,425,Bernardo Faria,L,0,Pts: 12x0,Pan American,ABS,4F,2013
4597,2226,DeAlonzio Jackson,1523,Clark Gracie,L,0,Referee Decision,Pan American,82KG,SF,2013
4664,2226,DeAlonzio Jackson,410,Claudio Calasans,L,0,"Pts: 0x0, Adv",World Pro,82KG,R1,2013
4755,2226,DeAlonzio Jackson,886,Leonardo Leite,L,0,Points,World Champ.,ABS,RDS,2013
4850,2226,DeAlonzio Jackson,,Tio Chico,D,0.5,---,Copa Podio,76KG,GP,2013
4862,2226,DeAlonzio Jackson,1600,Vinicius Marinho,L,0,Adv,Copa Podio,76KG,GP,2013
4870,2226,DeAlonzio Jackson,1188,Leandro Lo,L,0,Pts: 6x2,Copa Podio,76KG,SF,2013
4871,2226,DeAlonzio Jackson,1600,Vinicius Marinho,L,0,Pen,Copa Podio,76KG,3PLC,2013
4991,2226,DeAlonzio Jackson,4328,AJ Agazarm,L,0,Referee Decision,ADCC,77KG,R1,2013
5107,2226,DeAlonzio Jackson,2035,Vitor Oliveira,L,0,Points,NoGi Worlds,79KG,SF,2013
5316,2226,DeAlonzio Jackson,144,Andre Galvao,L,0,Points,Pan American,ABS,R3,2014
5379,2226,DeAlonzio Jackson,,Diego Hertzog,L,0,"Pts: 2x2, Adv",Pan American,88KG,R1,2014
5780,2226,DeAlonzio Jackson,5930,Rodrigo Freitas,L,0,Pen,World Champ.,76KG,R1,2014
8503,2226,DeAlonzio Jackson,2416,Felipe Pena,L,0,RNC,NoGi Worlds,ABS,SF,2015
9680,2226,DeAlonzio Jackson,,Rustam Chsiev,L,0,EBI/OT,EBI 6,ABS,4F,2016
12546,2226,DeAlonzio Jackson,10531,John Salter,L,0,Pen,ADCC WC Trials,88KG,F,2017
12945,2226,DeAlonzio Jackson,224,Roberto Abreu,L,0,Pts: 25x0,Miami SPO,ABS,F,2017
13424,2226,DeAlonzio Jackson,4789,Marcos Tinoco,L,0,Referee Decision,NY Summer Open,ABS,SF,2017
13710,2226,DeAlonzio Jackson,,Greg Walker,L,0,"Pts: 0x0, Adv",Washington Open,82KG,F,2017
13901,2226,DeAlonzio Jackson,8394,Vagner Rocha,L,0,Referee Decision,ADCC,77KG,4F,2017
16104,2226,DeAlonzio Jackson,6156,Tanner Rice,L,0,"Pts: 0x0, Pen",WP US Qualifier,94KG,RR,2018
16105,2226,DeAlonzio Jackson,6156,Tanner Rice,L,0,Adv,WP US Qualifier,94KG,RR,2018
16558,2226,DeAlonzio Jackson,484,Murilo Santana,L,0,"Pts: 0x0, Pen",World Champ.,88KG,R1,2018
18004,2226,DeAlonzio Jackson,446,Gilbert Burns,L,0,Points,Black Belt CBD,83KG,F,2018
18093,2226,DeAlonzio Jackson,,V. Hugo,L,0,Pts: 16x0,Spyder Inv. Final,O76KG,SF,2018
18821,2226,DeAlonzio Jackson,5636,Manuel Ribamar,L,0,Pts: 6x0,Grand Slam AD,85KG,4F,2019
18858,2226,DeAlonzio Jackson,5636,Manuel Ribamar,L,0,Pts: 9x0,King of Mats II,85KG,RR,2019
18859,2226,DeAlonzio Jackson,7552,Isaque Bahiense,L,0,Referee Decision,King of Mats II,85KG,RR,2019
