match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
3485,2235,Renato Cardoso,410,Claudio Calasans,L,0,"Pts: 0x0, Adv",Mundial CBJJE,ABS,F,2012
4376,2235,Renato Cardoso,1188,Leandro Lo,L,0,Pts: 15x4,Pan Am. CBJJE,ABS,NA,2013
4429,2235,Renato Cardoso,425,Bernardo Faria,L,0,Omoplata,European Open,ABS,4F,2013
4456,2235,Renato Cardoso,320,Romulo Barral,L,0,Points,European Open,88KG,SF,2013
4607,2235,Renato Cardoso,144,Andre Galvao,L,0,Choke from back,Pan American,88KG,R2,2013
4696,2235,Renato Cardoso,7231,Manny Diaz,L,0,Pts: 2x0,Copa Podio,88KG,GP,2013
4700,2235,Renato Cardoso,4460,Jaime Canuto,L,0,"Pts: 0x0, Adv",Copa Podio,88KG,GP,2013
4702,2235,Renato Cardoso,2999,Paulo Miyao,L,0,Choke from back,Copa Podio,88KG,GP,2013
4743,2235,Renato Cardoso,3083,Abraham Marte,L,0,Bow and arrow,World Champ.,ABS,RDS,2013
4895,2235,Renato Cardoso,484,Murilo Santana,L,0,Pts: 8x0,Mundial CBJJE,88KG,F,2013
5240,2235,Renato Cardoso,1003,Diogo Sampaio,L,0,Pts: 4x0,World Pro Trial,88KG,F,2014
5244,2235,Renato Cardoso,484,Murilo Santana,L,0,Referee Decision,World Pro Trial,ABS,F,2014
5391,2235,Renato Cardoso,108,Gustavo Campos,L,0,"Pts: 8x8, Adv",Pan American,88KG,SF,2014
5533,2235,Renato Cardoso,84,Alexandre Ribeiro,L,0,Pts: 2x0,Brasileiro,ABS,SF,2014
5554,2235,Renato Cardoso,2416,Felipe Pena,L,0,Adv,Brasileiro,88KG,F,2014
5664,2235,Renato Cardoso,144,Andre Galvao,L,0,"Pts: 0x0, Adv",World Pro.,88KG,SF,2014
5831,2235,Renato Cardoso,108,Gustavo Campos,L,0,Pts: 11x2,World Champ.,88KG,4F,2014
6446,2235,Renato Cardoso,410,Claudio Calasans,L,0,"Pts: 0x0, Adv",Brazil Nat. Pro,85KG,4F,2015
6507,2235,Renato Cardoso,1290,Tarcisio Jardim,L,0,"Pts: 0x0, Adv",European,ABS,4F,2015
6604,2235,Renato Cardoso,144,Andre Galvao,L,0,Pts: 4x0,European,88KG,F,2015
6857,2235,Renato Cardoso,3009,Keenan Cornelius,L,0,Pts: 5x2,Pan American,88KG,4F,2015
7125,2235,Renato Cardoso,410,Claudio Calasans,L,0,"Pts: 0x0, Adv",World Pro,85KG,R2,2015
7270,2235,Renato Cardoso,4521,Erberth Santos,L,0,"Pts: 0x0, Pen",Brasileiro,ABS,F,2015
7484,2235,Renato Cardoso,1188,Leandro Lo,L,0,Pts: 15x2,World Champ.,88KG,SF,2015
