match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4606,2416,Felipe Pena,2235,Renato Cardoso,L,0,Points,Pan American,88KG,R1,2013
4877,2416,Felipe Pena,484,Murilo Santana,L,0,Armbar,Brasileiro CBJJE,88KG,NA,2013
4932,2416,Felipe Pena,1188,Leandro Lo,L,0,"Pts: 0x0, Adv",Rio Open,ABS,SF,2013
5113,2416,Felipe Pena,562,Eduardo Telles,L,0,Pts: 2x0,NoGi Worlds,85KG,F,2013
5322,2416,Felipe Pena,144,Andre Galvao,L,0,Pts: 4x2,Pan American,ABS,SF,2014
5723,2416,Felipe Pena,984,Marcus Almeida,L,0,Footlock,World Champ.,ABS,4F,2014
7193,2416,Felipe Pena,3009,Keenan Cornelius,L,0,"Pts: 2x2, Adv",World Pro,ABS,4F,2015
7323,2416,Felipe Pena,,V. Honorio,L,0,"Pts: 0x0, Adv",Copa Podio,95KG,GP,2015
7923,2416,Felipe Pena,247,Rodolfo Vieira,L,0,Referee Decision,ADCC,99KG,F,2015
9653,2416,Felipe Pena,4521,Erberth Santos,L,0,Pts: 7x2,World Pro,94KG,F,2016
10048,2416,Felipe Pena,3200,Jackson Sousa,L,0,Referee Decision,World Champ.,94KG,4F,2016
10103,2416,Felipe Pena,984,Marcus Almeida,L,0,Armbar,World Champ.,ABS,4F,2016
10186,2416,Felipe Pena,2403,Joao Rocha,L,0,"Pts: 4x4, Adv",IBJJF Pro GP,ABS,4F,2016
13180,2416,Felipe Pena,144,Andre Galvao,L,0,Pts: 2x0,World Champ.,88KG,SF,2017
13875,2416,Felipe Pena,1740,Yuri Simoes,L,0,Pts: 2x0,ADCC,99KG,F,2017
16630,2416,Felipe Pena,7507,Nicholas Meregali,L,0,Arm in Ezekiel,World Champ.,ABS,4F,2018
19795,2416,Felipe Pena,9246,Tex Johnson,L,0,Inside heel hook,Kasai 5,93KG,RR,2019
20735,2416,Felipe Pena,984,Marcus Almeida,L,0,Referee Decision,World Champ.,ABS,4F,2019
21919,2416,Felipe Pena,144,Andre Galvao,L,0,Pts: 2x0,ADCC,ABS,SPF,2019
29583,2416,Felipe Pena,11693,Erich Munis,L,0,"Pts: 2x2, Adv",World Champ.,100KG,SF,2021
34216,2416,Felipe Pena,6550,Gordon Ryan,L,0,Verbal tap,WNO 14,ABS,SPF,2022
35077,2416,Felipe Pena,12110,Nick Rodriguez,L,0,Pts: 3x0,ADCC,O99KG,SF,2022
