match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4475,2444,Mackenzie Dern,823,Michelle Nicolini,D,0.5,---,Metamoris 2,ABS,SPF,2013
4627,2444,Mackenzie Dern,595,Gabrielle Garcia,L,0,Clock choke,Pan American,ABS,SF,2013
4630,2444,Mackenzie Dern,5263,Luiza Monteiro,L,0,"Pts: 0x0, Adv",Pan American,58KG,F,2013
4829,2444,Mackenzie Dern,1810,Marina Ribeiro,L,0,Points,World Champ.,58KG,SF,2013
5289,2444,Mackenzie Dern,,Andresa Correa,L,0,N/A,Pan American,ABS,SF,2014
5291,2444,Mackenzie Dern,3607,Tammi Musumeci,L,0,"Pts: 2x2, Adv",Pan American,58KG,F,2014
5638,2444,Mackenzie Dern,823,Michelle Nicolini,L,0,Armbar,World Pro.,55KG,R1,2014
5694,2444,Mackenzie Dern,3607,Tammi Musumeci,L,0,Short choke,World Champ.,58KG,SF,2014
5695,2444,Mackenzie Dern,6765,Fernanda Mazzelli,L,0,Pts: 9x0,World Champ.,ABS,R1,2014
6001,2444,Mackenzie Dern,595,Gabrielle Garcia,L,0,Americana,NoGi Worlds,ABS,F,2014
6283,2444,Mackenzie Dern,2357,Ana Cordeiro,L,0,Kimura,Long Beach Pro,ABS,F,2014
6472,2444,Mackenzie Dern,595,Gabrielle Garcia,L,0,Clock choke,European,ABS,F,2015
6628,2444,Mackenzie Dern,,Michele Nicolini,L,0,Pts: 9x8,European,58KG,F,2015
6921,2444,Mackenzie Dern,595,Gabrielle Garcia,L,0,Bread cutter,Pan American,ABS,F,2015
7527,2444,Mackenzie Dern,5229,Dominyka Obelenyte,L,0,Points,World Champ.,ABS,SF,2015
8383,2444,Mackenzie Dern,3607,Tammi Musumeci,L,0,Pts: 6x2,NoGi Worlds,56KG,F,2015
9006,2444,Mackenzie Dern,,Andresa Correa,L,0,Pts: 2x0,European Open,ABS,F,2016
9403,2444,Mackenzie Dern,5229,Dominyka Obelenyte,L,0,Pts: 10x8,Pan American,ABS,SF,2016
9508,2444,Mackenzie Dern,6761,Tayane Porfirio,L,0,Pts: 5x2,World Pro,ABS,4F,2016
9716,2444,Mackenzie Dern,,Andresa Correa,L,0,Pts: 2x0,Brasileiro,ABS,F,2016
10114,2444,Mackenzie Dern,5229,Dominyka Obelenyte,L,0,Pts: 6x4,World Champ.,ABS,SF,2016
11216,2444,Mackenzie Dern,6761,Tayane Porfirio,L,0,Pts: 20x0,South American,ABS,F,2016
11528,2444,Mackenzie Dern,6761,Tayane Porfirio,L,0,Pts: 5x2,European Open,ABS,SF,2017
12269,2444,Mackenzie Dern,1119,Beatriz Mesquita,L,0,Choke from back,Rio Fall Open,ABS,F,2017
13226,2444,Mackenzie Dern,5410,Venla Luukkonen,L,0,Pts: 5x0,World Champ.,ABS,8F,2017
13948,2444,Mackenzie Dern,,E. Karpinen,L,0,Pts: 4x2,ADCC,60KG,4F,2017
4399,2444,Mackenzie Dern,5263,Luiza Monteiro,W,1,Pts: 8x2,Copa Podio,ABS,SPF,2013
4489,2444,Mackenzie Dern,,Lora Hallock,W,1,Choke from back,SA Pro Trials,56KG,F,2013
4625,2444,Mackenzie Dern,1430,Talita Nogueira,W,1,Choke from back,Pan American,ABS,4F,2013
5165,2444,Mackenzie Dern,6236,Sophia Drysdale,W,1,Toe hold,Las Vegas Open,ABS,F,2013
5288,2444,Mackenzie Dern,1430,Talita Nogueira,W,1,"Pts: 4x4, Adv",Pan American,ABS,4F,2014
5290,2444,Mackenzie Dern,,Cristina Brandao,W,1,Omoplata/Choke,Pan American,58KG,SF,2014
5461,2444,Mackenzie Dern,6454,Pati Fontes,W,1,Mounted X choke,FIVE Cali. 2,64KG,SF,2014
5462,2444,Mackenzie Dern,,Chelsea Donner,W,1,Pts: 2x0,FIVE Cali. 2,64KG,F,2014
5517,2444,Mackenzie Dern,,Kanako Inaba,W,1,Mounted X choke,FIVE Illinois,64KG,F,2014
5693,2444,Mackenzie Dern,,Ariadne de Oliveira,W,1,Points,World Champ.,58KG,4F,2014
