match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
1937,289,Alan do Nascimento,898,Bill Cooper,L,0,Lapel choke,World Champ.,82KG,R2,2008
2344,289,Alan do Nascimento,138,Sergio Moraes,L,0,Choke,World Champ.,82KG,SF,2009
2918,289,Alan do Nascimento,410,Claudio Calasans,L,0,Adv,World Pro.,83KG,SF,2011
3050,289,Alan do Nascimento,108,Gustavo Campos,L,0,Submission,World Champ.,82KG,RDS,2011
3513,289,Alan do Nascimento,1617,Victor Estima,L,0,Triangle,European Open,82KG,F,2012
4061,289,Alan do Nascimento,410,Claudio Calasans,L,0,Pts: 4x2,World Champ.,82KG,4F,2012
4889,289,Alan do Nascimento,1188,Leandro Lo,L,0,Pts: 2x0,Mundial CBJJE,82KG,SF,2013
4904,289,Alan do Nascimento,1534,R. Evangelista,L,0,Referee Decision,Rome Open,ABS,F,2013
4910,289,Alan do Nascimento,582,Caio Terra,L,0,N/A,European NoGi,ABS,F,2013
4926,289,Alan do Nascimento,1188,Leandro Lo,L,0,Armbar,Rio Open,82KG,F,2013
5820,289,Alan do Nascimento,2107,Otavio Sousa,L,0,Armbar,World Champ.,82KG,SF,2014
7122,289,Alan do Nascimento,477,Tarsis Humphreys,L,0,"Pts: 0x0, Adv",World Pro,85KG,R2,2015
8951,289,Alan do Nascimento,5347,Yago Souza,L,0,Pts: 2x0,European Open,82KG,F,2016
8998,289,Alan do Nascimento,2416,Felipe Pena,L,0,Choke from back,European Open,ABS,4F,2016
10011,289,Alan do Nascimento,5347,Yago Souza,L,0,N/A,World Champ.,82KG,8F,2016
10365,289,Alan do Nascimento,6071,Gabriel Arges,L,0,Referee Decision,Berkut 3,ABS,SPF,2016
21050,289,Alan do Nascimento,5655,Lucas Barbosa,L,0,Referee Decision,ACB World Champ.,85KG,F,2019
1850,289,Alan do Nascimento,1617,Victor Estima,W,1,Pts: 2x0,European Open,82KG,SF,2008
1851,289,Alan do Nascimento,2107,Otavio Sousa,W,1,Adv,European Open,82KG,F,2008
1896,289,Alan do Nascimento,2107,Otavio Sousa,W,1,Pts: 2x0,Brasileiro,82KG,F,2008
2037,289,Alan do Nascimento,9587,Eduardo Rios,W,1,Points,Stenungsund Open,88KG,F,2008
2106,289,Alan do Nascimento,2107,Otavio Sousa,W,1,Points,European,88KG,F,2009
2342,289,Alan do Nascimento,,Pedro Bessa,W,1,Pts: 6x2,World Champ.,82KG,4F,2009
3040,289,Alan do Nascimento,,Bruno Augusto,W,1,Submission,World Champ.,82KG,RDS,2011
3511,289,Alan do Nascimento,1017,Gabriel Goulart,W,1,N/A,European Open,82KG,SF,2012
4048,289,Alan do Nascimento,1619,Marcus Bello,W,1,Choke from back,World Champ.,82KG,R2,2012
4056,289,Alan do Nascimento,1659,Bruno Alves,W,1,DQ,World Champ.,82KG,8F,2012
4286,289,Alan do Nascimento,,Renato Morais,W,1,Armbar,Sweden Open,NA,NA,2012
