match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4987,2997,Joao Miyao,179,Rafael Mendes,L,0,Pts: 2x0,ADCC,66KG,SF,2013
4989,2997,Joao Miyao,1398,Justin Rader,L,0,Points,ADCC,66KG,3PLC,2013
5738,2997,Joao Miyao,283,Bruno Malfacine,L,0,Referee Decision,World Champ.,57KG,F,2014
7091,2997,Joao Miyao,7872,Gilson Nunes,L,0,"Pts: 0x0, Adv",World Pro,65KG,4F,2015
7403,2997,Joao Miyao,283,Bruno Malfacine,L,0,Adv,World Champ.,57KG,F,2015
7609,2997,Joao Miyao,5447,Mikey Musumeci,L,0,"Pts: 4x4, Adv",American Nat.,64KG,F,2015
7782,2997,Joao Miyao,5649,Garry Tonon,L,0,Referee Decision,FIVE SL,72KG,SPF,2015
7817,2997,Joao Miyao,,Joe Soto,L,0,EBI/OT,EBI 4,65KG,SF,2015
8085,2997,Joao Miyao,5414,Osvaldo Moizinho,L,0,Points,GT Open,ABS,SPF,2015
8093,2997,Joao Miyao,5414,Osvaldo Moizinho,L,0,Pts: 6x4,GT Open,76KG,F,2015
8544,2997,Joao Miyao,5414,Osvaldo Moizinho,D,0.5,---,Berkut 2,ABS,SPF,2015
9922,2997,Joao Miyao,582,Caio Terra,L,0,Pts: 8x6,World Champ.,57KG,SF,2016
10197,2997,Joao Miyao,5447,Mikey Musumeci,L,0,"Pts: 2x2, Adv",American Nats,64KG,F,2016
10436,2997,Joao Miyao,5447,Mikey Musumeci,L,0,Pts: 2x0,Grand Slam LA,62KG,F,2016
10887,2997,Joao Miyao,5447,Mikey Musumeci,L,0,Pts: 10x8,NoGi Worlds,62KG,F,2016
11543,2997,Joao Miyao,2401,Gabriel Moraes,L,0,Pts: 5x4,European Open,64KG,SF,2017
11942,2997,Joao Miyao,7664,Johnny Tama,L,0,Pts: 3x2,UAEJJF NY Pro,U77KG,4F,2017
13078,2997,Joao Miyao,5447,Mikey Musumeci,L,0,"Pts: 0x0, Adv",World Champ.,64KG,F,2017
14594,2997,Joao Miyao,188,Augusto Mendes,L,0,Points,ACB JJ 9,60KG,SF,2017
16459,2997,Joao Miyao,260,Ary Farias,L,0,Pts: 2x0,World Champ.,64KG,SF,2018
19417,2997,Joao Miyao,9051,Gabriel Sousa,L,0,"Pts: 4x4, Adv",Grand Slam LDN,62KG,SF,2019
20079,2997,Joao Miyao,9051,Gabriel Sousa,L,0,"Pts: 2x2, Adv",World Pro,62KG,F,2019
20236,2997,Joao Miyao,8884,Alex Sodre,L,0,Pts: 10x4,Brasileiro,64KG,SF,2019
21000,2997,Joao Miyao,4996,Geo Martinez,L,0,EBI/OT,Subversiv 2,65KG,SPF,2019
22031,2997,Joao Miyao,6043,Lucas Pinheiro,L,0,Referee Decision,F2W 128,65KG,SPF,2019
4368,2997,Joao Miyao,562,Eduardo Telles,W,1,Adv,World Expo,ABS,SPF,2013
4885,2997,Joao Miyao,,Naudimar Amaral,W,1,Choke from back,Brasileiro CBJJE,NA,NA,2013
4978,2997,Joao Miyao,1774,Mark Ramos,W,1,Calf slicer,ADCC,66KG,R1,2013
4986,2997,Joao Miyao,338,Ricardo Vieira,W,1,Heel hook,ADCC,66KG,4F,2013
5247,2997,Joao Miyao,,Hideyuki Yamada,W,1,Choke from back,European,64KG,SF,2014
5337,2997,Joao Miyao,,F. Spessoto,W,1,Choke from back,Pan American,64KG,4F,2014
5339,2997,Joao Miyao,,Rafael Barata,W,1,Choke from back,Pan American,64KG,SF,2014
5538,2997,Joao Miyao,,Unknown,W,1,Choke from back,Brasileiro,64KG,4F,2014
5541,2997,Joao Miyao,,Giusley Santos,W,1,Pts: 4x0,Brasileiro,64KG,SF,2014
5639,2997,Joao Miyao,,John Cho,W,1,Pts: 9x0,World Pro.,64KG,4F,2014
5643,2997,Joao Miyao,7156,Tiago Bravo,W,1,Referee Decision,World Pro.,64KG,F,2014
5733,2997,Joao Miyao,1919,Koji Shibamoto,W,1,Pts: 25x4,World Champ.,57KG,4F,2014
5737,2997,Joao Miyao,1874,Ivaniel Oliveira,W,1,Pts: 2x0,World Champ.,57KG,SF,2014
5875,2997,Joao Miyao,,Ivanildo Lima,W,1,Choke from back,Rio Open,64KG,F,2014
5889,2997,Joao Miyao,,Leandro Silva,W,1,Choke from back,SP Open,64KG,SF,2014
5890,2997,Joao Miyao,8874,Thomas Lisboa,W,1,Choke from back,SP Open,64KG,F,2014
5898,2997,Joao Miyao,8874,Thomas Lisboa,W,1,Points,SP Open NoGi,63KG,F,2014
5928,2997,Joao Miyao,,Alexandre Oliveira,W,1,Choke from back,Mundial CBJJE,64KG,SF,2014
5929,2997,Joao Miyao,,Johnatha Guido,W,1,Choke from back,Mundial CBJJE,64KG,F,2014
5969,2997,Joao Miyao,,Jorge Elias,W,1,Triangle armbar,No Gi Pan Am.,64KG,SF,2014
5970,2997,Joao Miyao,1774,Mark Ramos,W,1,Armbar,No Gi Pan Am.,64KG,F,2014
6018,2997,Joao Miyao,,Jorge Elias,W,1,Points,NoGi Worlds,61KG,4F,2014
6022,2997,Joao Miyao,9725,Fabbio Passos,W,1,Armbar,NoGi Worlds,61KG,SF,2014
6023,2997,Joao Miyao,8874,Thomas Lisboa,W,1,Pts: 10x4,NoGi Worlds,61KG,F,2014
6106,2997,Joao Miyao,1774,Mark Ramos,W,1,Choke from back,NYC Pro,70KG,4F,2014
6109,2997,Joao Miyao,,Paulo Santana,W,1,Bow and arrow,NYC Pro,70KG,SF,2014
6110,2997,Joao Miyao,4248,Gianni Grippo,W,1,Pts: 6x4,NYC Pro,70KG,F,2014
6189,2997,Joao Miyao,4248,Gianni Grippo,W,1,Pen,Copa Podio,70KG,SPF,2014
6252,2997,Joao Miyao,,Walter Telles,W,1,Arm in Ezekiel,South American,64KG,4F,2014
6253,2997,Joao Miyao,1799,Leandro Martins,W,1,N/A,South American,64KG,SF,2014
6303,2997,Joao Miyao,,Unknown,W,1,RNC,ADCC Trials,77KG,4F,2014
6304,2997,Joao Miyao,,Bruno Aparecido,W,1,Points,ADCC Trials,77KG,F,2014
6524,2997,Joao Miyao,,Lucas Dantas,W,1,Pts: 8x4,European,64KG,4F,2015
6527,2997,Joao Miyao,,S. Franceschini,W,1,Bow and arrow,European,64KG,SF,2015
6783,2997,Joao Miyao,1870,Paulo Filho,W,1,Choke from back,Pan American,64KG,4F,2015
6787,2997,Joao Miyao,1753,Rafael Freitas,W,1,Choke,Pan American,64KG,SF,2015
6965,2997,Joao Miyao,,David Domzalski,W,1,Submission,Chicago Spring,64KG,SF,2015
6966,2997,Joao Miyao,613,Wellington Dias,W,1,Choke from back,Chicago Spring,64KG,F,2015
7009,2997,Joao Miyao,,Paulo Silva,W,1,Points,NY Spring Open,64KG,F,2015
7220,2997,Joao Miyao,,Pedro Azevedo,W,1,Choke from back,Brasileiro,64KG,SF,2015
7222,2997,Joao Miyao,8874,Thomas Lisboa,W,1,Choke from back,Brasileiro,64KG,F,2015
7337,2997,Joao Miyao,,Andre Pontes,W,1,Triangle,Las Vegas Open,64KG,F,2015
7398,2997,Joao Miyao,1919,Koji Shibamoto,W,1,Pts: 6x2,World Champ.,57KG,4F,2015
7401,2997,Joao Miyao,1874,Ivaniel Oliveira,W,1,Choke from back,World Champ.,57KG,SF,2015
7577,2997,Joao Miyao,,Ramon Flores,W,1,N/A,BJJ Tour,64KG,F,2015
7595,2997,Joao Miyao,,Ruben Alvarez,W,1,Omoplata,Grapplers Quest,65KG,4F,2015
7596,2997,Joao Miyao,,Mike Main,W,1,Heel hook,Grapplers Quest,65KG,SF,2015
7600,2997,Joao Miyao,,Luis Pinto,W,1,Choke f. omoplata,US No Gi Nat.,64KG,F,2015
7608,2997,Joao Miyao,,Luis Pinto,W,1,Points,American Nat.,64KG,SF,2015
7671,2997,Joao Miyao,,David Herndon,W,1,Choke from back,NY Summer Open,64KG,F,2015
7678,2997,Joao Miyao,,Luis Pantoja,W,1,Triangle,NY No Gi Open,64KG,F,2015
7747,2997,Joao Miyao,,Jose Alvarez,W,1,Points,Austin Open,70KG,SF,2015
7748,2997,Joao Miyao,,Gabriel Martins,W,1,Choke from back,Austin Open,70KG,F,2015
7783,2997,Joao Miyao,,Luis Ninja Pinto,W,1,Choke from back,LV Summer Open,64KG,F,2015
7786,2997,Joao Miyao,,Julian Marquez,W,1,Points,LV Summer Open,ABS,4F,2015
7787,2997,Joao Miyao,4851,Kim Terra,W,1,Referee Decision,LV Summer Open,ABS,SF,2015
7788,2997,Joao Miyao,7079,Carlos Farias,W,1,"Pts: 0x0, Adv",LV Summer Open,ABS,F,2015
7809,2997,Joao Miyao,,Mike Main,W,1,RNC,EBI 4,65KG,R1,2015
7815,2997,Joao Miyao,,Geoff Real,W,1,RNC,EBI 4,65KG,4F,2015
8002,2997,Joao Miyao,2401,Gabriel Moraes,W,1,Points,Santa Cruz Pro,70KG,F,2015
8086,2997,Joao Miyao,4996,Geo Martinez,W,1,Pts: 4x2,GT Open,ABS,SPF,2015
8089,2997,Joao Miyao,,Julio Cordova,W,1,Points,GT Open,76KG,SF,2015
8168,2997,Joao Miyao,,Joseph Best,W,1,RNC,NoGi Pan Ams,64KG,SF,2015
8169,2997,Joao Miyao,1774,Mark Ramos,W,1,RNC,NoGi Pan Ams,64KG,F,2015
8243,2997,Joao Miyao,1753,Rafael Freitas,W,1,Pts: 2x0,Grand Slam LA,62KG,SF,2015
8244,2997,Joao Miyao,5114,Joao Somalia,W,1,Choke from back,Grand Slam LA,62KG,F,2015
8391,2997,Joao Miyao,1774,Mark Ramos,W,1,Toe hold,NoGi Worlds,61KG,4F,2015
8394,2997,Joao Miyao,8874,Thomas Lisboa,W,1,Pts: 6x4,NoGi Worlds,61KG,SF,2015
8396,2997,Joao Miyao,1436,Samir Chantre,W,1,Pts: 6x4,NoGi Worlds,61KG,F,2015
8607,2997,Joao Miyao,6258,Rodnei Barbosa,W,1,"Pts: 0x0, Adv",Grand Slam RJ,62KG,R1,2015
8613,2997,Joao Miyao,,Pedro Azevedo,W,1,Pts: 14x0,Grand Slam RJ,62KG,8F,2015
8614,2997,Joao Miyao,,Rodnei Junior,W,1,Choke from back,Grand Slam RJ,62KG,4F,2015
8619,2997,Joao Miyao,,Jorge Nakamura,W,1,Pts: 4x0,Grand Slam RJ,62KG,SF,2015
8910,2997,Joao Miyao,,Tsuyoshi Tamaki,W,1,Choke from back,European Open,64KG,4F,2016
8912,2997,Joao Miyao,,Gabriel Willcox,W,1,Choke from back,European Open,64KG,SF,2016
9239,2997,Joao Miyao,,Tsuyoshi Tamaki,W,1,Choke from back,Pan American,64KG,4F,2016
9243,2997,Joao Miyao,,Vitor Paschoal,W,1,Choke from back,Pan American,64KG,SF,2016
9245,2997,Joao Miyao,2401,Gabriel Moraes,W,1,Pts: 2x0,Pan American,64KG,F,2016
