match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4649,3083,Abraham Marte Messina,1534,R. Evangelista,L,0,Adv,Brasileiro,O100KG,SF,2013
4754,3083,Abraham Marte Messina,144,Andre Galvao,L,0,Kneebar,World Champ.,ABS,RDS,2013
4828,3083,Abraham Marte Messina,543,Rodrigo Cavaca,L,0,DQ,World Champ.,O100KG,SF,2013
5313,3083,Abraham Marte Messina,1617,Victor Estima,L,0,Estima lock,Pan American,ABS,R3,2014
5422,3083,Abraham Marte Messina,144,Andre Galvao,L,0,Choke from back,Pan American,O100KG,SF,2014
5503,3083,Abraham Marte Messina,358,Lucas Lepri,L,0,Armbar,WP Montreal,ABS,SF,2014
5626,3083,Abraham Marte Messina,144,Andre Galvao,L,0,wristlock,World Pro.,ABS,R2,2014
5711,3083,Abraham Marte Messina,425,Bernardo Faria,L,0,Armbar,World Champ.,ABS,R3,2014
5857,3083,Abraham Marte Messina,1757,Alexander Trans,L,0,Pts: 2x0,World Champ.,O100KG,4F,2014
5985,3083,Abraham Marte Messina,8560,Gabriel Lucas,L,0,Pts: 3x0,No Gi Pan Am.,O100KG,F,2014
5994,3083,Abraham Marte Messina,4328,AJ Agazarm,L,0,Pts: 4x2,No Gi Pan Am.,ABS,SF,2014
6007,3083,Abraham Marte Messina,3009,Keenan Cornelius,L,0,"Pts: 2x2, Adv",NoGi Worlds,ABS,RDS,2014
6068,3083,Abraham Marte Messina,1740,Yuri Simoes,L,0,Points,NoGi Worlds,O100KG,SF,2014
6119,3083,Abraham Marte Messina,425,Bernardo Faria,L,0,Kneebar,NYC Pro,O100KG,F,2014
6156,3083,Abraham Marte Messina,410,Claudio Calasans,L,0,Pts: 5x4,Asian Open,ABS,F,2014
6891,3083,Abraham Marte Messina,1827,James Puopolo,L,0,Pts: 7x4,Pan American,O100KG,4F,2015
7396,3083,Abraham Marte Messina,1757,Alexander Trans,L,0,Kneebar,World Champ.,ABS,SF,2015
7767,3083,Abraham Marte Messina,644,Joao Assis,L,0,Heel hook,FIVE SL,ABS,4F,2015
7903,3083,Abraham Marte Messina,2403,Joao Rocha,L,0,Pts: 3x0,ADCC,O99KG,4F,2015
9064,3083,Abraham Marte Messina,6354,Jonathan Satava,L,0,Pts: 3x0,US National Pro,ABS,F,2016
9118,3083,Abraham Marte Messina,4145,Thiago Sa,L,0,Pts: 4x0,UAEJJF NYC Pro,HWABS,SF,2016
9119,3083,Abraham Marte Messina,7579,Romulo Azevedo,L,0,Pts: 5x2,UAEJJF NYC Pro,HWABS,3RD,2016
9356,3083,Abraham Marte Messina,6592,Dany Gerard,L,0,Choke,Pan American,O100KG,4F,2016
9389,3083,Abraham Marte Messina,1272,Leo Nogueira,L,0,Pts: 6x0,Pan American,ABS,8F,2016
11137,3083,Abraham Marte Messina,5842,Mahamed Aly,L,0,N/A,NY BJJ Pro,O94KG,SF,2016
3836,3083,Abraham Marte Messina,1281,Daniel Garcia,W,1,Kimura,Team Nationals,O88KG,NA,2012
4647,3083,Abraham Marte Messina,,Tiago Reinaldo,W,1,Ezekiel,Brasileiro,O100KG,R1,2013
4648,3083,Abraham Marte Messina,,C. de Plastico,W,1,Points,Brasileiro,O100KG,4F,2013
4726,3083,Abraham Marte Messina,,Max Freitas,W,1,Triangle armbar,World Champ.,ABS,RDS,2013
4743,3083,Abraham Marte Messina,2235,Renato Cardoso,W,1,Bow and arrow,World Champ.,ABS,RDS,2013
4822,3083,Abraham Marte Messina,2452,Orlando Sanchez,W,1,Pts: 8x0,World Champ.,O100KG,R1,2013
4826,3083,Abraham Marte Messina,1534,R. Evangelista,W,1,Pts: 2x0,World Champ.,O100KG,4F,2013
5308,3083,Abraham Marte Messina,,Tiago Giussani,W,1,Choke,Pan American,ABS,R2,2014
5496,3083,Abraham Marte Messina,,Tiago Giussani,W,1,Triangle,WP Montreal,O100KG,R1,2014
5497,3083,Abraham Marte Messina,,Unknown,W,1,Triangle,WP Montreal,O100KG,4F,2014
5498,3083,Abraham Marte Messina,,Unknown,W,1,Kimura,WP Montreal,O100KG,SF,2014
5499,3083,Abraham Marte Messina,,Keneth Brown,W,1,Armbar,WP Montreal,O100KG,F,2014
