match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4510,3122,Luiz Panza,224,Roberto Abreu,L,0,Points,Pan American,ABS,R1,2013
4819,3122,Luiz Panza,425,Bernardo Faria,L,0,Triangle,World Champ.,100KG,SF,2013
5115,3122,Luiz Panza,3200,Jackson Sousa,L,0,Triangle,NoGi Worlds,94KG,SF,2013
5310,3122,Luiz Panza,3009,Keenan Cornelius,L,0,Pts: 8x6,Pan American,ABS,R3,2014
5454,3122,Luiz Panza,,Magid Hage,L,0,Referee Decision,FIVE California,ABS,SF,2014
5562,3122,Luiz Panza,4310,Tim Spriggs,L,0,Pts: 3x2,Copa Podio,94KG,GP,2014
5581,3122,Luiz Panza,1188,Leandro Lo,L,0,Pts: 6x4,Copa Podio,94KG,SF,2014
5628,3122,Luiz Panza,247,Rodolfo Vieira,L,0,Choke,World Pro.,ABS,R3,2014
5678,3122,Luiz Panza,247,Rodolfo Vieira,L,0,Armbar,World Pro.,100KG,F,2014
5838,3122,Luiz Panza,144,Andre Galvao,L,0,Choke from back,World Champ.,94KG,4F,2014
6011,3122,Luiz Panza,5649,Garry Tonon,L,0,RNC,NoGi Worlds,ABS,4F,2014
6097,3122,Luiz Panza,425,Bernardo Faria,L,0,Choke from back,IBJJF Pro League,O100KG,F,2014
6214,3122,Luiz Panza,2416,Felipe Pena,L,0,"Pts: 2x2, Adv",Copa Podio,85KG,F,2014
6768,3122,Luiz Panza,425,Bernardo Faria,L,0,Pts: 9x4,Pan American,ABS,4F,2015
6895,3122,Luiz Panza,1757,Alexander Trans,L,0,Pts: 6x2,Pan American,O100KG,SF,2015
7143,3122,Luiz Panza,2416,Felipe Pena,L,0,Pts: 4x2,World Pro,95KG,SF,2015
7181,3122,Luiz Panza,2416,Felipe Pena,L,0,Toe hold,World Pro,ABS,R1,2015
9115,3122,Luiz Panza,3083,Abraham Marte,L,0,Referee Decision,UAEJJF NYC Pro,O94KG,RR,2016
9545,3122,Luiz Panza,1548,Jose Junior,L,0,Pts: 4x2,World Pro,ABS,8F,2016
10062,3122,Luiz Panza,1272,Leo Nogueira,L,0,Pts: 2x0,World Champ.,100KG,SF,2016
10095,3122,Luiz Panza,4521,Erberth Santos,L,0,"Pts: 8x8, Adv",World Champ.,ABS,8F,2016
13042,3122,Luiz Panza,1188,Leandro Lo,L,0,Pts: 3x2,World Champ.,ABS,SF,2017
13209,3122,Luiz Panza,425,Bernardo Faria,L,0,"Pts: 6x6, Adv",World Champ.,100KG,SF,2017
14978,3122,Luiz Panza,2403,Joao Rocha,L,0,Points,ACB 10,O95KG,SPF,2018
16605,3122,Luiz Panza,2403,Joao Rocha,L,0,Pts: 2x0,World Champ.,O100KG,4F,2018
16631,3122,Luiz Panza,1188,Leandro Lo,L,0,Pts: 2x0,World Champ.,ABS,4F,2018
19695,3122,Luiz Panza,224,Roberto Abreu,L,0,Referee Decision,F2W 106,100KG,SPF,2019
20707,3122,Luiz Panza,7507,Nicholas Meregali,L,0,Triangle armbar,World Champ.,100KG,SF,2019
20736,3122,Luiz Panza,1188,Leandro Lo,L,0,Triangle armbar,World Champ.,ABS,4F,2019
21480,3122,Luiz Panza,9180,Vinicius Trator,L,0,"Pts: 0x0, Adv",IBJJF GP,ABS,4F,2019
24219,3122,Luiz Panza,6805,Max Gimenis,L,0,Pts: 10x0,Pan American,O100KG,F,2020
25087,3122,Luiz Panza,2416,Felipe Pena,L,0,Arm in guillotine,BJJ Stars 5,96KG,4F,2021
26301,3122,Luiz Panza,8346,Craig Jones,L,0,Inside heel hook,WNO 9,92KG,SPF,2021
29586,3122,Luiz Panza,6805,Max Gimenis,L,0,"Pts: 2x2, Adv",World Champ.,O100KG,4F,2021
4381,3122,Luiz Panza,,Unknown,W,1,Botinha,Pre Pans FPJJ,O100KG,4F,2013
4383,3122,Luiz Panza,7224,Diogo Almeida,W,1,RNC,Pre Pans FPJJ,O100KG,SF,2013
4816,3122,Luiz Panza,644,Joao Assis,W,1,Botinha,World Champ.,100KG,4F,2013
4968,3122,Luiz Panza,,Daniel Simmler,W,1,Botinha,NoGi Pan Am.,100KG,F,2013
4970,3122,Luiz Panza,,Ronnie Wuest,W,1,Triangle,NoGi Pan Am.,ABS,4F,2013
4971,3122,Luiz Panza,2035,Vitor Oliveira,W,1,Botinha,NoGi Pan Am.,ABS,SF,2013
