match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
1247,331,Ricardo Abreu,84,Alexandre Ribeiro,L,0,Armbar,World Cup,100KG,SF,2005
2365,331,Ricardo Abreu,505,Roger Gracie,L,0,Ezekiel,World Champ.,100KG,F,2009
2726,331,Ricardo Abreu,505,Roger Gracie,L,0,Pts: 13x2,World Champ.,100KG,F,2010
4192,331,Ricardo Abreu,1369,Dean Lister,L,0,Heel hook,Grapplers Quest,ABS,NA,2012
4847,331,Ricardo Abreu,247,Rodolfo Vieira,L,0,Adv,Copa Podio,ABS,SPF,2013
9097,331,Ricardo Abreu,576,Rafael Lovato,L,0,Arm in guillotine,F2W 3,ABS,SPF,2016
19017,331,Ricardo Abreu,9246,Tex Johnson,L,0,Pts: 1x0,Kasai Dallas,94KG,SPF,2019
1245,331,Ricardo Abreu,,Unknown,W,1,Armbar,World Cup,100KG,NA,2005
1524,331,Ricardo Abreu,,Unknown,W,1,Armbar,Brazilian Cup,100KG,NA,2006
1525,331,Ricardo Abreu,,F. Santoro,W,1,Armbar,Brazilian Cup,100KG,NA,2006
1526,331,Ricardo Abreu,,Fernando Di Piero,W,1,Cross choke,Brazilian Cup,100KG,NA,2006
2115,331,Ricardo Abreu,5715,Isaque Paiva,W,1,armbar,Brasileiro CBJJE,ABS,F,2009
2362,331,Ricardo Abreu,911,Antonio Peinado,W,1,Pts: 12x0,World Champ.,100KG,4F,2009
2439,331,Ricardo Abreu,,Diego Herzog,W,1,Points,South American,ABS,F,2009
2497,331,Ricardo Abreu,1403,Fernando Piero,W,1,Choke,European,100KG,F,2010
2512,331,Ricardo Abreu,449,Alexandre Souza,W,1,Pts: 3x0,WPC SD trials,O92KG,F,2010
2644,331,Ricardo Abreu,607,Gabriel Vella,W,1,Pts: 2x0,World Pro.,O92KG,F,2010
2720,331,Ricardo Abreu,1167,Augusto Ferrari,W,1,Points,World Champ.,100KG,4F,2010
2725,331,Ricardo Abreu,926,Roberto Alencar,W,1,Choke,World Champ.,100KG,SF,2010
