match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
639,338,Ricardo Vieira,195,Robson Moura,L,0,"Pts: 2x2, Adv",World Cup,64KG,F,2002
4986,338,Ricardo Vieira,2997,Joao Miyao,L,0,Heel hook,ADCC,66KG,4F,2013
586,338,Ricardo Vieira,5206,Andre Motta,W,1,N/A,World Champ.,64KG,4F,2001
587,338,Ricardo Vieira,195,Robson Moura,W,1,Pts: 6x5,World Champ.,64KG,SF,2001
588,338,Ricardo Vieira,1019,Daniel Beleza,W,1,"Pts: 0x0, Adv",World Champ.,64KG,F,2001
638,338,Ricardo Vieira,,Marco Galvao,W,1,Ezekiel,World Cup,64KG,SF,2002
647,338,Ricardo Vieira,,Dai Yoshioka,W,1,Pts: 10x0,Ground Impact,64KG,SPF,2002
927,338,Ricardo Vieira,,Marcelo dos Santos,W,1,Points,World Cup,64KG,SF,2003
928,338,Ricardo Vieira,,Armando Guedes,W,1,Points,World Cup,64KG,F,2003
1077,338,Ricardo Vieira,,Armando Guedes,W,1,Pts: 2x0,World Cup,64KG,F,2004
1263,338,Ricardo Vieira,1433,Bernardo Pitel,W,1,Triangle,World Cup,64KG,F,2005
4977,338,Ricardo Vieira,,Yuta Sasaki,W,1,Guillotine,ADCC,66KG,R1,2013
