match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
1542,387,Antonio Braga Neto,637,Bruno Bastos,L,0,Pts: 2x1,Copa Cyclone,99KG,SPF,2006
1594,387,Antonio Braga Neto,576,Rafael Lovato,L,0,Pts: 4x2,Brasileiro,100KG,SF,2007
1653,387,Antonio Braga Neto,,Cristiano Tide,L,0,Guillotine,ADCC Trials,99KG,F,2007
1768,387,Antonio Braga Neto,378,Robert Drysdale,L,0,Pts: 4x0,World Champ.,100KG,SF,2007
1890,387,Antonio Braga Neto,449,Alexandre Souza,L,0,"Pts: 0x0, Adv",Brasileiro,ABS,F,2008
1986,387,Antonio Braga Neto,84,Alexandre Ribeiro,L,0,Ezekiel,World Champ.,ABS,4F,2008
2438,387,Antonio Braga Neto,926,Roberto Alencar,L,0,Points,NoGi Worlds,ABS,F,2009
2523,387,Antonio Braga Neto,247,Rodolfo Vieira,L,0,Choke from back,WPC RJ Trials,92KG,SF,2010
2590,387,Antonio Braga Neto,425,Bernardo Faria,L,0,Pts: 2x0,Pan American,ABS,F,2010
2732,387,Antonio Braga Neto,224,Roberto Abreu,L,0,Triangle,World Champ.,O100KG,SF,2010
2924,387,Antonio Braga Neto,984,Marcus Almeida,L,0,Toe hold,World Pro.,O92KG,4F,2011
2990,387,Antonio Braga Neto,984,Marcus Almeida,L,0,Bow and arrow,World Champ.,ABS,4F,2011
3175,387,Antonio Braga Neto,144,Andre Galvao,L,0,Pts: 2x0,Ultimate Abs.,ABS,4F,2011
3273,387,Antonio Braga Neto,644,Joao Assis,L,0,Footlock,ADCC,99KG,4F,2011
3310,387,Antonio Braga Neto,138,Sergio Moraes,L,0,Footlock,ADCC,ABS,R1,2011
3826,387,Antonio Braga Neto,984,Marcus Almeida,L,0,Botinha,World Pro.,O99KG,F,2012
4421,387,Antonio Braga Neto,1272,Leo Nogueira,L,0,Pts: 7x0,Copa Podio,100KG,SF,2013
15071,387,Antonio Braga Neto,644,Joao Assis,L,0,Referee Decision,F2W 61,100KG,SPF,2018
15452,387,Antonio Braga Neto,4177,Gustavo Dias,L,0,Bow and arrow,Pan American,O100KG,4F,2018
16762,387,Antonio Braga Neto,8968,Admilson Gobi,L,0,Pts: 6x2,SP BJJ Pro,O94KG,4F,2018
19673,387,Antonio Braga Neto,1534,R. Evangelista,L,0,DQ,Pan American,O100KG,SF,2019
21818,387,Antonio Braga Neto,984,Marcus Almeida,L,0,Pts: 2x0,ADCC,O99KG,R1,2019
1517,387,Antonio Braga Neto,,Unknown,W,1,Choke,Team Nationals,O88KG,4F,2006
1520,387,Antonio Braga Neto,680,Igor Silva,W,1,Choke,Team Nationals,O88KG,F,2006
1651,387,Antonio Braga Neto,,Unknown,W,1,Kimura,ADCC Trials,99KG,4F,2007
1652,387,Antonio Braga Neto,,Unknown,W,1,Points,ADCC Trials,99KG,SF,2007
