match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4983,4163,Marcio Andre Barbosa Junior,147,Rubens Charles,L,0,Pts: 3x0,ADCC,66KG,4F,2013
8254,4163,Marcio Andre Barbosa Junior,428,Celso Vinicius,L,0,Pts: 2x0,Grand Slam LA,77KG,SF,2015
8999,4163,Marcio Andre Barbosa Junior,4521,Erberth Santos,L,0,Kneebar,European Open,ABS,4F,2016
9257,4163,Marcio Andre Barbosa Junior,5414,Osvaldo Moizinho,L,0,Loop choke,Pan American,70KG,SF,2016
9534,4163,Marcio Andre Barbosa Junior,2416,Felipe Pena,L,0,Pts: 4x0,World Pro,ABS,R2,2016
9963,4163,Marcio Andre Barbosa Junior,179,Rafael Mendes,L,0,"Pts: 10x10, Adv",World Champ.,70KG,F,2016
11511,4163,Marcio Andre Barbosa Junior,5636,Manuel Ribamar,L,0,Pts: 2x0,European Open,ABS,8F,2017
11956,4163,Marcio Andre Barbosa Junior,5238,Edwin Najmi,L,0,Triangle,ACBJJ 4,75KG,F,2017
12098,4163,Marcio Andre Barbosa Junior,6592,Dany Gerard,L,0,Armbar,Pan American,ABS,8F,2017
12177,4163,Marcio Andre Barbosa Junior,358,Lucas Lepri,L,0,Pts: 2x0,Pan American,76KG,F,2017
13096,4163,Marcio Andre Barbosa Junior,8231,Leo Saggioro,L,0,Referee Decision,World Champ.,70KG,4F,2017
14974,4163,Marcio Andre Barbosa Junior,358,Lucas Lepri,L,0,Choke,ACB 10,75KG,SPF,2018
15322,4163,Marcio Andre Barbosa Junior,122,Michael Langhi,L,0,Referee Decision,ACBJJ 11,75KG,SPF,2018
16213,4163,Marcio Andre Barbosa Junior,6599,Rafael Mansur,L,0,Injury,Brasileiro,70KG,SF,2018
16481,4163,Marcio Andre Barbosa Junior,7002,Jamil Hill-Taylor,L,0,"Pts: 0x0, Adv",World Champ.,70KG,SF,2018
17831,4163,Marcio Andre Barbosa Junior,4655,Michael Liera,L,0,Pts: 2x0,LA BJJ Pro,82KG,SF,2018
18617,4163,Marcio Andre Barbosa Junior,4248,Gianni Grippo,L,0,RNC,NoGi Worlds,73KG,F,2018
19019,4163,Marcio Andre Barbosa Junior,7539,Renato Canuto,L,0,Inside heel hook,Kasai Dallas,76KG,SPF,2019
20607,4163,Marcio Andre Barbosa Junior,9002,Matheus Gabriel,L,0,Armlock,World Champ.,70KG,F,2019
20860,4163,Marcio Andre Barbosa Junior,8516,Lucas Valente,L,0,Referee Decision,Third Coast,75KG,SPF,2019
21763,4163,Marcio Andre Barbosa Junior,10199,Guthierry Barbosa,L,0,Referee Decision,F2W 126,76KG,SPF,2019
22698,4163,Marcio Andre Barbosa Junior,8116,Dante Leon,L,0,Referee Decision,GrappleFest 7,85KG,SPF,2019
23508,4163,Marcio Andre Barbosa Junior,10085,Johnatha Alves,L,0,Referee Decision,Artista JJ,76KG,SPF,2020
23706,4163,Marcio Andre Barbosa Junior,4655,Michael Liera,L,0,Referee Decision,F2W 137,77KG,SPF,2020
23932,4163,Marcio Andre Barbosa Junior,6071,Gabriel Arges,L,0,Referee Decision,F2W 151,84KG,SPF,2020
24022,4163,Marcio Andre Barbosa Junior,4655,Michael Liera,L,0,Referee Decision,Grand Slam MIA,77KG,4F,2020
24384,4163,Marcio Andre Barbosa Junior,11510,Samuel Nagai,L,0,Referee Decision,F2W 156,77KG,SPF,2020
25591,4163,Marcio Andre Barbosa Junior,9002,Matheus Gabriel,L,0,Referee Decision,EUG 1,70KG,SF,2021
25611,4163,Marcio Andre Barbosa Junior,10408,Israel Sousa,L,0,Pts: 3x1,WP BR Qualifier,69KG,F,2021
29507,4163,Marcio Andre Barbosa Junior,8516,Lucas Valente,L,0,Referee Decision,World Champ.,76KG,4F,2021
37193,4163,Marcio Andre Barbosa Junior,12897,Elijah Dorsey,L,0,Pts: 6x4,European Open,76KG,R2,2023
37601,4163,Marcio Andre Barbosa Junior,11878,Andy Murasaki,L,0,Pts: 2x0,Spyder RTBB,75KG,SF,2023
4980,4163,Marcio Andre Barbosa Junior,,Robert Sabaruddin,W,1,Pts: 6x0,ADCC,66KG,R1,2013
6098,4163,Marcio Andre Barbosa Junior,,Unknown,W,1,Bow and arrow,S/A SJJSAF,70KG,SF,2014
6099,4163,Marcio Andre Barbosa Junior,7376,Ilke Bulut,W,1,Pts: 10x4,S/A SJJSAF,70KG,F,2014
6102,4163,Marcio Andre Barbosa Junior,4851,Kim Terra,W,1,"Pts: 4x4, Adv",Brasileiro NoGi,76KG,F,2014
6535,4163,Marcio Andre Barbosa Junior,7645,Masahiro Iwasaki,W,1,Referee Decision,European,70KG,4F,2015
6539,4163,Marcio Andre Barbosa Junior,7698,Gabriel Marangoni,W,1,Pts: 4x2,European,70KG,SF,2015
6541,4163,Marcio Andre Barbosa Junior,4248,Gianni Grippo,W,1,Adv,European,70KG,F,2015
8252,4163,Marcio Andre Barbosa Junior,,Youngam Noh,W,1,Pts: 5x0,Grand Slam LA,77KG,4F,2015
8920,4163,Marcio Andre Barbosa Junior,6103,Isaac Doederlein,W,1,Pts: 4x2,European Open,70KG,4F,2016
