match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
1005,422,Braulio Estima,117,Ronaldo Souza,L,0,Flying triangle,Pan American,88KG,F,2004
1196,422,Braulio Estima,,Vitor Viana,L,0,RNC,ADCC,99KG,R1,2005
1303,422,Braulio Estima,117,Ronaldo Souza,L,0,Pts: 6x0,World Champ.,88KG,F,2005
1324,422,Braulio Estima,117,Ronaldo Souza,L,0,Pts: 9x0,World Champ.,ABS,SF,2005
1393,422,Braulio Estima,84,Alexandre Ribeiro,L,0,Points,Pan American,ABS,SF,2006
1466,422,Braulio Estima,224,Roberto Abreu,L,0,Armbar,World Champ.,ABS,R1,2006
1657,422,Braulio Estima,477,Tarsis Humphreys,L,0,Points,ADCC,ABS,R1,2007
1715,422,Braulio Estima,84,Alexandre Ribeiro,L,0,Points,ADCC,99KG,F,2007
1844,422,Braulio Estima,,Jeff Monson,L,0,Points,10k Challenge,ABS,F,2007
1955,422,Braulio Estima,144,Andre Galvao,L,0,Choke from back,World Champ.,88KG,F,2008
2130,422,Braulio Estima,477,Tarsis Humphreys,L,0,"Pts: 2x2, Adv",World Pro.,ABS,F,2009
2144,422,Braulio Estima,247,Rodolfo Vieira,L,0,"Pts: 0x0, Adv",World Pro.,94KG,SF,2009
2636,422,Braulio Estima,410,Claudio Calasans,L,0,Adv,World Pro.,ABS,F,2010
2642,422,Braulio Estima,410,Claudio Calasans,L,0,"Pts: 2x2, Pen",World Pro.,83KG,F,2010
4471,422,Braulio Estima,247,Rodolfo Vieira,L,0,Referee Decision,Metamoris 2,ABS,SPF,2013
4845,422,Braulio Estima,84,Alexandre Ribeiro,L,0,Points,Copa Podio,ABS,SPF,2013
5067,422,Braulio Estima,144,Andre Galvao,L,0,RNC,ADCC,ABS,SPF,2013
5633,422,Braulio Estima,3009,Keenan Cornelius,L,0,Pts: 2x0,World Pro.,ABS,4F,2014
5720,422,Braulio Estima,425,Bernardo Faria,L,0,Pts: 8x0,World Champ.,ABS,4F,2014
10183,422,Braulio Estima,1757,Alexander Trans,L,0,Pts: 6x0,Copa Podio,ABS,SPF,2016
14969,422,Braulio Estima,8100,Rudson Mateus,L,0,Referee Decision,ACB 10,85KG,SPF,2018
1002,422,Braulio Estima,,Todd Margolis,W,1,Triangle,Pan American,88KG,4F,2004
1003,422,Braulio Estima,1223,Cassio Werneck,W,1,Ezekiel,Pan American,88KG,SF,2004
1296,422,Braulio Estima,1325,Ricardo Cavalcanti,W,1,Armbar,World Champ.,88KG,R1,2005
1299,422,Braulio Estima,,Rafael Mota,W,1,Adv,World Champ.,88KG,4F,2005
1301,422,Braulio Estima,112,Demian Maia,W,1,"Pts: 0x0, Adv",World Champ.,88KG,SF,2005
1322,422,Braulio Estima,84,Alexandre Ribeiro,W,1,Pts: 5x4,World Champ.,ABS,R1,2005
1376,422,Braulio Estima,,Carlos Francis,W,1,N/A,Pan American,94KG,SF,2006
1377,422,Braulio Estima,562,Eduardo Telles,W,1,Triangle armbar,Pan American,94KG,F,2006
1381,422,Braulio Estima,613,Wellington Dias,W,1,Triangle,Pan American,ABS,R1,2006
1388,422,Braulio Estima,9941,Edson Diniz,W,1,Armbar,Pan American,ABS,4F,2006
1438,422,Braulio Estima,,Rogel Alexandre,W,1,Triangle,World Champ.,88KG,R1,2006
1443,422,Braulio Estima,449,Alexandre Souza,W,1,Triangle,World Champ.,88KG,4F,2006
1444,422,Braulio Estima,1820,Delson Heleno,W,1,Pts: 6x4,World Champ.,88KG,F,2006
1709,422,Braulio Estima,,Tomas Szczerek,W,1,Armbar,ADCC,99KG,R1,2007
