match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
5368,4235,Victor Silverio,1523,Clark Gracie,L,0,Kimura,Pan American,82KG,R1,2014
5598,4235,Victor Silverio,446,Gilbert Burns,L,0,Pts: 2x0,Copa Podio,77KG,GP,2014
5601,4235,Victor Silverio,4248,Gianni Grippo,D,0.5,---,Copa Podio,77KG,GP,2014
5603,4235,Victor Silverio,1188,Leandro Lo,L,0,Pts: 8x0,Copa Podio,77KG,SF,2014
5816,4235,Victor Silverio,1188,Leandro Lo,L,0,Adv,World Champ.,82KG,4F,2014
6397,4235,Victor Silverio,9758,Kit Dale,D,0.5,---,Polaris,ABS,SPF,2015
6499,4235,Victor Silverio,4521,Erberth Santos,L,0,"Pts: 0x0, Adv",European,ABS,R3,2015
6583,4235,Victor Silverio,1386,Davi Ramos,L,0,Pts: 2x0,European,82KG,4F,2015
6717,4235,Victor Silverio,4542,Felipe Cesar,L,0,Pts: 4x2,Gramado Trials,85KG,SF,2015
6842,4235,Victor Silverio,2107,Otavio Sousa,L,0,Referee Decision,Pan American,82KG,4F,2015
6922,4235,Victor Silverio,,William Martins,L,0,Adv,Rio Fall Open,ABS,R1,2015
6936,4235,Victor Silverio,,Sandro Vieira,L,0,Points,Rio Fall Open,82KG,SF,2015
7121,4235,Victor Silverio,3009,Keenan Cornelius,L,0,Armbar,World Pro,85KG,R2,2015
7185,4235,Victor Silverio,1188,Leandro Lo,L,0,Pts: 4x2,World Pro,ABS,R2,2015
7242,4235,Victor Silverio,443,Claudio Mattos,L,0,Referee Decision,Brasileiro,82KG,SF,2015
7268,4235,Victor Silverio,4521,Erberth Santos,L,0,"Pts: 0x0, Adv",Brasileiro,ABS,SF,2015
7461,4235,Victor Silverio,484,Murilo Santana,L,0,Referee Decision,World Champ.,82KG,8F,2015
8536,4235,Victor Silverio,2107,Otavio Sousa,L,0,"Pts: 2x2, Adv",IBJJF NY Pro,82KG,F,2015
9287,4235,Victor Silverio,4789,Marcos Tinoco,L,0,Referee Decision,Pan American,82KG,R1,2016
9385,4235,Victor Silverio,425,Bernardo Faria,L,0,Triangle,Pan American,ABS,8F,2016
9704,4235,Victor Silverio,5655,Lucas Barbosa,L,0,Pts: 5x2,San Antonio Open,88KG,F,2016
9712,4235,Victor Silverio,5636,Manuel Ribamar,L,0,Pts: 6x4,San Antonio Open,ABS,SF,2016
9888,4235,Victor Silverio,9711,Jurandir Conceicao,L,0,Points,Miami SPO,88KG,SF,2016
9900,4235,Victor Silverio,4859,Ricardo Rezende,L,0,Armbar,Miami SPO,ABS,SF,2016
9994,4235,Victor Silverio,5258,Dillon Danis,L,0,Referee Decision,World Champ.,82KG,R2,2016
10448,4235,Victor Silverio,5238,Edwin Najmi,L,0,Injury,Grand Slam LA,77KG,F,2016
11667,4235,Victor Silverio,6071,Gabriel Arges,L,0,Pts: 6x2,UAEJJF Orlando,85KG,F,2017
11960,4235,Victor Silverio,6337,Arnaldo Maidana,L,0,Referee Decision,ACBJJ 4,85KG,4F,2017
12167,4235,Victor Silverio,6563,Francisco Iturralde,L,0,"Pts: 2x2, Adv",Pan American,76KG,8F,2017
12387,4235,Victor Silverio,390,Abmar Barbosa,L,0,Points,NY Spring Open,82KG,SF,2017
13142,4235,Victor Silverio,7047,Matheus Spirandeli,L,0,"Pts: 2x2, Adv",World Champ.,82KG,8F,2017
13519,4235,Victor Silverio,8081,Nathan Mendelsohn,L,0,Pts: 2x0,San Jose Open,82KG,F,2017
13527,4235,Victor Silverio,1740,Yuri Simoes,L,0,Pts: 2x0,San Jose Open,ABS,F,2017
14286,4235,Victor Silverio,11257,Gabriel Procopio,L,0,Points,Long Beach Open,82KG,F,2017
14296,4235,Victor Silverio,3009,Keenan Cornelius,L,0,Pts: 8x0,Long Beach Open,ABS,F,2017
14412,4235,Victor Silverio,4542,Felipe Cesar,L,0,Points,BJJ NY Pro,82KG,SF,2017
14690,4235,Victor Silverio,7096,Josh Hinger,L,0,RNC,NoGi Worlds,79KG,4F,2017
15145,4235,Victor Silverio,7664,Johnny Tama,L,0,Points,Houston Open,76KG,SF,2018
15404,4235,Victor Silverio,2035,Vitor Oliveira,L,0,"Pts: 0x0, Pen",Pan American,76KG,4F,2018
15741,4235,Victor Silverio,,Piter Frank,L,0,Adv,San Jose Open,76KG,F,2018
15758,4235,Victor Silverio,1740,Yuri Simoes,L,0,Referee Decision,San Jose Open,ABS,F,2018
16340,4235,Victor Silverio,122,Michael Langhi,L,0,Referee Decision,ACBJJ 13,75KG,SPF,2018
16356,4235,Victor Silverio,9637,Sergio Rios,L,0,Pts: 2x0,ACB North America,75KG,4F,2018
16380,4235,Victor Silverio,8357,Gustavo Batista,L,0,Pts: 2x0,ACB North America,ABS,4F,2018
16511,4235,Victor Silverio,7539,Renato Canuto,L,0,"Pts: 0x0, Adv",World Champ.,76KG,4F,2018
17237,4235,Victor Silverio,9344,PJ Barch,L,0,Pts: 2x0,Kasai Pro 3,77KG,RR,2018
17239,4235,Victor Silverio,10759,Jason Rau,L,0,Inside heel hook,Kasai Pro 3,77KG,RR,2018
17245,4235,Victor Silverio,7539,Renato Canuto,D,0.5,---,Kasai Pro 3,77KG,RR,2018
17305,4235,Victor Silverio,9253,Michael Trasso,L,0,Pts: 6x2,LV NG Open,79KG,SF,2018
17580,4235,Victor Silverio,9217,Caio Caetano,L,0,Referee Decision,Grand Slam LA,77KG,F,2018
17810,4235,Victor Silverio,5636,Manuel Ribamar,L,0,Referee Decision,WSOG 2,81KG,F,2018
18058,4235,Victor Silverio,9876,Alef Brito,L,0,Pen,SJJIF Worlds,82KG,4F,2018
18639,4235,Victor Silverio,8138,Hugo Marques,L,0,"Pts: 0x0, Adv",NoGi Worlds,79KG,4F,2018
19625,4235,Victor Silverio,4655,Michael Liera,L,0,Pts: 2x0,Pan American,82KG,8F,2019
19997,4235,Victor Silverio,5660,Lucas Rocha,L,0,Pts: 5x2,San Jose Open,82KG,F,2019
20015,4235,Victor Silverio,3122,Luiz Panza,L,0,Botinha,San Jose Open,ABS,F,2019
20622,4235,Victor Silverio,9121,Ygor Rodrigues,L,0,Referee Decision,World Champ.,76KG,R2,2019
21678,4235,Victor Silverio,4460,Jaime Canuto,L,0,"Pts: 0x0, Adv",Grand Slam LA,77KG,4F,2019
22522,4235,Victor Silverio,12110,Nick Rodriguez,L,0,EBI/OT,BJJ Fanatics,ABS,R1,2019
26730,4235,Victor Silverio,12323,Luan Andrei,L,0,DQ,American NGN,79KG,F,2021
37980,4235,Victor Silverio,8514,Fellipe Andrew,L,0,Pts: 4x0,LA NGO,ABS,SF,2023
39051,4235,Victor Silverio,11208,Jackson Nagai,L,0,Referee Decision,Santa Cruz O,82KG,SF,2023
42487,4235,Victor Silverio,11707,Oliver Taza,L,0,Referee Decision,EUG JJB,82KG,4F,2023
5216,4235,Victor Silverio,8290,Marcos Costa,W,1,Choke,Etapa 2 FJJR,82KG,F,2014
5586,4235,Victor Silverio,2304,Fernando Vieira,D,0.5,---,Copa Podio,77KG,GP,2014
5596,4235,Victor Silverio,,M. Andre,W,1,Choke from back,Copa Podio,77KG,GP,2014
5605,4235,Victor Silverio,446,Gilbert Burns,W,1,"Pts: 2x2, Pen",Copa Podio,77KG,3PLC,2014
5879,4235,Victor Silverio,,Unknown,W,1,Armbar,Rio Open,ABS,R1,2014
5880,4235,Victor Silverio,,Andre 'Deco',W,1,"Pts: 2x2, Adv",Rio Open,ABS,R2,2014
5881,4235,Victor Silverio,6792,Cassio Francis,W,1,Adv,Rio Open,ABS,4F,2014
5882,4235,Victor Silverio,,Alan Regis,W,1,Adv,Rio Open,ABS,SF,2014
5883,4235,Victor Silverio,,Unknown,W,1,Pts: 10x4,Rio Open,82KG,4F,2014
5885,4235,Victor Silverio,8334,Diego Vivaldo,W,1,Adv,Rio Open,82KG,SF,2014
5895,4235,Victor Silverio,4542,Felipe Cesar,W,1,Referee Decision,SP Open,82KG,SF,2014
5936,4235,Victor Silverio,1055,Tiago Alves,W,1,Pts: 1x0,Rematch G.,82KG,SPF,2014
6485,4235,Victor Silverio,,Vinicius Nascimento,W,1,Pts: 6x0,European,ABS,R2,2015
6572,4235,Victor Silverio,,Youngam Noh,W,1,"Pts: 2x2, Adv",European,82KG,R1,2015
6577,4235,Victor Silverio,,Thomas Oyarzun,W,1,Adv,European,82KG,R2,2015
6712,4235,Victor Silverio,,Elfraklin Souza,W,1,Referee Decision,Gramado Trials,85KG,R1,2015
6715,4235,Victor Silverio,2324,Eduardo Santoro,W,1,"Pts: 0x0, Adv",Gramado Trials,85KG,4F,2015
6821,4235,Victor Silverio,,Jonatas Novaes,W,1,Pts: 6x0,Pan American,82KG,R1,2015
6833,4235,Victor Silverio,7672,Caio Almeida,W,1,"Pts: 2x2, Adv",Pan American,82KG,R3,2015
6935,4235,Victor Silverio,,Ricardo Lima,W,1,Bow and arrow,Rio Fall Open,82KG,4F,2015
7112,4235,Victor Silverio,,Fabio Pulita,W,1,"Pts: 0x0, Adv",World Pro,85KG,R1,2015
7183,4235,Victor Silverio,,Antonio Junior,W,1,Pts: 2x0,World Pro,ABS,R1,2015
7260,4235,Victor Silverio,,Felipe Grili,W,1,Points,Brasileiro,ABS,R1,2015
7264,4235,Victor Silverio,,Julian Matsumoto,W,1,Points,Brasileiro,ABS,R2,2015
7266,4235,Victor Silverio,4960,Dimitrius Souza,W,1,Adv,Brasileiro,ABS,4F,2015
8291,4235,Victor Silverio,4859,Ricardo Rezende,W,1,"Pts: 0x0, Adv",Miami Open,88KG,SF,2015
8293,4235,Victor Silverio,4145,Thiago Sa,W,1,Pts: 4x2,Miami Open,88KG,F,2015
8533,4235,Victor Silverio,8081,Nathan Mendelsohn,W,1,Pts: 2x0,IBJJF NY Pro,82KG,4F,2015
