match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
5249,4248,Gianni Grippo,179,Rafael Mendes,L,0,Pts: 5x0,European,70KG,SF,2014
5494,4248,Gianni Grippo,8231,Leo Saggioro,L,0,Referee Decision,WP Montreal,70KG,F,2014
5504,4248,Gianni Grippo,2107,Otavio Sousa,L,0,"Pts: 0x0, Adv",WP Montreal,ABS,SF,2014
5585,4248,Gianni Grippo,,M. Andre,D,0.5,---,Copa Podio,77KG,GP,2014
5592,4248,Gianni Grippo,446,Gilbert Burns,L,0,Armbar,Copa Podio,77KG,GP,2014
5599,4248,Gianni Grippo,2304,Fernando Vieira,D,0.5,---,Copa Podio,77KG,GP,2014
5647,4248,Gianni Grippo,8231,Leo Saggioro,L,0,Adv,World Pro.,70KG,SF,2014
5769,4248,Gianni Grippo,179,Rafael Mendes,L,0,Choke from back,World Champ.,70KG,4F,2014
5904,4248,Gianni Grippo,5414,Osvaldo Moizinho,L,0,Referee Decision,SF Open,ABS,SF,2014
5971,4248,Gianni Grippo,5414,Osvaldo Moizinho,L,0,"Pts: 2x2, Adv",No Gi Pan Am.,70KG,SF,2014
5993,4248,Gianni Grippo,3200,Jackson Sousa,L,0,Pts: 2x0,No Gi Pan Am.,ABS,SF,2014
6028,4248,Gianni Grippo,5414,Osvaldo Moizinho,L,0,Referee Decision,NoGi Worlds,67KG,SF,2014
6076,4248,Gianni Grippo,188,Augusto Mendes,L,0,Referee Decision,World Expo,ABS,SPF,2014
6082,4248,Gianni Grippo,1436,Samir Chantre,L,0,Adv,Las Vegas Open,70KG,F,2014
6110,4248,Gianni Grippo,2997,Joao Miyao,L,0,Pts: 6x4,NYC Pro,70KG,F,2014
6189,4248,Gianni Grippo,2997,Joao Miyao,L,0,Pen,Copa Podio,70KG,SPF,2014
6541,4248,Gianni Grippo,4163,Marcio Andre,L,0,Adv,European,70KG,F,2015
6731,4248,Gianni Grippo,,Magid Hage,L,0,Referee Decision,SF Open,ABS,SF,2015
7013,4248,Gianni Grippo,2999,Paulo Miyao,L,0,Adv,NY Spring Open,70KG,F,2015
7288,4248,Gianni Grippo,2999,Paulo Miyao,L,0,Pts: 9x2,Boston Spring Open,70KG,F,2015
7964,4248,Gianni Grippo,147,Rubens Charles,L,0,Pts: 3x0,ADCC,66KG,4F,2015
8175,4248,Gianni Grippo,2999,Paulo Miyao,L,0,Referee Decision,NoGi Pan Ams,70KG,F,2015
8202,4248,Gianni Grippo,5649,Garry Tonon,L,0,"Pts: 6x6, Adv",NoGi Pan Ams,ABS,SF,2015
8408,4248,Gianni Grippo,188,Augusto Mendes,L,0,Pts: 2x0,NoGi Worlds,67KG,SF,2015
8531,4248,Gianni Grippo,4851,Kim Terra,L,0,Referee Decision,IBJJF NY Pro,70KG,F,2015
9409,4248,Gianni Grippo,174,Bruno Frazatto,D,0.5,---,Polaris 3,70KG,SPF,2016
9573,4248,Gianni Grippo,6599,Rafael Mansur,L,0,"Pts: 0x0, Adv",World Pro,69KG,8F,2016
9937,4248,Gianni Grippo,6151,Hiago George,L,0,Pts: 4x0,World Champ.,64KG,4F,2016
10905,4248,Gianni Grippo,4163,Marcio Andre,L,0,"Pts: 2x2, Adv",NoGi Worlds,73KG,4F,2016
11129,4248,Gianni Grippo,2997,Joao Miyao,L,0,Pts: 2x0,NY BJJ Pro,70KG,F,2016
11561,4248,Gianni Grippo,147,Rubens Charles,L,0,Pts: 5x0,European Open,70KG,F,2017
12133,4248,Gianni Grippo,7002,Jamil Hill-Taylor,L,0,Referee Decision,Pan American,70KG,8F,2017
13100,4248,Gianni Grippo,8231,Leo Saggioro,L,0,Referee Decision,World Champ.,70KG,SF,2017
13547,4248,Gianni Grippo,3009,Keenan Cornelius,L,0,Armbar,Boston SM. Open,ABS,F,2017
13980,4248,Gianni Grippo,7399,Horlando Monteiro,L,0,Referee Decision,Atlanta SM Open,ABS,F,2017
14029,4248,Gianni Grippo,,Josh Bacallao,L,0,"Pts: 0x0, Adv",No Gi Pan Am.,ABS,4F,2017
14402,4248,Gianni Grippo,6368,Kevin Mahecha,L,0,"Pts: 6x6, Adv",BJJ NY Pro,70KG,4F,2017
14581,4248,Gianni Grippo,428,Celso Vinicius,D,0.5,---,Kasai Pro,70KG,RR,2017
14585,4248,Gianni Grippo,,Edwin Ocasio,D,0.5,---,Kasai Pro,70KG,RR,2017
14661,4248,Gianni Grippo,8069,Pablo Mantovani,L,0,Pts: 2x0,NoGi Worlds,67KG,SF,2017
14909,4248,Gianni Grippo,4163,Marcio Andre,L,0,Pts: 4x2,European Open,70KG,F,2018
16028,4248,Gianni Grippo,428,Celso Vinicius,L,0,"Pts: 0x0, Adv",King of Mats,69KG,RR,2018
16048,4248,Gianni Grippo,8231,Leo Saggioro,L,0,Referee Decision,King of Mats,69KG,F,2018
16135,4248,Gianni Grippo,2999,Paulo Miyao,L,0,"Pts: 2x2, Adv",World Pro,69KG,F,2018
16215,4248,Gianni Grippo,6599,Rafael Mansur,L,0,Referee Decision,Brasileiro,70KG,F,2018
16478,4248,Gianni Grippo,5414,Osvaldo Moizinho,L,0,Pts: 4x2,World Champ.,70KG,4F,2018
17233,4248,Gianni Grippo,8767,Jon Calestine,L,0,Referee Decision,Kasai Pro 3,68KG,SPF,2018
18203,4248,Gianni Grippo,188,Augusto Mendes,D,0.5,---,Kasai Pro 4,65KG,R3,2018
18428,4248,Gianni Grippo,9261,Ross Nicholls,L,0,Referee Decision,GrappleFest 3,80KG,SPF,2018
18901,4248,Gianni Grippo,9014,Levi Jones,L,0,Pts: 4x2,European Open,76KG,SF,2019
20864,4248,Gianni Grippo,5238,Edwin Najmi,L,0,Points,Third Coast,75KG,SPF,2019
21423,4248,Gianni Grippo,9094,Richar Nogueira,L,0,Pts: 6x4,Las Vegas Open,70KG,SF,2019
21570,4248,Gianni Grippo,11093,Emilio Hernandez,L,0,Pts: 2x0,No Gi Pan Am.,67KG,SF,2019
21870,4248,Gianni Grippo,10357,Richard Alarcon,L,0,Pts: 4x0,ADCC,66KG,R1,2019
23076,4248,Gianni Grippo,9051,Gabriel Sousa,L,0,Pts: 6x4,European Open,70KG,R1,2020
23237,4248,Gianni Grippo,11015,Pablo Lavaselli,L,0,Referee Decision,Atlanta WO,76KG,F,2020
23251,4248,Gianni Grippo,6805,Max Gimenis,L,0,Arm in Ezekiel,Atlanta WO,ABS,F,2020
23443,4248,Gianni Grippo,10638,Angelo Claiborne,L,0,Adv,Miami WO,ABS,4F,2020
23979,4248,Gianni Grippo,11510,Samuel Nagai,L,0,Referee Decision,F2W 153,70KG,SPF,2020
24146,4248,Gianni Grippo,8632,Thiago Macedo,L,0,Pts: 4x0,Pan American,70KG,4F,2020
24458,4248,Gianni Grippo,9051,Gabriel Sousa,L,0,Referee Decision,No Gi Pan Am.,67KG,SF,2020
25192,4248,Gianni Grippo,9094,Richar Nogueira,L,0,Pts: 2x0,Dallas Open,70KG,F,2021
25590,4248,Gianni Grippo,11878,Andy Murasaki,L,0,Triangle,EUG 1,70KG,SF,2021
26265,4248,Gianni Grippo,6368,Kevin Mahecha,L,0,Referee Decision,Miami Open,76KG,SF,2021
26273,4248,Gianni Grippo,,Thiago Cintra,L,0,Points,Miami Open,ABS,SF,2021
28707,4248,Gianni Grippo,10840,Diego Oliveira,L,0,Referee Decision,EUG NoGi,70KG,F,2021
28809,4248,Gianni Grippo,12491,Keith Krikorian,L,0,RNC,ADCC EC Trials,66KG,SF,2021
29093,4248,Gianni Grippo,,Stephen Martinez,L,0,Points,JJ CON NG,ABS,F,2021
29806,4248,Gianni Grippo,,Mauricio Gomez,L,0,Referee Decision,F2W 191,76KG,SPF,2022
30894,4248,Gianni Grippo,12115,Kieran Kichuk,L,0,EBI/OT,Emerald City,70KG,SF,2022
31525,4248,Gianni Grippo,11568,Josh Cisneros,L,0,Kneebar,ADCC WC Trials,66KG,SF,2022
35511,4248,Gianni Grippo,8814,Adam Benayoun,L,0,"Pts: 8x8, Adv",NoGi Pan,67KG,SF,2022
36531,4248,Gianni Grippo,8536,Yuta Shimada,L,0,"Pts: 6x6, Adv",N. Haven FO,70KG,F,2022
36764,4248,Gianni Grippo,8427,Michael Perez,L,0,Pts: 2x0,NoGi Worlds,ABS,8F,2022
37841,4248,Gianni Grippo,9051,Gabriel Sousa,L,0,Points,Toro Cup,70KG,F,2023
41751,4248,Gianni Grippo,4542,Felipe Cesar,L,0,Pts: 6x0,NYC NGO,ABS,SF,2023
5248,4248,Gianni Grippo,,Unknown,W,1,Choke from back,European,70KG,4F,2014
5340,4248,Gianni Grippo,,Zachary Adamson,W,1,Points,Pan American,70KG,R1,2014
