match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
2641,443,Claudio Mattos,446,Gilbert Burns,L,0,Pts: 2x0,World Pro.,74KG,F,2010
3449,443,Claudio Mattos,1188,Leandro Lo,L,0,Choke from back,Copa Podio,76KG,F,2011
3611,443,Claudio Mattos,1600,Vinicius Marinho,L,0,Pts: 4x2,Pan American,76KG,4F,2012
3698,443,Claudio Mattos,122,Michael Langhi,L,0,Pts: 8x4,Copa Podio,ABS,SPF,2012
4341,443,Claudio Mattos,7652,C. Negromonte,L,0,Choke from back,South American,88KG,F,2013
4790,443,Claudio Mattos,631,Rodrigo Caporal,L,0,Points,World Champ.,76KG,4F,2013
4882,443,Claudio Mattos,2999,Paulo Miyao,L,0,Adv,Brasileiro CBJJE,NA,NA,2013
5650,443,Claudio Mattos,1824,Roberto Satoshi,L,0,Choke,World Pro.,76KG,SF,2014
6048,443,Claudio Mattos,6337,Arnaldo Maidana,L,0,DQ,NoGi Worlds,88KG,SF,2014
6103,443,Claudio Mattos,7652,C. Negromonte,L,0,Pts: 2x0,Brasileiro NoGi,88KG,F,2014
6139,443,Claudio Mattos,,Dimitrus Souza,L,0,"Pts: 2x2, Adv",Rio BJJ Pro,94KG,F,2014
6957,443,Claudio Mattos,4521,Erberth Santos,L,0,Armbar,Rio Fall NoGi,ABS,F,2015
6990,443,Claudio Mattos,1386,Davi Ramos,L,0,RNC,ADCC RJ,77KG,F,2015
7067,443,Claudio Mattos,5061,Gabriel Rollo,L,0,"Pts: 0x0, Pen",ADCC SP,77KG,F,2015
7244,443,Claudio Mattos,,Augusto Carsalade,L,0,Points,Brasileiro,82KG,F,2015
8062,443,Claudio Mattos,5756,Wellington Luis,L,0,"Pts: 0x0, Adv",Brazil Nat. Pro,77KG,4F,2015
8151,443,Claudio Mattos,5061,Gabriel Rollo,L,0,"Pts: 2x2, Adv",Desafio UK,82KG,RR,2015
8321,443,Claudio Mattos,4430,Patrick Gaudio,L,0,Pts: 3x2,Brasileiro NoGi,85KG,SF,2015
9771,443,Claudio Mattos,5078,Luan Carvalho,L,0,Referee Decision,Brasileiro,82KG,SF,2016
10606,443,Claudio Mattos,7636,Vinicius Garcia,L,0,Pts: 2x0,BH Open,82KG,4F,2016
11709,443,Claudio Mattos,4542,Felipe Cesar,L,0,Referee Decision,ADCC SP Trials,77KG,F,2017
11754,443,Claudio Mattos,5061,Gabriel Rollo,L,0,Pen,ADCC RJ,77KG,SF,2017
26767,443,Claudio Mattos,122,Michael Langhi,L,0,Pts: 2x0,BJJ Stars,ABS,82KG,2021
