match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4692,4460,Jaime Canuto,2999,Paulo Miyao,D,0.5,---,Copa Podio,88KG,GP,2013
4697,4460,Jaime Canuto,,T. Stevens,L,0,Omoplata,Copa Podio,88KG,GP,2013
4701,4460,Jaime Canuto,7231,Manny Diaz,L,0,Armbar,Copa Podio,88KG,GP,2013
5818,4460,Jaime Canuto,289,Alan Finfou,L,0,Pts: 6x4,World Champ.,82KG,4F,2014
6128,4460,Jaime Canuto,,Bruno Ramos,L,0,Adv,TBF VIII,82KG,NA,2014
6585,4460,Jaime Canuto,967,JT Torres,L,0,Pts: 4x0,European,82KG,SF,2015
7243,4460,Jaime Canuto,,Augusto Carsalade,L,0,Points,Brasileiro,82KG,SF,2015
7464,4460,Jaime Canuto,2107,Otavio Sousa,L,0,"Pts: 0x0, Adv",World Champ.,82KG,4F,2015
7655,4460,Jaime Canuto,,Gabriel Procópio,L,0,Pts: 2x0,Brazil Nat. Pro RJ,82KG,F,2015
7708,4460,Jaime Canuto,4521,Erberth Santos,L,0,Points,Rio Winter Open,ABS,F,2015
7841,4460,Jaime Canuto,4542,Felipe Cesar,L,0,Toe hold,SP Open,82KG,4F,2015
8571,4460,Jaime Canuto,4521,Erberth Santos,L,0,Armbar,South American,ABS,F,2015
8692,4460,Jaime Canuto,,Kaue Damasceno,L,0,"Pts: 0x0, Adv",Grand Slam RJ,ABS,R1,2015
9193,4460,Jaime Canuto,6792,Cassio Francis,L,0,Pts: 2x0,Rio Summer Open,ABS,SF,2016
9300,4460,Jaime Canuto,2107,Otavio Sousa,L,0,Pts: 2x0,Pan American,82KG,4F,2016
9859,4460,Jaime Canuto,2107,Otavio Sousa,L,0,Armbar,Atlanta BJJ Pro,82KG,F,2016
11464,4460,Jaime Canuto,6071,Gabriel Arges,L,0,"Pts: 0x0, Adv",Grand Slam AD,85KG,SF,2017
11593,4460,Jaime Canuto,4789,Marcos Tinoco,L,0,Pts: 6x4,European Open,82KG,SF,2017
11815,4460,Jaime Canuto,6253,Diego Borges,L,0,Points,Manaus Nat. Pro,85KG,F,2017
12607,4460,Jaime Canuto,5655,Lucas Barbosa,L,0,Pts: 2x0,WP BR Qualifier,85KG,4F,2017
13154,4460,Jaime Canuto,6071,Gabriel Arges,L,0,Referee Decision,World Champ.,82KG,SF,2017
13378,4460,Jaime Canuto,7096,Josh Hinger,L,0,Pts: 4x2,American Nats,ABS,SF,2017
13395,4460,Jaime Canuto,7552,Isaque Bahiense,L,0,"Pts: 0x0, Adv",Grand Slam TYO,85KG,F,2017
13777,4460,Jaime Canuto,2107,Otavio Sousa,L,0,Points,San Diego Pro,82KG,F,2017
13810,4460,Jaime Canuto,7539,Renato Canuto,L,0,"Pts: 2x2, Adv",Grand Slam LA,77KG,SF,2017
