match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
6265,4655,Michael Liera Junior,6368,Kevin Mahecha,L,0,Pts: 6x0,FIVE NAIC,82KG,F,2014
6266,4655,Michael Liera Junior,6419,Marcel Goncalves,L,0,Referee Decision,FIVE NAIC,ABS,NA,2014
7447,4655,Michael Liera Junior,5061,Gabriel Rollo,L,0,"Pts: 2x2, Adv",World Champ.,76KG,4F,2015
8116,4655,Michael Liera Junior,5747,AJ Sousa,L,0,"Pts: 2x2, Adv",Dallas Open,82KG,SF,2015
8135,4655,Michael Liera Junior,9706,Marcelo Mafra,L,0,"Pts: 2x2, Adv",Dallas NoGi Open,79KG,F,2015
8603,4655,Michael Liera Junior,576,Rafael Lovato,L,0,"Pts: 0x0, Adv",Houston Nat. Pro,94KG,F,2015
8606,4655,Michael Liera Junior,576,Rafael Lovato,L,0,Pts: 7x0,Houston Nat. Pro,ABS,F,2015
9272,4655,Michael Liera Junior,5238,Edwin Najmi,L,0,"Pts: 4x4, Adv",Pan American,76KG,4F,2016
9985,4655,Michael Liera Junior,5238,Edwin Najmi,L,0,"Pts: 0x0, Adv",World Champ.,76KG,4F,2016
11274,4655,Michael Liera Junior,12617,Sean Roberts,L,0,Referee Decision,5 Super League,77KG,4F,2016
12033,4655,Michael Liera Junior,,Peter Frank,L,0,Referee Decision,FIVE SL,82KG,SPF,2017
12176,4655,Michael Liera Junior,358,Lucas Lepri,L,0,Pts: 18x0,Pan American,76KG,SF,2017
12831,4655,Michael Liera Junior,7664,Johnny Tama,L,0,Estima lock,Marianas,82KG,4F,2017
13107,4655,Michael Liera Junior,1014,Jake Mackenzie,L,0,Points,World Champ.,76KG,R1,2017
13776,4655,Michael Liera Junior,4460,Jaime Canuto,L,0,Pts: 4x2,San Diego Pro,82KG,SF,2017
14693,4655,Michael Liera Junior,4542,Felipe Cesar,L,0,"Pts: 2x2, Adv",NoGi Worlds,79KG,SF,2017
14934,4655,Michael Liera Junior,8081,Nathan Mendelsohn,L,0,"Pts: 2x2, Adv",European Open,82KG,4F,2018
16012,4655,Michael Liera Junior,8528,Servio Tulio,L,0,Pts: 4x2,Marianas Open,81KG,4F,2018
16488,4655,Michael Liera Junior,8215,Espen Mathiesen,L,0,Referee Decision,World Champ.,76KG,R2,2018
17112,4655,Michael Liera Junior,,Wellington Modena,L,0,Points,Seattle Open,ABS,SF,2018
17833,4655,Michael Liera Junior,2107,Otavio Sousa,L,0,"Pts: 0x0, Adv",LA BJJ Pro,82KG,F,2018
18465,4655,Michael Liera Junior,4163,Marcio Andre,L,0,Points,Denver Open,ABS,F,2018
18640,4655,Michael Liera Junior,5636,Manuel Ribamar,L,0,Short choke,NoGi Worlds,79KG,4F,2018
18914,4655,Michael Liera Junior,8105,Tommy Langaker,L,0,Armlock,European Open,82KG,SF,2019
19630,4655,Michael Liera Junior,7552,Isaque Bahiense,L,0,Pts: 6x4,Pan American,82KG,SF,2019
20653,4655,Michael Liera Junior,4789,Marcos Tinoco,L,0,Pts: 5x0,World Champ.,82KG,4F,2019
23950,4655,Michael Liera Junior,5238,Edwin Najmi,L,0,Referee Decision,F2W 152,77KG,SPF,2020
24167,4655,Michael Liera Junior,10085,Johnatha Alves,L,0,Pts: 4x2,Pan American,76KG,F,2020
25200,4655,Michael Liera Junior,11697,Tainan Dalpra,L,0,Pts: 5x2,Dallas Open,82KG,SF,2021
25212,4655,Michael Liera Junior,10085,Johnatha Alves,L,0,Pts: 8x6,Dallas Open,ABS,SF,2021
25414,4655,Michael Liera Junior,10085,Johnatha Alves,L,0,Pts: 4x2,Orlando Open,76KG,F,2021
25442,4655,Michael Liera Junior,7539,Renato Canuto,L,0,Pts: 4x0,Orlando Open,ABS,F,2021
25458,4655,Michael Liera Junior,,JZ Cavalcante,L,0,"Pts: 0x0, Adv",Orlando NGO,79KG,SF,2021
26595,4655,Michael Liera Junior,10085,Johnatha Alves,L,0,Pts: 2x2,EUG 2,77KG,4F,2021
29505,4655,Michael Liera Junior,9002,Matheus Gabriel,L,0,Pts: 4x2,World Champ.,76KG,4F,2021
33403,4655,Michael Liera Junior,11015,Pablo Lavaselli,L,0,Pts: 4x2,American Nat.,76KG,F,2022
39801,4655,Michael Liera Junior,12652,Marcelo Fausto,L,0,Estima lock,Denver Open,82KG,F,2023
41935,4655,Michael Liera Junior,12897,Elijah Dorsey,L,0,Pts: 7x0,ADCC Arizona,76KG,SF,2023
42430,4655,Michael Liera Junior,12897,Elijah Dorsey,L,0,Referee Decision,ADCC Chicago,76KG,SF,2023
42435,4655,Michael Liera Junior,7686,Sergio Ardila,L,0,Pts: 1x0,ADCC Chicago,76KG,3RD,2023
6227,4655,Michael Liera Junior,7376,Ilke Bulut,W,1,Points,Rickson Cup,76KG,F,2014
6228,4655,Michael Liera Junior,,Kleber Koike,W,1,Points,Rickson Cup,ABS,R1,2014
6229,4655,Michael Liera Junior,,Unknown,W,1,Bow and arrow,Rickson Cup,ABS,4F,2014
7331,4655,Michael Liera Junior,,M. Neidlinger,D,0.5,---,Metamoris 6,ABS,SPF,2015
7440,4655,Michael Liera Junior,,Rafael Rosendo,W,1,Pts: 2x0,World Champ.,76KG,8F,2015
7561,4655,Michael Liera Junior,4789,Marcos Tinoco,D,0.5,---,Sub Series Pro,ABS,SPF,2015
8016,4655,Michael Liera Junior,6351,Alec Baulding,W,1,Pts: 10x4,Atlanta W. Open,82KG,SF,2015
8017,4655,Michael Liera Junior,,Pedro Palhares,W,1,Pts: 17x2,Atlanta W. Open,82KG,F,2015
8025,4655,Michael Liera Junior,,Seth Snow,W,1,RNC,Atlanta No Gi,82KG,SF,2015
8026,4655,Michael Liera Junior,,Frederico Moncaio,W,1,RNC,Atlanta No Gi,82KG,F,2015
8115,4655,Michael Liera Junior,,Philip Miller,W,1,N/A,Dallas Open,82KG,4F,2015
8134,4655,Michael Liera Junior,5747,AJ Sousa,W,1,Points,Dallas NoGi Open,79KG,SF,2015
8343,4655,Michael Liera Junior,,Joshua Guzman,W,1,N/A,Seattle Open,82KG,SF,2015
8346,4655,Michael Liera Junior,,Unknown,W,1,Kneebar,Seattle Open,ABS,4F,2015
8348,4655,Michael Liera Junior,4851,Kim Terra,W,1,Points,Seattle Open,ABS,SF,2015
8349,4655,Michael Liera Junior,,Fernando Moya,W,1,Choke from back,Seattle Open,ABS,F,2015
8552,4655,Michael Liera Junior,,Don Stoner,W,1,Bow and arrow,SubCon,ABS,SPF,2015
8602,4655,Michael Liera Junior,,Tyler Bishop,W,1,Choke from back,Houston Nat. Pro,94KG,SF,2015
8604,4655,Michael Liera Junior,7079,Carlos Farias,W,1,"Pts: 0x0, Adv",Houston Nat. Pro,ABS,RR,2015
8930,4655,Michael Liera Junior,9261,Ross Nicholls,W,1,Kneebar,European Open,76KG,R1,2016
8935,4655,Michael Liera Junior,3110,Victor Genovesi,W,1,Triangle,European Open,76KG,4F,2016
8938,4655,Michael Liera Junior,,Sam Gibson,W,1,Choke from back,European Open,76KG,SF,2016
9264,4655,Michael Liera Junior,,Jeffrey Cummings,W,1,Pts: 5x0,Pan American,76KG,8F,2016
9967,4655,Michael Liera Junior,7376,Ilke Bulut,W,1,Wristlock,World Champ.,76KG,R1,2016
9978,4655,Michael Liera Junior,3313,Juan Kamezawa,W,1,Adv,World Champ.,76KG,R2,2016
11403,4655,Michael Liera Junior,9377,Alexis Alduncin,W,1,Cross Choke,FIVE California,ABS,SF,2017
