match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
1050,471,Bibiano Fernandes,2304,Fernando Vieira,L,0,Pts: 4x2,World Champ.,64KG,F,2004
1606,471,Bibiano Fernandes,790,Mario Reis,L,0,Points,Pan American,70KG,SF,2007
889,471,Bibiano Fernandes,4993,Rodrigo Pagani,W,1,Armbar,World Champ.,64KG,R1,2003
891,471,Bibiano Fernandes,,Marcelo Santos,W,1,Armbar,World Champ.,64KG,4F,2003
893,471,Bibiano Fernandes,,Rafael Primo,W,1,Choke from back,World Champ.,64KG,SF,2003
895,471,Bibiano Fernandes,1594,Carlos Lemos,W,1,Pts: 6x2,World Champ.,64KG,F,2003
966,471,Bibiano Fernandes,,Matsumato,W,1,Pts: 4x0,BB Challenge 3,64KG,SPF,2004
989,471,Bibiano Fernandes,,Andre Soares,W,1,Pts: 8x0,Pan American,64KG,SF,2004
991,471,Bibiano Fernandes,,Dai Yoshida,W,1,N/A,Pan American,64KG,F,2004
1132,471,Bibiano Fernandes,,Eddie Sanchez,W,1,Flying triangle,Budo Challenge,68KG,SF,2005
1133,471,Bibiano Fernandes,,S. Katsumura,W,1,Armlock,Budo Challenge,68KG,F,2005
1148,471,Bibiano Fernandes,,Rodrigo Hirakawa,W,1,Submission,Dumau Cup,64KG,F,2005
1280,471,Bibiano Fernandes,,Ameris Lira,W,1,Armbar,World Champ.,64KG,R1,2005
1281,471,Bibiano Fernandes,,Rodrigo Romeri,W,1,Pts: 5x0,World Champ.,64KG,4F,2005
1282,471,Bibiano Fernandes,963,Carlos Esquisito,W,1,"Pts: 6x6, Adv",World Champ.,64KG,F,2005
1355,471,Bibiano Fernandes,,Davied Jacobs,W,1,Triangle,Pan American,70KG,4F,2006
1357,471,Bibiano Fernandes,975,Jonatas Gurgel,W,1,Points,Pan American,70KG,F,2006
1402,471,Bibiano Fernandes,,David Hader,W,1,Armbar,World Champ.,64KG,4F,2006
1406,471,Bibiano Fernandes,1433,Bernardo Pitel,W,1,Choke from back,World Champ.,64KG,SF,2006
1604,471,Bibiano Fernandes,610,Jeff Glover,W,1,Pts: 5x0,Pan American,70KG,4F,2007
