match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
265,4864,Alexandre Dantas,1736,Daniel Simoes,L,0,Referee Decision,Brasileiro,O100KG,F,1999
379,4864,Alexandre Dantas,86,Fernando Margarida,L,0,Armbar,World Champ.,ABS,4F,2000
742,4864,Alexandre Dantas,16,Marcelo Garcia,L,0,"Pts: 2x2, Adv",Team Nationals,O88KG,4F,2003
1331,4864,Alexandre Dantas,,Alex. Cacareco,L,0,Pts: 4x0,Copa Cyclone,ABS,SPF,2005
1519,4864,Alexandre Dantas,378,Robert Drysdale,L,0,Adv,Team Nationals,O88KG,F,2006
263,4864,Alexandre Dantas,10430,Gabriel Gonzaga,W,1,Points,Brasileiro,O100KG,SF,1999
571,4864,Alexandre Dantas,8762,Rodrigo Ribeiro,W,1,Points,Brasileiro,100KG,SF,2001
572,4864,Alexandre Dantas,,Leandro Lima,W,1,N/A,Brasileiro,100KG,F,2001
618,4864,Alexandre Dantas,8762,Rodrigo Ribeiro,W,1,Points,Brasileiro,100KG,SF,2001
684,4864,Alexandre Dantas,,Alfredo da Silva,W,1,Toe hold,World Champ.,100KG,4F,2002
685,4864,Alexandre Dantas,,Mauro Santos,W,1,N/A,World Champ.,100KG,SF,2002
706,4864,Alexandre Dantas,1382,Marcel Louzado,W,1,Adv,Brasileiro,ABS,R1,2002
707,4864,Alexandre Dantas,112,Demian Maia,W,1,Points,Brasileiro,ABS,4F,2002
709,4864,Alexandre Dantas,16,Marcelo Garcia,W,1,Pts: 9x0,Brasileiro,ABS,SF,2002
710,4864,Alexandre Dantas,,Felipe Pederneiras,W,1,N/A,Brasileiro,ABS,F,2002
715,4864,Alexandre Dantas,559,Rodrigo Comprido,W,1,Points,Pan American,100KG,SF,2002
717,4864,Alexandre Dantas,384,Roberto Tozi,W,1,Points,Pan American,100KG,F,2002
718,4864,Alexandre Dantas,,Marcelinho Garcia,W,1,Armbar,Team Nationals,O88KG,F,2002
723,4864,Alexandre Dantas,,Chico Melo,W,1,Triangle,Rip Dorey,ABS,SPF,2002
724,4864,Alexandre Dantas,453,Daniel Moraes,W,1,Points,Estadual RJ,88KG,4F,2002
725,4864,Alexandre Dantas,,Sergio Canudo,W,1,Toe hold,Estadual RJ,88KG,SF,2002
726,4864,Alexandre Dantas,813,Raphael Abi-Rihan,W,1,Points,Estadual RJ,88KG,F,2002
842,4864,Alexandre Dantas,16,Marcelo Garcia,W,1,Points,World Champ.,ABS,4F,2003
904,4864,Alexandre Dantas,,Amal Easton,W,1,Pts: 15x0,Brazil vs USA,ABS,SPF,2003
915,4864,Alexandre Dantas,,Unknown,W,1,N/A,Pan American,O100KG,4F,2003
916,4864,Alexandre Dantas,573,Fabricio Werdum,W,1,Toe hold,Pan American,O100KG,SF,2003
964,4864,Alexandre Dantas,10430,Gabriel Gonzaga,W,1,Pts: 2x0,BB Challenge 3,O100KG,SPF,2004
973,4864,Alexandre Dantas,,Diego Latorre,W,1,Pts: 10x0,BB Challenge 3,100KG,SPF,2004
1009,4864,Alexandre Dantas,3099,Marcio Corleta,W,1,Pts: 8x0,Pan American,O100KG,F,2004
1099,4864,Alexandre Dantas,437,Fernando Terere,W,1,Points,Estadual RJ,ABS,4F,2004
1156,4864,Alexandre Dantas,,Denis Gomes,W,1,Choke,Cyclone,ABS,SPF,2005
1157,4864,Alexandre Dantas,,Leonardo Chocolate,W,1,Points,Rip Dorey,ABS,SPF,2005
1158,4864,Alexandre Dantas,,Rodrigo Riscado,W,1,Points,ADCC Trials,100KG,SF,2005
1159,4864,Alexandre Dantas,637,Bruno Bastos,W,1,Points,ADCC Trials,100KG,F,2005
1332,4864,Alexandre Dantas,,Rodrigo Oliveira,W,1,Guillotine,JetPower,ABS,SPF,2005
1439,4864,Alexandre Dantas,,Unknown,W,1,Points,World Champ.,88KG,R1,2006
1440,4864,Alexandre Dantas,813,Raphael Abi-Rihan,W,1,Referee Decision,World Champ.,88KG,4F,2006
