match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
292,486,Amaury Bitetti,550,Roberto Roleta,L,0,Pts: 2x0,World Champ.,88KG,SF,1999
324,486,Amaury Bitetti,,Kareem Barkalev,L,0,Pts: 2x0,ADCC,88KG,4F,1999
106,486,Amaury Bitetti,322,Fabio Gurgel,W,1,Adv,World Champ.,ABS,SF,1996
127,486,Amaury Bitetti,666,Alexandre Paiva,W,1,Pts: 5x0,World Champ.,ABS,4F,1997
130,486,Amaury Bitetti,515,Royler Gracie,W,1,Pts: 2x0,World Champ.,ABS,SF,1997
131,486,Amaury Bitetti,322,Fabio Gurgel,W,1,Adv,World Champ.,ABS,F,1997
246,486,Amaury Bitetti,6683,Ryan Gracie,W,1,Pts: 6x0,Brasileiro,88KG,4F,1998
247,486,Amaury Bitetti,,Anderson Xavier,W,1,Points,Brasileiro,88KG,SF,1998
266,486,Amaury Bitetti,,Astregesio Reis,W,1,Points,Brasileiro,ABS,R1,1999
318,486,Amaury Bitetti,,Akira Shouji,W,1,Pts: 5x0,ADCC,88KG,R1,1999
