match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
3676,4960,Dimitrius Souza,1188,Leandro Lo,L,0,Pts: 2x0,Copa Podio,85KG,GP,2012
3696,4960,Dimitrius Souza,1188,Leandro Lo,L,0,Pts: 7x0,Copa Podio,85KG,F,2012
4086,4960,Dimitrius Souza,576,Rafael Lovato,L,0,Referee Decision,World Champ.,88KG,4F,2012
4304,4960,Dimitrius Souza,,Mathias Ribeiro,L,0,Points,London Open,ABS,F,2012
4804,4960,Dimitrius Souza,144,Andre Galvao,L,0,Choke from back,World Champ.,88KG,4F,2013
6926,4960,Dimitrius Souza,4521,Erberth Santos,L,0,Referee Decision,Rio Fall Open,ABS,F,2015
7266,4960,Dimitrius Souza,4235,Victor Silverio,L,0,Adv,Brasileiro,ABS,4F,2015
7500,4960,Dimitrius Souza,84,Alexandre Ribeiro,L,0,Pts: 2x0,World Champ.,94KG,4F,2015
8324,4960,Dimitrius Souza,,Gustavo Saraiva,L,0,Armbar,Brasileiro NoGi,94KG,SF,2015
8511,4960,Dimitrius Souza,4521,Erberth Santos,L,0,Pts: 9x0,IBJJF Rio Pro,94KG,F,2015
8564,4960,Dimitrius Souza,,Pedro Peres,L,0,"Pts: 2x2, Adv",South American,ABS,8F,2015
9796,4960,Dimitrius Souza,6674,Miguel Angel,L,0,Referee Decision,Brasileiro,94KG,SF,2016
10047,4960,Dimitrius Souza,6792,Cassio Francis,L,0,"Pts: 2x2, Adv",World Champ.,94KG,4F,2016
10734,4960,Dimitrius Souza,4521,Erberth Santos,L,0,Toe hold,Floripa Open,ABS,F,2016
10996,4960,Dimitrius Souza,4430,Patrick Gaudio,L,0,Points,BJJ Rio Pro,94KG,F,2016
11090,4960,Dimitrius Souza,,Marcus Fernandes,L,0,Submission,Grand Slam RJ,94KG,4F,2016
11845,4960,Dimitrius Souza,4521,Erberth Santos,L,0,Pts: 4x0,BH Summer Open,ABS,F,2017
12233,4960,Dimitrius Souza,6156,Tanner Rice,L,0,Referee Decision,Pan American,94KG,SF,2017
12713,4960,Dimitrius Souza,5509,Victor Honorio,L,0,Referee Decision,Brasileiro,ABS,4F,2017
12894,4960,Dimitrius Souza,1188,Leandro Lo,L,0,Bow and arrow,Salvador Spring O.,ABS,F,2017
13197,4960,Dimitrius Souza,7507,Nicholas Meregali,L,0,Triangle,World Champ.,94KG,SF,2017
13754,4960,Dimitrius Souza,4521,Erberth Santos,L,0,Bow and arrow,Sao Paulo Open,ABS,F,2017
13756,4960,Dimitrius Souza,984,Marcus Almeida,L,0,"Pts: 0x0, Adv",IBJJF Pro GP,ABS,4F,2017
14384,4960,Dimitrius Souza,84,Alexandre Ribeiro,L,0,Pts: 2x0,Grand Slam RJ,94KG,3RD,2017
14500,4960,Dimitrius Souza,4521,Erberth Santos,L,0,Points,South American,ABS,F,2017
15107,4960,Dimitrius Souza,8514,Fellipe Andrew,L,0,Pts: 2x0,ACB S. American,95KG,4F,2018
16278,4960,Dimitrius Souza,8514,Fellipe Andrew,L,0,Botinha,Brasileiro,94KG,F,2018
16582,4960,Dimitrius Souza,8514,Fellipe Andrew,L,0,Pts: 4x0,World Champ.,94KG,4F,2018
16623,4960,Dimitrius Souza,3122,Luiz Panza,L,0,Botinha,World Champ.,ABS,8F,2018
20693,4960,Dimitrius Souza,8974,Kaynan Duarte,L,0,Pts: 2x0,World Champ.,94KG,SF,2019
22024,4960,Dimitrius Souza,1188,Leandro Lo,L,0,"Pts: 0x0, Adv",BJJ Stars,ABS,4F,2019
22611,4960,Dimitrius Souza,6432,Yan Lucas,L,0,Referee Decision,South American,ABS,SF,2019
23140,4960,Dimitrius Souza,7478,Adam Wardzinski,L,0,Choke from back,European Open,94KG,SF,2020
28108,4960,Dimitrius Souza,11064,Rider Zuchi,L,0,Kneebar,Brasileiro,ABS,SF,2021
29435,4960,Dimitrius Souza,11709,Wallace Costa,L,0,Referee Decision,World Champ.,ABS,8F,2021
29567,4960,Dimitrius Souza,10741,Luan Azevedo,L,0,Referee Decision,World Champ.,94KG,SF,2021
32992,4960,Dimitrius Souza,8974,Kaynan Duarte,L,0,"Pts: 0x0, Adv",World Champ.,94KG,F,2022
38323,4960,Dimitrius Souza,7507,Nicholas Meregali,L,0,Choke from back,Pan American,ABS,SF,2023
38452,4960,Dimitrius Souza,7478,Adam Wardzinski,L,0,Referee Decision,Pan American,94KG,SF,2023
40348,4960,Dimitrius Souza,12537,Pedro Machado,L,0,Referee Decision,World Champ.,94KG,SF,2023
3684,4960,Dimitrius Souza,2107,Otavio Sousa,W,1,Pts: 2x0,Copa Podio,85KG,GP,2012
3687,4960,Dimitrius Souza,,Felipe Preguiça,W,1,"Pts: 4x4, Adv",Copa Podio,85KG,GP,2012
3692,4960,Dimitrius Souza,921,Rafael Barbosa,W,1,"Pts: 4x4, Adv",Copa Podio,85KG,GP,2012
3694,4960,Dimitrius Souza,1386,Davi Ramos,W,1,Pts: 6x4,Copa Podio,85KG,SF,2012
4074,4960,Dimitrius Souza,,Rogerio Passos,W,1,Points,World Champ.,88KG,R1,2012
4294,4960,Dimitrius Souza,,Alfredo Aguilera,W,1,RNC,European NoGi,94KG,SF,2012
4295,4960,Dimitrius Souza,,Renato Morais,W,1,N/A,European NoGi,94KG,F,2012
4297,4960,Dimitrius Souza,7698,Gabriel Marangoni,W,1,Points,European NoGi,ABS,4F,2012
4298,4960,Dimitrius Souza,,Renato Morais,W,1,N/A,European NoGi,ABS,SF,2012
4301,4960,Dimitrius Souza,,Marcelo Bernardo,W,1,Points,London Open,94KG,SF,2012
4302,4960,Dimitrius Souza,,R. Tavares,W,1,N/A,London Open,94KG,F,2012
4303,4960,Dimitrius Souza,256,Oliver Geddes,W,1,Submission,London Open,ABS,SF,2012
4458,4960,Dimitrius Souza,,Leonardo Maciel,W,1,Adv,European Open,94KG,F,2013
4642,4960,Dimitrius Souza,,Unknown,W,1,Armbar,Brasileiro,94KG,R1,2013
4643,4960,Dimitrius Souza,576,Rafael Lovato,W,1,Pts: 2x0,Brasileiro,94KG,4F,2013
4644,4960,Dimitrius Souza,1604,Nivaldo Oliveira,W,1,Points,Brasileiro,94KG,SF,2013
4645,4960,Dimitrius Souza,,Leonardo Maciel,W,1,Referee Decision,Brasileiro,94KG,F,2013
4848,4960,Dimitrius Souza,,Leonardo Maciel,W,1,Pts: 14x2,Copa Podio,ABS,SPF,2013
5556,4960,Dimitrius Souza,,Alan Regis,W,1,"Pts: 0x0, Adv",Brasileiro,94KG,F,2014
5841,4960,Dimitrius Souza,875,Lucas Leite,W,1,Adv,World Champ.,94KG,4F,2014
6260,4960,Dimitrius Souza,1986,Vitor Toledo,W,1,N/A,South American,94KG,F,2014
6316,4960,Dimitrius Souza,,Stefano Correa,W,1,Armbar,Paulista FPJJ,ABS,F,2014
6317,4960,Dimitrius Souza,,Bruno Cuppari,W,1,Pts: 2x0,Paulista FPJJ,94KG,F,2014
6925,4960,Dimitrius Souza,,William Martins,W,1,Choke from back,Rio Fall Open,ABS,SF,2015
6939,4960,Dimitrius Souza,,Alberto Ramos,W,1,N/A,Rio Fall Open,94KG,SF,2015
6940,4960,Dimitrius Souza,,Alan Regis,W,1,Referee Decision,Rio Fall Open,94KG,F,2015
6952,4960,Dimitrius Souza,,Alberto Oliveira,W,1,N/A,Rio Fall NoGi,94KG,SF,2015
6953,4960,Dimitrius Souza,,Leo Maciel,W,1,N/A,Rio Fall NoGi,94KG,F,2015
7261,4960,Dimitrius Souza,,Leo Teixeira,W,1,N/A,Brasileiro,ABS,R1,2015
7490,4960,Dimitrius Souza,,Roberto Torralbas,W,1,Points,World Champ.,94KG,8F,2015
8082,4960,Dimitrius Souza,,Kaue Damasceno,W,1,Pts: 8x0,Desafio UK,100KG,SPF,2015
8329,4960,Dimitrius Souza,,Unknown,W,1,Adv,Brasileiro NoGi,ABS,R1,2015
8333,4960,Dimitrius Souza,,Willian Martins,W,1,Adv,Brasileiro NoGi,ABS,4F,2015
8335,4960,Dimitrius Souza,,Matheus Souza,W,1,Submission,Brasileiro NoGi,ABS,SF,2015
8336,4960,Dimitrius Souza,7579,Romulo Azevedo,W,1,Pts: 6x0,Brasileiro NoGi,ABS,F,2015
8508,4960,Dimitrius Souza,,Diego Sergio,W,1,Choke from back,IBJJF Rio Pro,94KG,4F,2015
8510,4960,Dimitrius Souza,1003,Diogo Sampaio,W,1,Points,IBJJF Rio Pro,94KG,SF,2015
8555,4960,Dimitrius Souza,,Romes Pereira,W,1,Pts: 7x0,South American,ABS,R1,2015
8589,4960,Dimitrius Souza,,Oriones Netto,W,1,Choke from back,South American,94KG,4F,2015
8591,4960,Dimitrius Souza,,Romes Ramos,W,1,Injury,South American,94KG,SF,2015
9791,4960,Dimitrius Souza,,Romes Ramos,W,1,DQ,Brasileiro,94KG,4F,2016
9908,4960,Dimitrius Souza,,Gustavo Almeida,W,1,Choke,Curitiba Open,94KG,SF,2016
10041,4960,Dimitrius Souza,6337,Arnaldo Maidana,W,1,"Pts: 0x0, Adv",World Champ.,94KG,R1,2016
10420,4960,Dimitrius Souza,7224,Diogo Almeida,W,1,Choke from back,Curitiba W. Open,94KG,F,2016
10429,4960,Dimitrius Souza,7224,Diogo Almeida,W,1,Points,Curitiba W. Open,ABS,SF,2016
10430,4960,Dimitrius Souza,7047,Matheus Spirandeli,W,1,Pts: 2x0,Curitiba W. Open,ABS,F,2016
10432,4960,Dimitrius Souza,1707,Bruno Ferreira,W,1,Points,Curitiba NoGi Open,91KG,F,2016
10433,4960,Dimitrius Souza,,George Antonio,W,1,RNC,Curitiba NoGi Open,ABS,F,2016
10582,4960,Dimitrius Souza,,Marcos Aurélio,W,1,Choke,Sao Paulo Open,94KG,4F,2016
10584,4960,Dimitrius Souza,7224,Diogo Almeida,W,1,Pts: 5x0,Sao Paulo Open,94KG,SF,2016
10729,4960,Dimitrius Souza,,Tiago Hilgemberg,W,1,N/A,Floripa Open,94KG,SF,2016
10732,4960,Dimitrius Souza,,Kitner Moura,W,1,Points,Floripa Open,ABS,SF,2016
10851,4960,Dimitrius Souza,,Márcio Silva,W,1,RNC,Brasileiro NoGi,91KG,4F,2016
10852,4960,Dimitrius Souza,,Bruno Cuppari,W,1,Points,Brasileiro NoGi,91KG,SF,2016
10853,4960,Dimitrius Souza,,Vitor Bonfim,W,1,Points,Brasileiro NoGi,91KG,F,2016
10860,4960,Dimitrius Souza,,Bruno Leonardo,W,1,Points,Brasileiro NoGi,ABS,4F,2016
10863,4960,Dimitrius Souza,4851,Kim Terra,W,1,Points,Brasileiro NoGi,ABS,SF,2016
10864,4960,Dimitrius Souza,6805,Max Gimenis,W,1,Points,Brasileiro NoGi,ABS,F,2016
10994,4960,Dimitrius Souza,,Herico Hesley,W,1,Points,BJJ Rio Pro,94KG,4F,2016
11083,4960,Dimitrius Souza,,Eduardo Inojosa,W,1,Points,Grand Slam RJ,94KG,R1,2016
11247,4960,Dimitrius Souza,1167,Augusto Ferrari,W,1,Choke from back,South American,94KG,SF,2016
11834,4960,Dimitrius Souza,,Andre Santos,W,1,Points,BH Summer Open,94KG,SF,2017
11835,4960,Dimitrius Souza,,Henrique de Lima,W,1,Points,BH Summer Open,94KG,F,2017
11843,4960,Dimitrius Souza,,Gustavo Silva,W,1,N/A,BH Summer Open,ABS,SF,2017
12223,4960,Dimitrius Souza,,Ivan Tomic,W,1,"Pts: 0x0, Adv",Pan American,94KG,8F,2017
12229,4960,Dimitrius Souza,,Joshua Bowlin,W,1,Armbar,Pan American,94KG,4F,2017
12431,4960,Dimitrius Souza,,Leandro Santos,W,1,N/A,Floripa Fall Open,94KG,SF,2017
12432,4960,Dimitrius Souza,,Marcus Ruiz,W,1,Armbar,Floripa Fall Open,94KG,F,2017
12704,4960,Dimitrius Souza,,Hugo Campos,W,1,N/A,Brasileiro,ABS,RDS,2017
12705,4960,Dimitrius Souza,,Italo Goncalves,W,1,N/A,Brasileiro,ABS,RDS,2017
12805,4960,Dimitrius Souza,,Andre Silva,W,1,N/A,Brasileiro,94KG,R1,2017
12807,4960,Dimitrius Souza,,Ivan Tomic,W,1,N/A,Brasileiro,94KG,4F,2017
12809,4960,Dimitrius Souza,,Marcus Ruiz,W,1,Submission,Brasileiro,94KG,SF,2017
12889,4960,Dimitrius Souza,,Marcos Alves,W,1,N/A,Salvador Spring O.,94KG,SF,2017
12893,4960,Dimitrius Souza,,Italo Goncalves,W,1,N/A,Salvador Spring O.,ABS,SF,2017
13187,4960,Dimitrius Souza,7922,Nick Schrock,W,1,Pts: 8x0,World Champ.,94KG,8F,2017
13194,4960,Dimitrius Souza,7478,Adam Wardzinski,W,1,Pts: 6x4,World Champ.,94KG,4F,2017
13258,4960,Dimitrius Souza,,Marcos Goulart,W,1,N/A,Rio Winter Open,94KG,SF,2017
13259,4960,Dimitrius Souza,,Victor Bomfim,W,1,Points,Rio Winter Open,94KG,F,2017
13266,4960,Dimitrius Souza,,T. Gaia,W,1,Points,Rio Winter Open,ABS,SF,2017
13267,4960,Dimitrius Souza,680,Igor Silva,W,1,Points,Rio Winter Open,ABS,F,2017
13297,4960,Dimitrius Souza,,Fernando Toshio,W,1,N/A,SP BJJ Pro,94KG,SF,2017
13298,4960,Dimitrius Souza,410,Claudio Calasans,W,1,Pts: 4x2,SP BJJ Pro,94KG,F,2017
13504,4960,Dimitrius Souza,9554,Henrique Cardoso,W,1,Points,Curitiba W. Open,94KG,RR,2017
13505,4960,Dimitrius Souza,,Henrique Russi,W,1,Points,Curitiba W. Open,94KG,F,2017
13510,4960,Dimitrius Souza,9554,Henrique Cardoso,W,1,N/A,Curitiba W. Open,ABS,SF,2017
13511,4960,Dimitrius Souza,8968,Admilson Gobi,W,1,Armbar,Curitiba W. Open,ABS,F,2017
13563,4960,Dimitrius Souza,,Gildasio Santana,W,1,Submission,Vitoria Open,94KG,SF,2017
13564,4960,Dimitrius Souza,,Jhonathan Pio,W,1,Armbar,Vitoria Open,94KG,F,2017
13576,4960,Dimitrius Souza,,Cesar Wanderley,W,1,Submission,Vitoria Open,ABS,SF,2017
13577,4960,Dimitrius Souza,8968,Admilson Gobi,W,1,Armbar,Vitoria Open,ABS,F,2017
13753,4960,Dimitrius Souza,6631,Igor Schneider,W,1,Points,Sao Paulo Open,ABS,SF,2017
