match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
796,4965,David Terrell,481,Saulo Ribeiro,L,0,Referee Decision,ADCC,88KG,SF,2003
629,4965,David Terrell,1369,Dean Lister,W,1,Pts: 2x0,Gracie Open,ABS,SPF,2002
631,4965,David Terrell,,Bobby Southworth,W,1,Points,West Coast GQ,ABS,4F,2002
633,4965,David Terrell,,Todd Margolis,W,1,Heel hook,West Coast GQ,ABS,SF,2002
635,4965,David Terrell,,Cameron Earle,W,1,N/A,West Coast GQ,ABS,F,2002
747,4965,David Terrell,,Keith Rockel,W,1,Points,ADCC Trials,88KG,F,2003
785,4965,David Terrell,,Akira Shoji,W,1,Points,ADCC,88KG,R1,2003
793,4965,David Terrell,86,Fernando Margarida,W,1,Points,ADCC,88KG,4F,2003
798,4965,David Terrell,278,Ricardo Almeida,W,1,Botinha,ADCC,88KG,3PLC,2003
954,4965,David Terrell,,David Avellan,W,1,Points,Gracie Open,88KG,SPF,2003
