match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
3116,5061,Gabriel Rollo,1523,Clark Gracie,L,0,Footlock,World Champ.,82KG,4F,2011
3358,5061,Gabriel Rollo,1617,Victor Estima,L,0,Estima lock,No Gi Worlds,82KG,4F,2011
3848,5061,Gabriel Rollo,484,Murilo Santana,L,0,Armbar,Brasileiro,82KG,F,2012
4054,5061,Gabriel Rollo,788,Kron Gracie,L,0,"Pts: 4x4, Adv",World Champ.,82KG,8F,2012
4588,5061,Gabriel Rollo,2226,DJ Jackson,L,0,Adv,Pan American,82KG,R2,2013
5782,5061,Gabriel Rollo,358,Lucas Lepri,L,0,Pts: 2x0,World Champ.,76KG,R1,2014
6136,5061,Gabriel Rollo,1600,Vinicius Marinho,L,0,"Pts: 2x2, Adv",Rio BJJ Pro,82KG,F,2014
6564,5061,Gabriel Rollo,122,Michael Langhi,L,0,Referee Decision,European,76KG,F,2015
6815,5061,Gabriel Rollo,4328,AJ Agazarm,L,0,Pts: 2x0,Pan American,76KG,SF,2015
7109,5061,Gabriel Rollo,358,Lucas Lepri,L,0,Choke from back,World Pro,75KG,F,2015
7448,5061,Gabriel Rollo,358,Lucas Lepri,L,0,Pts: 4x0,World Champ.,76KG,SF,2015
7949,5061,Gabriel Rollo,1386,Davi Ramos,L,0,Pts: 3x0,ADCC,77KG,4F,2015
8061,5061,Gabriel Rollo,7672,Caio Almeida,L,0,Points,Brazil Nat. Pro,77KG,R1,2015
8075,5061,Gabriel Rollo,2999,Paulo Miyao,L,0,Pts: 4x2,Brazil Nat. Pro,U77KG,F,2015
8164,5061,Gabriel Rollo,,Lucas Valle,L,0,"Pts: 2x2, Adv",Desafio UK,82KG,RR,2015
8166,5061,Gabriel Rollo,4542,Felipe Cesar,L,0,Pts: 4x2,Desafio UK,82KG,F,2015
8354,5061,Gabriel Rollo,,Anderson Lira,L,0,Pts: 5x2,SP National Pro,77KG,4F,2015
8420,5061,Gabriel Rollo,6095,Mansher Khera,L,0,Pts: 4x0,NoGi Worlds,73KG,4F,2015
9277,5061,Gabriel Rollo,6563,Francisco Iturralde,L,0,"Pts: 2x2, Adv",Pan American,76KG,SF,2016
9583,5061,Gabriel Rollo,4542,Felipe Cesar,L,0,Pts: 2x0,World Pro,77KG,R1,2016
9987,5061,Gabriel Rollo,5238,Edwin Najmi,L,0,Darce choke,World Champ.,76KG,SF,2016
11068,5061,Gabriel Rollo,9312,Alexandre Cavaliere,L,0,"Pts: 0x0, Adv",Grand Slam RJ,77KG,F,2016
11706,5061,Gabriel Rollo,4542,Felipe Cesar,L,0,Referee Decision,ADCC SP Trials,77KG,SF,2017
11756,5061,Gabriel Rollo,9706,Marcelo Mafra,L,0,Referee Decision,ADCC RJ,77KG,F,2017
12172,5061,Gabriel Rollo,7539,Renato Canuto,L,0,"Pts: 2x2, Adv",Pan American,76KG,4F,2017
12769,5061,Gabriel Rollo,122,Michael Langhi,L,0,Pts: 2x0,Brasileiro,76KG,F,2017
13114,5061,Gabriel Rollo,6432,Yan Lucas,L,0,Pts: 2x0,World Champ.,76KG,8F,2017
13294,5061,Gabriel Rollo,5078,Luan Carvalho,L,0,Pts: 5x2,SP BJJ Pro,82KG,SF,2017
