match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
6215,5423,Matheus Diniz,733,Vinny Magalhaes,D,0.5,---,Metamoris 5,ABS,SPF,2014
7279,5423,Matheus Diniz,484,Murilo Santana,L,0,Pts: 7x4,Boca Raton Open,88KG,F,2015
7298,5423,Matheus Diniz,484,Murilo Santana,L,0,Armbar,Boston Spring Open,88KG,SF,2015
7301,5423,Matheus Diniz,484,Murilo Santana,L,0,Armbar,Boston Spring Open,ABS,SF,2015
7376,5423,Matheus Diniz,1290,Tarcisio Jardim,L,0,"Pts: 0x0, Adv",World Champ.,ABS,R1,2015
7479,5423,Matheus Diniz,1188,Leandro Lo,L,0,Pts: 4x0,World Champ.,88KG,4F,2015
8449,5423,Matheus Diniz,5655,Lucas Barbosa,L,0,Pts: 4x2,NoGi Worlds,85KG,SF,2015
8505,5423,Matheus Diniz,2416,Felipe Pena,L,0,Pts: 10x2,NoGi Worlds,ABS,F,2015
9319,5423,Matheus Diniz,484,Murilo Santana,L,0,Choke,Pan American,88KG,8F,2016
9682,5423,Matheus Diniz,,Rustam Chsiev,L,0,EBI/OT,EBI 6,ABS,SF,2016
10033,5423,Matheus Diniz,1188,Leandro Lo,L,0,Pts: 7x0,World Champ.,88KG,4F,2016
10929,5423,Matheus Diniz,7096,Josh Hinger,L,0,Pts: 4x0,NoGi Worlds,85KG,SF,2016
12097,5423,Matheus Diniz,4521,Erberth Santos,L,0,Pts: 6x2,Pan American,ABS,8F,2017
12234,5423,Matheus Diniz,1188,Leandro Lo,L,0,Pts: 2x0,Pan American,94KG,SF,2017
13035,5423,Matheus Diniz,5842,Mahamed Aly,L,0,Pts: 7x0,World Champ.,ABS,8F,2017
13195,5423,Matheus Diniz,1188,Leandro Lo,L,0,Referee Decision,World Champ.,94KG,4F,2017
13443,5423,Matheus Diniz,3009,Keenan Cornelius,L,0,Referee Decision,FIVE Super League,94KG,SPF,2017
15355,5423,Matheus Diniz,4310,Tim Spriggs,L,0,Pts: 7x0,Pan American,ABS,R2,2018
15430,5423,Matheus Diniz,5655,Lucas Barbosa,L,0,"Pts: 2x2, Adv",Pan American,88KG,SF,2018
16568,5423,Matheus Diniz,5655,Lucas Barbosa,L,0,Choke from back,World Champ.,88KG,4F,2018
17463,5423,Matheus Diniz,8346,Craig Jones,L,0,Referee Decision,Grapple Fest,ABS,SPF,2018
18664,5423,Matheus Diniz,7096,Josh Hinger,L,0,Pts: 8x5,NoGi Worlds,85KG,SF,2018
19376,5423,Matheus Diniz,4310,Tim Spriggs,L,0,Pts: 3x0,Spyder Inv.,100KG,SF,2019
19378,5423,Matheus Diniz,,A. Munis,L,0,Referee Decision,Spyder Inv.,100KG,3RD,2019
19644,5423,Matheus Diniz,5655,Lucas Barbosa,L,0,"Pts: 0x0, Adv",Pan American,88KG,SF,2019
20467,5423,Matheus Diniz,6071,Gabriel Arges,L,0,Referee Decision,F2W 112,88KG,SPF,2019
20677,5423,Matheus Diniz,2416,Felipe Pena,L,0,Pts: 2x0,World Champ.,88KG,SF,2019
24078,5423,Matheus Diniz,6550,Gordon Ryan,L,0,Inside heel hook,WNO 4,ABS,SPF,2020
24414,5423,Matheus Diniz,2107,Otavio Sousa,L,0,"Pts: 0x0, Adv",BJJ Stars 4,86KG,4F,2020
26769,5423,Matheus Diniz,5655,Lucas Barbosa,L,0,Pts: 2x0,BJJ Stars,94KG,SPF,2021
26923,5423,Matheus Diniz,8974,Kaynan Duarte,L,0,Calf slicer,Road to ADCC,ABS,SPF,2021
29548,5423,Matheus Diniz,2107,Otavio Sousa,L,0,Referee Decision,World Champ.,88KG,8F,2021
32988,5423,Matheus Diniz,11064,Rider Zuchi,L,0,Pts: 4x2,World Champ.,94KG,4F,2022
35040,5423,Matheus Diniz,11797,Giancarlo Bodoni,L,0,Triangle,ADCC,88KG,4F,2022
7278,5423,Matheus Diniz,,Diego Gamonal,W,1,Armbar,Boca Raton Open,88KG,SF,2015
7283,5423,Matheus Diniz,8081,Nathan Mendelsohn,W,1,Choke from back,Boca Raton Open,ABS,4F,2015
