match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
9936,5447,Michael Musumeci,6103,Isaac Doederlein,L,0,"Pts: 2x2, Adv",World Champ.,64KG,4F,2016
12122,5447,Michael Musumeci,7657,Cleber Sousa,L,0,Referee Decision,Pan American,64KG,4F,2017
23051,5447,Michael Musumeci,5842,Mahamed Aly,L,0,"Pts: 2x2, Adv",European Open,ABS,4F,2020
24196,5447,Michael Musumeci,7399,Horlando Monteiro,L,0,Katagatame,Pan American,94KG,R1,2020
27906,5447,Michael Musumeci,9051,Gabriel Sousa,L,0,North south choke,WNO Champ.,70KG,4F,2021
7607,5447,Michael Musumeci,,Nobuo Yagai,W,1,Choke from back,American Nat.,64KG,SF,2015
7609,5447,Michael Musumeci,2997,Joao Miyao,W,1,"Pts: 4x4, Adv",American Nat.,64KG,F,2015
9229,5447,Michael Musumeci,6060,Tomoyuki Hashimoto,W,1,"Pts: 2x2, Adv",Pan American,57KG,4F,2016
9231,5447,Michael Musumeci,5114,Joao Somalia,W,1,Choke from back,Pan American,57KG,SF,2016
9232,5447,Michael Musumeci,6043,Lucas Pinheiro,W,1,Pts: 6x3,Pan American,57KG,F,2016
9925,5447,Michael Musumeci,,Luis Pinto,W,1,Botinha,World Champ.,64KG,R1,2016
10196,5447,Michael Musumeci,,Mayko Borges,W,1,Pts: 8x0,American Nats,64KG,SF,2016
10197,5447,Michael Musumeci,2997,Joao Miyao,W,1,"Pts: 2x2, Adv",American Nats,64KG,F,2016
10369,5447,Michael Musumeci,,Joao Marinho,W,1,Pts: 2x0,Ch. Summer Open,70KG,SF,2016
10370,5447,Michael Musumeci,,Bruce Guevara,W,1,Pts: 6x0,Ch. Summer Open,70KG,F,2016
10434,5447,Michael Musumeci,5789,Tiago Barros,W,1,Pts: 2x0,Grand Slam LA,62KG,SF,2016
10436,5447,Michael Musumeci,2997,Joao Miyao,W,1,Pts: 2x0,Grand Slam LA,62KG,F,2016
