match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
7530,5636,Manuel Ribamar,4460,Jaime Canuto,L,0,Pts: 4x2,Matshark Open,82KG,F,2015
7840,5636,Manuel Ribamar,1600,Vinicius Marinho,L,0,Pts: 4x3,SP Open,82KG,4F,2015
8430,5636,Manuel Ribamar,2226,DJ Jackson,L,0,Pts: 2x0,NoGi Worlds,79KG,8F,2015
8780,5636,Manuel Ribamar,,Jose Portillo,L,0,EBI/OT,Onnit Invit.,ABS,SF,2015
9298,5636,Manuel Ribamar,967,JT Torres,L,0,Pts: 6x4,Pan American,82KG,8F,2016
9372,5636,Manuel Ribamar,3083,Abraham Marte,L,0,Kimura,Pan American,ABS,R2,2016
9702,5636,Manuel Ribamar,5655,Lucas Barbosa,L,0,Points,San Antonio Open,88KG,SF,2016
9713,5636,Manuel Ribamar,5655,Lucas Barbosa,L,0,Choke from back,San Antonio Open,ABS,F,2016
9995,5636,Manuel Ribamar,6071,Gabriel Arges,L,0,"Pts: 8x8, Adv",World Champ.,82KG,R2,2016
10213,5636,Manuel Ribamar,4235,Victor Silverio,L,0,Referee Decision,American Nats,82KG,F,2016
10334,5636,Manuel Ribamar,7743,Inacio Neto,L,0,Kneebar,Austin Open,ABS,SF,2016
10990,5636,Manuel Ribamar,5061,Gabriel Rollo,L,0,Pts: 8x4,BJJ Rio Pro,82KG,SF,2016
11520,5636,Manuel Ribamar,410,Claudio Calasans,L,0,Wristlock,European Open,ABS,SF,2017
11620,5636,Manuel Ribamar,7478,Adam Wardzinski,L,0,Pts: 2x0,European Open,94KG,4F,2017
11813,5636,Manuel Ribamar,6253,Diego Borges,L,0,Points,Manaus Nat. Pro,85KG,SF,2017
11814,5636,Manuel Ribamar,1895,Rodrigo Fajardo,L,0,Submission,Manaus Nat. Pro,85KG,3RD,2017
12210,5636,Manuel Ribamar,5655,Lucas Barbosa,L,0,Referee Decision,Pan American,88KG,8F,2017
12605,5636,Manuel Ribamar,,Rafael Carvalho,L,0,"Pts: 2x2, Adv",WP BR Qualifier,85KG,4F,2017
13146,5636,Manuel Ribamar,7552,Isaque Bahiense,L,0,Pts: 6x0,World Champ.,82KG,8F,2017
13356,5636,Manuel Ribamar,5655,Lucas Barbosa,L,0,Pts: 3x2,American Nats,88KG,SF,2017
13488,5636,Manuel Ribamar,7096,Josh Hinger,L,0,Armbar,Austin Open,94KG,F,2017
13773,5636,Manuel Ribamar,4655,Michael Liera,L,0,Pts: 5x0,San Diego Pro,82KG,4F,2017
13817,5636,Manuel Ribamar,4235,Victor Silverio,L,0,Choke from back,Grand Slam LA,85KG,R1,2017
14070,5636,Manuel Ribamar,8560,Gabriel Lucas,L,0,Points,Dallas FO,ABS,SF,2017
14684,5636,Manuel Ribamar,4655,Michael Liera,L,0,"Pts: 0x0, Adv",NoGi Worlds,79KG,R2,2017
14740,5636,Manuel Ribamar,3009,Keenan Cornelius,L,0,RNC,NoGi Worlds,ABS,4F,2017
15149,5636,Manuel Ribamar,8516,Lucas Valente,L,0,Adv,Houston Open,82KG,SF,2018
15417,5636,Manuel Ribamar,2107,Otavio Sousa,L,0,Referee Decision,Pan American,82KG,4F,2018
15970,5636,Manuel Ribamar,4789,Marcos Tinoco,L,0,Pts: 2x0,NY Spring Open,82KG,SF,2018
16542,5636,Manuel Ribamar,4460,Jaime Canuto,L,0,"Pts: 0x0, Adv",World Champ.,82KG,8F,2018
16691,5636,Manuel Ribamar,7399,Horlando Monteiro,L,0,Triangle armbar,American Nat. NG,ABS,F,2018
17290,5636,Manuel Ribamar,8974,Kaynan Duarte,L,0,Pts: 6x2,Las Vegas Open,ABS,SF,2018
18082,5636,Manuel Ribamar,8974,Kaynan Duarte,L,0,Guillotine,SJJIF NG World,ABS,F,2018
18643,5636,Manuel Ribamar,4460,Jaime Canuto,L,0,Referee Decision,NoGi Worlds,79KG,SF,2018
18823,5636,Manuel Ribamar,5655,Lucas Barbosa,L,0,"Pts: 0x0, Adv",Grand Slam AD,85KG,SF,2019
18854,5636,Manuel Ribamar,7552,Isaque Bahiense,L,0,Referee Decision,King of Mats II,85KG,RR,2019
18860,5636,Manuel Ribamar,6071,Gabriel Arges,L,0,Pts: 4x2,King of Mats II,85KG,SF,2019
19629,5636,Manuel Ribamar,4460,Jaime Canuto,L,0,Referee Decision,Pan American,82KG,4F,2019
20046,5636,Manuel Ribamar,4145,Thiago Sa,L,0,"Pts: 0x0, Adv",WP BR Qualifier,85KG,4F,2019
20651,5636,Manuel Ribamar,967,JT Torres,L,0,50/50 armbar,World Champ.,82KG,R2,2019
21633,5636,Manuel Ribamar,8308,Max Lindblad,L,0,Pts: 8x6,King Of Mats,85KG,RR,2019
22810,5636,Manuel Ribamar,10159,Victor Hugo,L,0,"Pts: 0x0, Adv",NoGi Worlds,ABS,R1,2019
23049,5636,Manuel Ribamar,8686,Fellipe Trovo,L,0,Points,European Open,ABS,R2,2020
23753,5636,Manuel Ribamar,10880,Roberto Jimenez,L,0,Armbar,3CG Kumite,88KG,4F,2020
23878,5636,Manuel Ribamar,9250,Gabriel Almeida,L,0,Referee Decision,F2W 149,93KG,SPF,2020
24194,5636,Manuel Ribamar,10658,Matheus Luna,L,0,"Pts: 2x2, Pen",Pan American,88KG,SF,2020
24249,5636,Manuel Ribamar,10588,Jon Blank,L,0,Inside heel hook,F2W 154,84KG,SPF,2020
25257,5636,Manuel Ribamar,11771,William Tackett,L,0,Outside heel hook,F2W 166,84KG,SPF,2021
25577,5636,Manuel Ribamar,11789,Mason Fowler,L,0,Short choke,3CG 6 Absolute,ABS,4F,2021
27613,5636,Manuel Ribamar,11384,Andre Porfirio,L,0,"Pts: 2x2, Adv",Pan American,88KG,SF,2021
29543,5636,Manuel Ribamar,484,Murilo Santana,L,0,Pts: 4x0,World Champ.,88KG,8F,2021
32944,5636,Manuel Ribamar,11878,Andy Murasaki,L,0,Choke from back,World Champ.,82KG,8F,2022
33150,5636,Manuel Ribamar,9014,Levi Jones,L,0,Referee Decision,EUG 4,82KG,SF,2022
34628,5636,Manuel Ribamar,10162,Ronaldo Junior,L,0,Pts: 8x3,Grand Slam MIA,85KG,F,2022
35873,5636,Manuel Ribamar,7552,Isaque Bahiense,L,0,"Pts: 0x0, Adv",IBJJF GP,88KG,F,2022
39875,5636,Manuel Ribamar,13076,Francisco Lo,L,0,Pts: 3x0,Houston Open,88KG,F,2023
40320,5636,Manuel Ribamar,7552,Isaque Bahiense,L,0,Pts: 6x4,World Champ.,88KG,4F,2023
7529,5636,Manuel Ribamar,,Unknown,W,1,Armbar,Matshark Open,82KG,SF,2015
7534,5636,Manuel Ribamar,,Jason Soliz,W,1,Pts: 5x2,Houston GP,82KG,4F,2015
7535,5636,Manuel Ribamar,,Chris Westfall,W,1,Verbal tap,Houston GP,82KG,SF,2015
7752,5636,Manuel Ribamar,,Gleidson Curtis,W,1,Pts: 18x0,Austin Open,82KG,4F,2015
7753,5636,Manuel Ribamar,,Trenton Cooke,W,1,Armbar,Austin Open,82KG,SF,2015
7754,5636,Manuel Ribamar,,Sam Snow,W,1,Arm in Ezekiel,Austin Open,82KG,F,2015
7835,5636,Manuel Ribamar,,Ericson Dias,W,1,Choke from back,SP Open,82KG,R1,2015
8724,5636,Manuel Ribamar,,Gleidson Curtis,W,1,Pts: 16x2,San Antonio Open,82KG,F,2015
8727,5636,Manuel Ribamar,,Ed Ramos,W,1,Pts: 12x6,San Antonio Open,ABS,4F,2015
8730,5636,Manuel Ribamar,7743,Inacio Neto,W,1,"Pts: 2x2, Adv",San Antonio Open,ABS,SF,2015
8731,5636,Manuel Ribamar,7760,Pedro Mello,W,1,Pts: 4x2,San Antonio Open,ABS,F,2015
8778,5636,Manuel Ribamar,,Robert Rodriguez,W,1,EBI/OT,Onnit Invit.,ABS,4F,2015
9282,5636,Manuel Ribamar,,Nathan Mendelshon,W,1,Pts: 2x0,Pan American,82KG,R1,2016
9708,5636,Manuel Ribamar,6493,Darson Hemmings,W,1,Arm in Ezekiel,San Antonio Open,ABS,R1,2016
9710,5636,Manuel Ribamar,7743,Inacio Neto,W,1,Pts: 6x2,San Antonio Open,ABS,4F,2016
9712,5636,Manuel Ribamar,4235,Victor Silverio,W,1,Pts: 6x4,San Antonio Open,ABS,SF,2016
10210,5636,Manuel Ribamar,,Stephen Martinez,W,1,Pts: 13x0,American Nats,82KG,4F,2016
10212,5636,Manuel Ribamar,,Lucas Valle,W,1,Armbar,American Nats,82KG,SF,2016
10320,5636,Manuel Ribamar,8081,Nathan Mendelsohn,W,1,Points,BJJ Tour,82KG,4F,2016
10321,5636,Manuel Ribamar,7114,Marcus Antelante,W,1,Pts: 10x2,BJJ Tour,82KG,SF,2016
10322,5636,Manuel Ribamar,921,Rafael Barbosa,W,1,Pts: 4x0,BJJ Tour,82KG,F,2016
10328,5636,Manuel Ribamar,,Mark Turner,W,1,RNC,Austin Open,82KG,SF,2016
10329,5636,Manuel Ribamar,,Randolph Welch,W,1,Armbar,Austin Open,82KG,F,2016
10332,5636,Manuel Ribamar,,Felipe Bueno,W,1,Points,Austin Open,ABS,4F,2016
10736,5636,Manuel Ribamar,,Davy Mendes,W,1,N/A,Manaus Open,82KG,SF,2016
10737,5636,Manuel Ribamar,,Chaise Albuquerque,W,1,Points,Manaus Open,82KG,F,2016
10986,5636,Manuel Ribamar,,Renan Sancar,W,1,Pts: 10x0,BJJ Rio Pro,82KG,R1,2016
10989,5636,Manuel Ribamar,,Matheus Knorr,W,1,Points,BJJ Rio Pro,82KG,4F,2016
11075,5636,Manuel Ribamar,,Fabio Ferraz,W,1,RNC,Grand Slam RJ,85KG,8F,2016
11080,5636,Manuel Ribamar,6071,Gabriel Arges,W,1,DQ,Grand Slam RJ,85KG,4F,2016
11503,5636,Manuel Ribamar,,Martin Gobel,W,1,Armbar,European Open,ABS,R1,2017
11511,5636,Manuel Ribamar,4163,Marcio Andre,W,1,Pts: 2x0,European Open,ABS,8F,2017
11516,5636,Manuel Ribamar,1263,Lucio Rodrigues,W,1,"Pts: 0x0, Adv",European Open,ABS,4F,2017
11612,5636,Manuel Ribamar,,Alberto Ortiz,W,1,Pts: 9x0,European Open,94KG,8F,2017
11811,5636,Manuel Ribamar,,Jose Coelho,W,1,Armbar,Manaus Nat. Pro,85KG,4F,2017
12602,5636,Manuel Ribamar,1895,Rodrigo Fajardo,W,1,"Pts: 0x0, Adv",WP BR Qualifier,85KG,R1,2017
13138,5636,Manuel Ribamar,11111,Santeri Lilius,W,1,Pts: 19x0,World Champ.,82KG,R1,2017
13353,5636,Manuel Ribamar,,Cleves Matos,W,1,N/A,American Nats,88KG,4F,2017
13486,5636,Manuel Ribamar,7743,Inacio Neto,W,1,Points,Austin Open,94KG,SF,2017
13769,5636,Manuel Ribamar,6836,John Combs,W,1,Pts: 4x2,San Diego Pro,82KG,R1,2017
14409,5636,Manuel Ribamar,8116,Dante Leon,W,1,Pts: 3x2,BJJ NY Pro,82KG,4F,2017
14413,5636,Manuel Ribamar,4789,Marcos Tinoco,W,1,"Pts: 2x2, Adv",BJJ NY Pro,82KG,SF,2017
14534,5636,Manuel Ribamar,,Samuel Dias,W,1,Points,San Antonio Open,82KG,SF,2017
14535,5636,Manuel Ribamar,,Kurt Pantle,W,1,Toe hold,San Antonio Open,82KG,F,2017
14734,5636,Manuel Ribamar,4145,Thiago Sa,W,1,Pts: 2x0,NoGi Worlds,ABS,R2,2017
15413,5636,Manuel Ribamar,11257,Gabriel Procopio,W,1,Toe hold,Pan American,82KG,8F,2018
15968,5636,Manuel Ribamar,,Ricardo Pena,W,1,Points,NY Spring Open,82KG,4F,2018
16533,5636,Manuel Ribamar,9700,David Raab,W,1,Pts: 9x2,World Champ.,82KG,R2,2018
16686,5636,Manuel Ribamar,,Samir Abdolkader,W,1,RNC,American Nat. NG,85KG,F,2018
16689,5636,Manuel Ribamar,,Francis Carlos,W,1,Pts: 16x2,American Nat. NG,ABS,4F,2018
16690,5636,Manuel Ribamar,10468,Nisar Loynab,W,1,"Pts: 0x0, Adv",American Nat. NG,ABS,SF,2018
16708,5636,Manuel Ribamar,10468,Nisar Loynab,W,1,Pts: 7x4,American Nat.,88KG,SF,2018
16709,5636,Manuel Ribamar,,Gabriel Rocha,W,1,Pts: 12x0,American Nat.,88KG,F,2018
16864,5636,Manuel Ribamar,8116,Dante Leon,W,1,Points,NY BJJ Pro,82KG,SF,2018
16866,5636,Manuel Ribamar,6354,Jonathan Satava,W,1,Points,NY BJJ Pro,82KG,F,2018
16946,5636,Manuel Ribamar,,John Rickell,W,1,Points,Austin Open,88KG,SF,2018
16947,5636,Manuel Ribamar,,Alika Angerman,W,1,Cross choke,Austin Open,88KG,F,2018
17287,5636,Manuel Ribamar,9150,Cole Franson,W,1,Points,Las Vegas Open,ABS,4F,2018
17587,5636,Manuel Ribamar,,Mateo Tenzara,W,1,Submission,Grand Slam LA,85KG,4F,2018
17590,5636,Manuel Ribamar,7831,Diego Ramalho,W,1,Referee Decision,Grand Slam LA,85KG,SF,2018
17591,5636,Manuel Ribamar,8100,Rudson Mateus,W,1,Referee Decision,Grand Slam LA,85KG,F,2018
17799,5636,Manuel Ribamar,4460,Jaime Canuto,W,1,Referee Decision,WSOG 2,81KG,R1,2018
17802,5636,Manuel Ribamar,9067,Leonardo Lara,W,1,Referee Decision,WSOG 2,81KG,8F,2018
17805,5636,Manuel Ribamar,9637,Sergio Rios,W,1,Referee Decision,WSOG 2,81KG,4F,2018
17808,5636,Manuel Ribamar,6071,Gabriel Arges,W,1,Referee Decision,WSOG 2,81KG,SF,2018
17810,5636,Manuel Ribamar,4235,Victor Silverio,W,1,Referee Decision,WSOG 2,81KG,F,2018
18062,5636,Manuel Ribamar,,Cesar Herrera,W,1,Armbar,SJJIF Worlds,88KG,SF,2018
18064,5636,Manuel Ribamar,9250,Gabriel Almeida,W,1,Points,SJJIF Worlds,88KG,F,2018
18076,5636,Manuel Ribamar,,Cesar Herrera,W,1,N/A,SJJIF NG World,85KG,F,2018
18476,5636,Manuel Ribamar,,Pedro Palhares,W,1,Points,San Antonio Open,ABS,SF,2018
18621,5636,Manuel Ribamar,,Marco Aurelio,W,1,Pts: 2x0,NoGi Worlds,79KG,R1,2018
