match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
8074,5756,Wellington Luis,5061,Gabriel Rollo,L,0,"Pts: 0x0, Adv",Brazil Nat. Pro,U77KG,SF,2015
8358,5756,Wellington Luis,5061,Gabriel Rollo,L,0,Pts: 4x2,SP National Pro,ABS,4F,2015
8655,5756,Wellington Luis,1003,Diogo Sampaio,L,0,Referee Decision,Grand Slam RJ,85KG,4F,2015
8694,5756,Wellington Luis,4521,Erberth Santos,L,0,Submission,Grand Slam RJ,ABS,R1,2015
11898,5756,Wellington Luis,428,Celso Vinicius,L,0,Pts: 2x0,Copa Podio,77KG,RR,2017
11901,5756,Wellington Luis,7552,Isaque Bahiense,L,0,Pts: 6x2,Copa Podio,77KG,RR,2017
12776,5756,Wellington Luis,5078,Luan Carvalho,L,0,"Pts: 0x0, Adv",Brasileiro,82KG,R2,2017
13747,5756,Wellington Luis,,Victor Bomfim,L,0,Points,Sao Paulo Open,88KG,F,2017
14353,5756,Wellington Luis,9312,Alexandre Cavaliere,L,0,Referee Decision,Grand Slam RJ,85KG,R2,2017
14476,5756,Wellington Luis,2235,Renato Cardoso,L,0,Points,South American,88KG,R1,2017
14496,5756,Wellington Luis,,William Martins,L,0,Points,South American,ABS,4F,2017
19714,5756,Wellington Luis,,Luis Albuquerque,L,0,DQ,Floripa Fall Open,82KG,4F,2019
19835,5756,Wellington Luis,9483,Eduardo Lopes,L,0,N/A,Rio FO,ABS,SF,2019
20292,5756,Wellington Luis,410,Claudio Calasans,L,0,Pts: 2x0,Brasileiro,82KG,R2,2019
20815,5756,Wellington Luis,8477,Igor Paiva,L,0,Points,Rio Open,82KG,4F,2019
21284,5756,Wellington Luis,10932,Gustavo Maron,L,0,Guillotine,Vitoria Open,82KG,SF,2019
22581,5756,Wellington Luis,9793,Alexandre Jesus,L,0,Pts: 2x0,South American,82KG,F,2019
25538,5756,Wellington Luis,8996,Mauricio Oliveira,L,0,Pts: 2x1,Grand Slam AD,85KG,SF,2021
25542,5756,Wellington Luis,8105,Tommy Langaker,L,0,Pts: 2x2,Grand Slam AD,85KG,RPC,2021
25619,5756,Wellington Luis,7552,Isaque Bahiense,L,0,Bow and arrow,WP BR Qualifier,85KG,RR,2021
26839,5756,Wellington Luis,8996,Mauricio Oliveira,L,0,Pts: 3x0,Big Deal Pro 3,82KG,SPF,2021
28063,5756,Wellington Luis,8996,Mauricio Oliveira,L,0,Pts: 6x2,Brasileiro,88KG,R1,2021
28102,5756,Wellington Luis,4960,Dimitrius Souza,L,0,Referee Decision,Brasileiro,ABS,8F,2021
28555,5756,Wellington Luis,11746,Alex Munis,L,0,Pts: 1x0,Grand Slam RJ,85KG,4F,2021
28561,5756,Wellington Luis,6432,Yan Lucas,L,0,Pts: 2x0,Grand Slam RJ,85KG,RPC,2021
29539,5756,Wellington Luis,10240,Jake Watson,L,0,"Pts: 4x4, Pen",World Champ.,88KG,R1,2021
30141,5756,Wellington Luis,6432,Yan Lucas,L,0,Referee Decision,Sul Brasileiro,88KG,SF,2022
30154,5756,Wellington Luis,8514,Fellipe Andrew,L,0,Katagatame,Sul Brasileiro,ABS,SF,2022
30717,5756,Wellington Luis,11766,Gabriel Costa,L,0,"Pts: 0x0, Pen",Gramado Pro,85KG,RR,2022
30719,5756,Wellington Luis,11766,Gabriel Costa,L,0,Choke,Gramado Pro,85KG,F,2022
31046,5756,Wellington Luis,,Eduardo Macedo,L,0,N/A,Curitiba Open,ABS,R1,2022
32184,5756,Wellington Luis,7047,Matheus Spirandeli,L,0,Choke from back,Brasileiro,88KG,SF,2022
32963,5756,Wellington Luis,12680,Enderson Dias,L,0,"Pts: 8x8, Adv",World Champ.,88KG,8F,2022
34023,5756,Wellington Luis,10174,Rafael Paganini,L,0,Pts: 3x2,Grand Slam RJ,85KG,4F,2022
34030,5756,Wellington Luis,12243,Leon Brito,L,0,Pts: 7x0,Grand Slam RJ,85KG,RPC,2022
35375,5756,Wellington Luis,,Filipe Pimentel,L,0,Pts: 2x0,Rio BJJ Pro,94KG,R1,2022
37228,5756,Wellington Luis,12506,Jansen Gomes,L,0,Choke from back,European Open,88KG,SF,2023
38049,5756,Wellington Luis,11766,Gabriel Costa,L,0,Pts: 2x0,Curitiba SMO,88KG,SF,2023
38431,5756,Wellington Luis,10162,Ronaldo Junior,L,0,Armbar,Pan American,88KG,8F,2023
39514,5756,Wellington Luis,7047,Matheus Spirandeli,L,0,Shoulder lock,Brasileiro,88KG,SF,2023
