match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
8475,5842,Mahamed Aly,8560,Gabriel Lucas,L,0,"Pts: 2x2, Adv",NoGi Worlds,O100KG,F,2015
8504,5842,Mahamed Aly,5423,Matheus Diniz,L,0,RNC,NoGi Worlds,ABS,SF,2015
9113,5842,Mahamed Aly,3083,Abraham Marte,L,0,"Pts: 0x0, Adv",UAEJJF NYC Pro,O94KG,RR,2016
9114,5842,Mahamed Aly,3122,Luiz Panza,L,0,"Pts: 2x2, Adv",UAEJJF NYC Pro,O94KG,RR,2016
9354,5842,Mahamed Aly,,Joseph Moku,L,0,Points,Pan American,O100KG,8F,2016
9864,5842,Mahamed Aly,1272,Leo Nogueira,L,0,Adv,Atlanta BJJ Pro,O94KG,F,2016
10082,5842,Mahamed Aly,1757,Alexander Trans,L,0,Pts: 4x0,World Champ.,ABS,R2,2016
10191,5842,Mahamed Aly,1272,Leo Nogueira,L,0,Pts: 4x2,IBJJF Pro GP,ABS,SF,2016
10465,5842,Mahamed Aly,3122,Luiz Panza,L,0,Kneebar,Grand Slam LA,110KG,SF,2016
10945,5842,Mahamed Aly,4177,Gustavo Dias,L,0,Pts: 2x0,NoGi Worlds,O97KG,SF,2016
10956,5842,Mahamed Aly,7096,Josh Hinger,L,0,Pts: 16x8,NoGi Worlds,ABS,8F,2016
11139,5842,Mahamed Aly,2403,Joao Rocha,L,0,Pts: 4x0,NY BJJ Pro,O94KG,F,2016
11302,5842,Mahamed Aly,224,Roberto Abreu,L,0,Kneebar,Grappling Pro 2,120KG,F,2016
11519,5842,Mahamed Aly,1188,Leandro Lo,L,0,Pts: 3x0,European Open,ABS,SF,2017
12106,5842,Mahamed Aly,7507,Nicholas Meregali,L,0,Choke from back,Pan American,ABS,4F,2017
12247,5842,Mahamed Aly,4521,Erberth Santos,L,0,Referee Decision,Pan American,100KG,SF,2017
12313,5842,Mahamed Aly,7478,Adam Wardzinski,L,0,Pts: 4x0,Rome Open,ABS,SF,2017
12898,5842,Mahamed Aly,4521,Erberth Santos,L,0,Referee Decision,ACBJJ 5,95KG,4F,2017
13041,5842,Mahamed Aly,984,Marcus Almeida,L,0,Choke,World Champ.,ABS,4F,2017
13208,5842,Mahamed Aly,4521,Erberth Santos,L,0,Pts: 9x2,World Champ.,100KG,SF,2017
13869,5842,Mahamed Aly,576,Rafael Lovato,L,0,Pts: 3x0,ADCC,99KG,4F,2017
13936,5842,Mahamed Aly,6550,Gordon Ryan,L,0,Heel hook,ADCC,ABS,SF,2017
13938,5842,Mahamed Aly,984,Marcus Almeida,L,0,Heel hook,ADCC,ABS,3RD,2017
14976,5842,Mahamed Aly,984,Marcus Almeida,L,0,Points,ACB 10,O95KG,SPF,2018
15349,5842,Mahamed Aly,8195,Gutemberg Pereira,L,0,"Pts: 0x0, Adv",Pan American,ABS,R2,2018
15446,5842,Mahamed Aly,3009,Keenan Cornelius,L,0,"Pts: 0x0, Adv",Pan American,100KG,F,2018
15859,5842,Mahamed Aly,3009,Keenan Cornelius,L,0,Referee Decision,ACBJJ 12,95KG,SPF,2018
16023,5842,Mahamed Aly,3200,Jackson Sousa,L,0,"Pts: 0x0, Adv",Marianas Open,100KG,4F,2018
16628,5842,Mahamed Aly,8514,Fellipe Andrew,L,0,"Pts: 6x6, Adv",World Champ.,ABS,8F,2018
16872,5842,Mahamed Aly,6805,Max Gimenis,L,0,Points,NY BJJ Pro,O94KG,F,2018
16982,5842,Mahamed Aly,4177,Gustavo Dias,L,0,Referee Decision,W.S.O.G.,O81KG,4F,2018
18007,5842,Mahamed Aly,247,Rodolfo Vieira,L,0,Points,Black Belt CBD,O83KG,F,2018
19668,5842,Mahamed Aly,8514,Fellipe Andrew,L,0,Pts: 18x2,Pan American,100KG,F,2019
19684,5842,Mahamed Aly,8195,Gutemberg Pereira,L,0,Pts: 4x2,Pan American,ABS,4F,2019
19912,5842,Mahamed Aly,9180,Vinicius Trator,L,0,Pts: 4x2,Washington DCO,ABS,SF,2019
20709,5842,Mahamed Aly,7507,Nicholas Meregali,L,0,Choke from back,World Champ.,100KG,F,2019
21819,5842,Mahamed Aly,12110,Nick Rodriguez,L,0,Referee Decision,ADCC,O99KG,R1,2019
21915,5842,Mahamed Aly,984,Marcus Almeida,L,0,RNC,ADCC,ABS,SF,2019
21917,5842,Mahamed Aly,8682,Lachlan Giles,L,0,Inside heel hook,ADCC,ABS,3RD,2019
23056,5842,Mahamed Aly,3009,Keenan Cornelius,L,0,Pts: 10x2,European Open,ABS,SF,2020
23150,5842,Mahamed Aly,9515,Seif Houmine,L,0,Pts: 3x0,European Open,O100KG,SF,2020
26768,5842,Mahamed Aly,1740,Yuri Simoes,L,0,Referee Decision,BJJ Stars,ABS,SPF,2021
29096,5842,Mahamed Aly,10159,Victor Hugo,L,0,Straight ankle lock,IBJJF GP,O94KG,F,2021
8471,5842,Mahamed Aly,,Adam Wheeler,W,1,Armbar,NoGi Worlds,O100KG,4F,2015
8480,5842,Mahamed Aly,9746,Gabriel Kitober,W,1,Armbar,NoGi Worlds,ABS,R1,2015
8496,5842,Mahamed Aly,7652,C. Negromonte,W,1,Toe hold,NoGi Worlds,ABS,8F,2015
8502,5842,Mahamed Aly,3200,Jackson Sousa,W,1,"Pts: 2x2, Adv",NoGi Worlds,ABS,4F,2015
9077,5842,Mahamed Aly,5861,Jared Dopp,W,1,Pts: 11x0,Houston Open,O100KG,F,2016
9081,5842,Mahamed Aly,5861,Jared Dopp,W,1,Footlock,Houston Open,ABS,SF,2016
9082,5842,Mahamed Aly,7743,Inacio Neto,W,1,Injury,Houston Open,ABS,F,2016
9117,5842,Mahamed Aly,7579,Romulo Azevedo,W,1,Wristlock,UAEJJF NYC Pro,HWABS,SF,2016
9120,5842,Mahamed Aly,4145,Thiago Sa,W,1,"Pts: 2x2, Adv",UAEJJF NYC Pro,HWABS,F,2016
9863,5842,Mahamed Aly,7079,Carlos Farias,W,1,Points,Atlanta BJJ Pro,O94KG,SF,2016
10187,5842,Mahamed Aly,84,Alexandre Ribeiro,W,1,"Pts: 2x0, Adv",IBJJF Pro GP,ABS,4F,2016
10362,5842,Mahamed Aly,,Muhammad Kerimov,W,1,Referee Decision,Berkut 3,ABS,SPF,2016
10462,5842,Mahamed Aly,4177,Gustavo Dias,W,1,Armbar,Grand Slam LA,110KG,4F,2016
10468,5842,Mahamed Aly,680,Igor Silva,W,1,Pts: 2x0,Grand Slam LA,110KG,3RD,2016
11137,5842,Mahamed Aly,3083,Abraham Marte,W,1,N/A,NY BJJ Pro,O94KG,SF,2016
11298,5842,Mahamed Aly,,Robby D'Onofrio,W,1,Toe hold,Grappling Pro 2,120KG,4F,2016
11300,5842,Mahamed Aly,5861,Jared Dopp,W,1,Pts: 17x14,Grappling Pro 2,120KG,SF,2016
11497,5842,Mahamed Aly,,Matheus Rodrigues,W,1,Armbar,European Open,ABS,R1,2017
11506,5842,Mahamed Aly,,Chris Bowe,W,1,Botinha,European Open,ABS,R2,2017
11515,5842,Mahamed Aly,1534,R. Evangelista,W,1,Pts: 4x2,European Open,ABS,4F,2017
11627,5842,Mahamed Aly,11703,Arya Esfandmaz,W,1,Pts: 14x4,European Open,100KG,4F,2017
11629,5842,Mahamed Aly,1986,Vitor Toledo,W,1,Pts: 2x0,European Open,100KG,SF,2017
11630,5842,Mahamed Aly,1263,Lucio Rodrigues,W,1,Pts: 2x0,European Open,100KG,F,2017
11717,5842,Mahamed Aly,,Marlon Godoy,W,1,Pts: 4x0,ADCC SP Trials,99KG,R1,2017
11718,5842,Mahamed Aly,,Unknown,W,1,Kneebar,ADCC SP Trials,99KG,4F,2017
11719,5842,Mahamed Aly,,Unknown,W,1,Botinha,ADCC SP Trials,99KG,SF,2017
11720,5842,Mahamed Aly,,Vinicius Gazola,W,1,Pts: 8x0,ADCC SP Trials,99KG,F,2017
12102,5842,Mahamed Aly,7537,Felipe Bezerra,W,1,Arm in Ezekiel,Pan American,ABS,8F,2017
12239,5842,Mahamed Aly,7704,Helton Jose,W,1,Pts: 4x0,Pan American,100KG,8F,2017
12244,5842,Mahamed Aly,,Eduardo Inojosa,W,1,Pts: 4x3,Pan American,100KG,4F,2017
12307,5842,Mahamed Aly,,Henrique Pereira,W,1,Pts: 10x0,Rome Open,100KG,SF,2017
12308,5842,Mahamed Aly,7111,Muslim Patsarigov,W,1,Cross choke,Rome Open,100KG,F,2017
12365,5842,Mahamed Aly,,Francisco Caraballo,W,1,Guillotine,European NoGi,100KG,SF,2017
12366,5842,Mahamed Aly,,Riku Urholin,W,1,Pts: 4x2,European NoGi,100KG,F,2017
12369,5842,Mahamed Aly,,Unknown,W,1,Flying triangle,European NoGi,ABS,4F,2017
12371,5842,Mahamed Aly,,Felipe Dias,W,1,Pts: 2x0,European NoGi,ABS,SF,2017
12372,5842,Mahamed Aly,4328,AJ Agazarm,W,1,Pts: 21x0,European NoGi,ABS,F,2017
13026,5842,Mahamed Aly,,Romes Ramos,W,1,Armbar,World Champ.,ABS,R1,2017
13035,5842,Mahamed Aly,5423,Matheus Diniz,W,1,Pts: 7x0,World Champ.,ABS,8F,2017
13205,5842,Mahamed Aly,224,Roberto Abreu,W,1,"Pts: 2x2, Adv",World Champ.,100KG,4F,2017
