match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
2310,595,Gabrielle Garcia,2357,Ana Cordeiro,L,0,Points,Pan American,ABS,SF,2009
2311,595,Gabrielle Garcia,,Lana Stefanac,L,0,Pts: 16x0,World Champ.,ABS,SF,2009
7175,595,Gabrielle Garcia,2444,Mackenzie Dern,L,0,"Pts: 0x0, Pen",World Pro,ABS,SF,2015
7981,595,Gabrielle Garcia,,Jessica Oliveira,L,0,Referee Decision,ADCC,O60KG,SF,2015
21323,595,Gabrielle Garcia,7000,Nathiely Jesus,L,0,Referee Decision,F2W 121,ABS,SPF,2019
25173,595,Gabrielle Garcia,7000,Nathiely Jesus,L,0,Referee Decision,WNO 6,ABS,SPF,2021
27894,595,Gabrielle Garcia,12064,Amanda Leve,L,0,Referee Decision,WNO Champ.,ABS,4F,2021
29602,595,Gabrielle Garcia,10897,Yara Soares,L,0,Choke,World Champ.,ABS,SF,2021
29653,595,Gabrielle Garcia,10153,Gabrieli Pessanha,L,0,Choke from back,World Champ.,O79KG,SF,2021
35092,595,Gabrielle Garcia,12639,Amy Campo,L,0,Pts: 2x0,ADCC,O60KG,SF,2022
1901,595,Gabrielle Garcia,,Maria do Carmo,W,1,Choke,World Champ.,O79KG,F,2008
2646,595,Gabrielle Garcia,2627,Luzia Fernandes,W,1,Pts: 8x2,World Pro.,O63KG,F,2010
2647,595,Gabrielle Garcia,2627,Luzia Fernandes,W,1,Pts: 4x2,World Pro.,O72KG,F,2010
2648,595,Gabrielle Garcia,1430,Talita Nogueira,W,1,Clock choke,WLPJJ,ABS,F,2010
2660,595,Gabrielle Garcia,,Katrina Weilbacher,W,1,Pts: 7x0,World Champ.,O79KG,F,2010
2834,595,Gabrielle Garcia,1119,Beatriz Mesquita,W,1,Americana,European,ABS,SF,2011
2866,595,Gabrielle Garcia,970,Fabiana Borges,W,1,Pts: 2x0,Pan American,ABS,F,2011
2867,595,Gabrielle Garcia,,Tammy Griego,W,1,Pts: 4x2,Pan American,O79KG,F,2011
2934,595,Gabrielle Garcia,,Unknown,W,1,Americana,World Pro.,O72KG,RDS,2011
2935,595,Gabrielle Garcia,1050,Penny Thomas,W,1,Pts: 6x0,World Pro.,O72KG,F,2011
2969,595,Gabrielle Garcia,1050,Penny Thomas,W,1,Americana,World Champ.,ABS,SF,2011
3161,595,Gabrielle Garcia,,Emily Wetzel,W,1,Shoulder Pressure,World Champ.,O79KG,F,2011
3162,595,Gabrielle Garcia,,Bia Mesquita,W,1,Pts: 2x0,World Champ.,ABS,F,2011
3303,595,Gabrielle Garcia,258,Hanette Staack,W,1,Pts: 2x0,ADCC,O60KG,F,2011
3322,595,Gabrielle Garcia,1050,Penny Thomas,W,1,Americana,ADCC,O60KG,SF,2011
3323,595,Gabrielle Garcia,,Hannette Staack,W,1,Points,ADCC,O60KG,F,2011
3531,595,Gabrielle Garcia,,M. Dern,W,1,Clock choke,Pan American,ABS,SF,2012
3669,595,Gabrielle Garcia,,Emely Wetzel,W,1,Choke,Pan American,O79KG,F,2012
3754,595,Gabrielle Garcia,8759,Maria Malyjasiak,W,1,Pts: 7x0,World Pro.,ABS,F,2012
3834,595,Gabrielle Garcia,8759,Maria Malyjasiak,W,1,Points,World Pro.,O72KG,F,2012
3835,595,Gabrielle Garcia,1119,Beatriz Mesquita,W,1,Pts: 3x2,World Pro.,ABS,F,2012
3868,595,Gabrielle Garcia,1430,Talita Nogueira,W,1,Submission,World Champ.,ABS,4F,2012
3869,595,Gabrielle Garcia,1119,Beatriz Mesquita,W,1,"Pts: 0x0, Adv",World Champ.,ABS,SF,2012
3870,595,Gabrielle Garcia,5263,Luiza Monteiro,W,1,Americana,World Champ.,ABS,F,2012
4626,595,Gabrielle Garcia,970,Fabiana Borges,W,1,Americana,Pan American,ABS,4F,2013
4627,595,Gabrielle Garcia,2444,Mackenzie Dern,W,1,Clock choke,Pan American,ABS,SF,2013
4629,595,Gabrielle Garcia,1119,Beatriz Mesquita,W,1,N/A,Pan American,ABS,F,2013
4652,595,Gabrielle Garcia,1119,Beatriz Mesquita,W,1,Pts: 9x0,World Pro.,ABS,F,2013
4973,595,Gabrielle Garcia,,Yurika Nakakura,W,1,Darce choke,ADCC,O60KG,4F,2013
4974,595,Gabrielle Garcia,,Tammy Griego,W,1,Points,ADCC,O60KG,SF,2013
4975,595,Gabrielle Garcia,,Fernanda Mazelli,W,1,N/A,ADCC,O60KG,F,2013
5608,595,Gabrielle Garcia,4107,Janni Larsson,W,1,Kimura,World Pro.,ABS,F,2014
5609,595,Gabrielle Garcia,,D. Obelenyte,W,1,Pts: 3x0,World Pro.,O72KG,F,2014
5610,595,Gabrielle Garcia,1119,Beatriz Mesquita,W,1,Pts: 3x0,World Pro.,ABS,F,2014
5893,595,Gabrielle Garcia,1430,Talita Nogueira,W,1,Americana,SP Open,O79KG,F,2014
5894,595,Gabrielle Garcia,5263,Luiza Monteiro,W,1,Americana,SP Open,ABS,F,2014
5999,595,Gabrielle Garcia,5263,Luiza Monteiro,W,1,Armbar,NoGi Worlds,ABS,SF,2014
6001,595,Gabrielle Garcia,2444,Mackenzie Dern,W,1,Americana,NoGi Worlds,ABS,F,2014
