match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
7761,6043,Lucas Pinheiro,7743,Inacio Neto,L,0,Pts: 12x10,Austin Open,ABS,SF,2015
8109,6043,Lucas Pinheiro,1436,Samir Chantre,L,0,"Pts: 4x3, Adv",Dallas Open,70KG,SF,2015
9232,6043,Lucas Pinheiro,5447,Mikey Musumeci,L,0,Pts: 6x3,Pan American,57KG,F,2016
9919,6043,Lucas Pinheiro,2997,Joao Miyao,L,0,"Pts: 2x2, Adv",World Champ.,57KG,4F,2016
12115,6043,Lucas Pinheiro,283,Bruno Malfacine,L,0,Pts: 9x2,Pan American,58KG,F,2017
12925,6043,Lucas Pinheiro,2997,Joao Miyao,L,0,Pts: 2x0,Miami SPO,64KG,F,2017
13053,6043,Lucas Pinheiro,582,Caio Terra,L,0,Toe Hold,World Champ.,58KG,SF,2017
13446,6043,Lucas Pinheiro,,Yago Espindola,L,0,Referee Decision,FIVE Super League,70KG,4F,2017
13491,6043,Lucas Pinheiro,2403,Joao Rocha,L,0,Submission,Austin Open,ABS,SF,2017
14653,6043,Lucas Pinheiro,2997,Joao Miyao,L,0,RNC,NoGi Worlds,61KG,F,2017
15364,6043,Lucas Pinheiro,6060,Tomoyuki Hashimoto,L,0,Pts: 6x0,Pan American,58KG,SF,2018
15997,6043,Lucas Pinheiro,,Marcus Wilson,L,0,Points,Denver Open,ABS,R1,2018
16005,6043,Lucas Pinheiro,,Alex Huddleston,L,0,Points,Denver NG Open,ABS,SF,2018
16371,6043,Lucas Pinheiro,8634,Rafael Vasconcelos,L,0,Referee Decision,ACB North America,ABS,8F,2018
16436,6043,Lucas Pinheiro,6060,Tomoyuki Hashimoto,L,0,Choke from back,World Champ.,57KG,4F,2018
16812,6043,Lucas Pinheiro,9051,Gabriel Sousa,L,0,Referee Decision,ACBJJ World,60KG,F,2018
18574,6043,Lucas Pinheiro,6060,Tomoyuki Hashimoto,L,0,Referee Decision,NoGi Worlds,61KG,4F,2018
19561,6043,Lucas Pinheiro,8884,Alex Sodre,L,0,50/50 armbar,Pan American,64KG,8F,2019
20923,6043,Lucas Pinheiro,8305,Pedro Dias,L,0,"Pts: 2x2, Adv",American Nats,64KG,F,2019
22805,6043,Lucas Pinheiro,1436,Samir Chantre,L,0,Inside heel hook,F2W 133,70KG,SPF,2019
23879,6043,Lucas Pinheiro,10380,Junny Ocasio,L,0,Referee Decision,F2W 149,61KG,SPF,2020
25258,6043,Lucas Pinheiro,11568,Josh Cisneros,L,0,Referee Decision,F2W 166,65KG,SPF,2021
25497,6043,Lucas Pinheiro,6151,Hiago George,L,0,Pts: 1x0,Grand Slam AD,62KG,SF,2021
26300,6043,Lucas Pinheiro,5447,Mikey Musumeci,L,0,Inside heel hook,WNO 9,61KG,SPF,2021
27097,6043,Lucas Pinheiro,12241,Higor Lima,L,0,Choke from back,AJP RJ Pro,69KG,4F,2021
27231,6043,Lucas Pinheiro,8632,Thiago Macedo,L,0,Referee Decision,Grand Slam MIA,69KG,SF,2021
27237,6043,Lucas Pinheiro,10408,Israel Sousa,L,0,Armbar,Grand Slam MIA,69KG,RPC,2021
27299,6043,Lucas Pinheiro,9051,Gabriel Sousa,L,0,N/A,F2W 181,65KG,SPF,2021
28426,6043,Lucas Pinheiro,8305,Pedro Dias,L,0,Referee Decision,SUBVERSIV 6,65KG,SPF,2021
28474,6043,Lucas Pinheiro,11823,Diogo Reis,L,0,Pts: 8x6,Grand Slam RJ,62KG,SF,2021
28477,6043,Lucas Pinheiro,,Leandro Lima,L,0,Pts: 7x2,Grand Slam RJ,62KG,RPC,2021
29115,6043,Lucas Pinheiro,11423,Meyram Maquine,L,0,Referee Decision,BRA Qualifiers,62KG,RR,2021
29119,6043,Lucas Pinheiro,11823,Diogo Reis,L,0,Pts: 2x1,BRA Qualifiers,62KG,RR,2021
29667,6043,Lucas Pinheiro,11823,Diogo Reis,L,0,Pts: 2x0,President Cup,77KG,RR,2021
30102,6043,Lucas Pinheiro,8536,Yuta Shimada,L,0,Crucifix choke,Oklahoma Open,70KG,F,2022
30114,6043,Lucas Pinheiro,12275,Davi Cabral,L,0,Points,Oklahoma Open,ABS,F,2022
30771,6043,Lucas Pinheiro,11889,Keven Carrasco,L,0,Pts: 2x0,Dallas Open,64KG,F,2022
31622,6043,Lucas Pinheiro,11423,Meyram Maquine,L,0,Pts: 7x2,Pan American,64KG,F,2022
32326,6043,Lucas Pinheiro,6103,Isaac Doederlein,L,0,Straight ankle lock,King of Mats,69KG,RR,2022
32331,6043,Lucas Pinheiro,11423,Meyram Maquine,L,0,DQ,King of Mats,69KG,SF,2022
32333,6043,Lucas Pinheiro,8884,Alex Sodre,L,0,Pts: 2x1,King of Mats,69KG,3RD,2022
32342,6043,Lucas Pinheiro,6151,Hiago George,L,0,Pts: 5x1,Grand Slam AD,62KG,F,2022
32878,6043,Lucas Pinheiro,11823,Diogo Reis,L,0,Toe hold,World Champ.,64KG,4F,2022
37589,6043,Lucas Pinheiro,11497,Fabricio Andrey,L,0,Pts: 4x0,Spyder RTBB,65KG,4F,2023
7746,6043,Lucas Pinheiro,,Washington Lima,W,1,Choke,Austin Open,64KG,F,2015
7760,6043,Lucas Pinheiro,,Unknown,W,1,Pts: 32x2,Austin Open,ABS,4F,2015
8106,6043,Lucas Pinheiro,,Angel Vargas,W,1,Pts: 10x8,Dallas Open,70KG,8F,2015
8107,6043,Lucas Pinheiro,,Richard slomba,W,1,Choke,Dallas Open,70KG,4F,2015
9230,6043,Lucas Pinheiro,1919,Koji Shibamoto,W,1,"Pts: 4x4, Adv",Pan American,57KG,SF,2016
9692,6043,Lucas Pinheiro,6493,Darson Hemmings,W,1,Pts: 6x4,San Antonio Open,64KG,F,2016
9916,6043,Lucas Pinheiro,,T. Yoshioka,W,1,"Pts: 4x4, Adv",World Champ.,57KG,R1,2016
10879,6043,Lucas Pinheiro,5114,Joao Somalia,W,1,Katagatame,F2W 17,64KG,SPF,2016
11280,6043,Lucas Pinheiro,,Guilherme Montenegro,W,1,Brabo choke,San Antonio F. O.,64KG,F,2016
12114,6043,Lucas Pinheiro,6801,Jose Lima,W,1,Pts: 4x2,Pan American,58KG,SF,2017
12872,6043,Lucas Pinheiro,,Paulo Silva,W,1,Toe hold,Atlanta Spring O.,64KG,F,2017
12923,6043,Lucas Pinheiro,,Mario Escurra,W,1,Submission,Miami SPO,64KG,SF,2017
12946,6043,Lucas Pinheiro,,Mario Escurra,W,1,Katagatame,Miami Spring NGO,55KG,F,2017
13047,6043,Lucas Pinheiro,,Takahito Yoshioka,W,1,Pts: 2x0,World Champ.,58KG,8F,2017
13050,6043,Lucas Pinheiro,9541,Aniel Bonifacio,W,1,Choke from back,World Champ.,58KG,4F,2017
13304,6043,Lucas Pinheiro,,Luis Pinto,W,1,Katagatame,American NG Nats,61KG,SF,2017
13305,6043,Lucas Pinheiro,,Chad Lundy,W,1,Armbar,American NG Nats,61KG,F,2017
13333,6043,Lucas Pinheiro,,Rene Lopez,W,1,"Pts: 2x2, Adv",American Nats,64KG,SF,2017
13335,6043,Lucas Pinheiro,,Edmund Li,W,1,Armbar,American Nats,64KG,F,2017
14000,6043,Lucas Pinheiro,,Ronald Stephenson,W,1,Katagatame,No Gi Pan Am.,55KG,F,2017
14649,6043,Lucas Pinheiro,1774,Mark Ramos,W,1,Pts: 15x0,NoGi Worlds,61KG,4F,2017
14651,6043,Lucas Pinheiro,,Rene Lopez,W,1,"Pts: 0x0, Adv",NoGi Worlds,61KG,SF,2017
15006,6043,Lucas Pinheiro,,Chad Lundy,W,1,Choke from back,LA Open,64KG,SF,2018
15007,6043,Lucas Pinheiro,,Joshua Rodriguez,W,1,Katagatame,LA Open,64KG,F,2018
15140,6043,Lucas Pinheiro,,Washington Lima,W,1,N/A,Houston Open,64KG,F,2018
15985,6043,Lucas Pinheiro,8218,Mayko Araujo,W,1,Points,Denver Open,64KG,F,2018
16322,6043,Lucas Pinheiro,,Victor Renteria,W,1,Choke from back,San Diego Open,64KG,F,2018
16352,6043,Lucas Pinheiro,,Matheus Magalhaes,W,1,Pts: 4x0,ACB North America,60KG,F,2018
16681,6043,Lucas Pinheiro,5114,Joao Somalia,W,1,Katagatame,American Nat. NG,61KG,F,2018
16693,6043,Lucas Pinheiro,5114,Joao Somalia,W,1,Choke,American Nat.,64KG,F,2018
16809,6043,Lucas Pinheiro,,Rafael Marques,W,1,Pts: 6x4,ACBJJ World,60KG,4F,2018
16811,6043,Lucas Pinheiro,,Bebeto Oliveira,W,1,Referee Decision,ACBJJ World,60KG,SF,2018
18051,6043,Lucas Pinheiro,,Takahito Yoshioka,W,1,Choke from back,SJJIF Worlds,64KG,SF,2018
18052,6043,Lucas Pinheiro,,Ari Tavira,W,1,Arm in Ezekiel,SJJIF Worlds,64KG,F,2018
18071,6043,Lucas Pinheiro,,Timmy Song,W,1,Pts: 46x2,SJJIF NG World,61KG,SF,2018
18072,6043,Lucas Pinheiro,,Takahito Yoshioka,W,1,Katagatame,SJJIF NG World,61KG,F,2018
18468,6043,Lucas Pinheiro,,Ighor Horta,W,1,Violin armlock,San Antonio Open,64KG,SF,2018
18469,6043,Lucas Pinheiro,,Gustavo Carpio,W,1,Choke from back,San Antonio Open,64KG,F,2018
18992,6043,Lucas Pinheiro,,Josh Murdock,W,1,Points,Austin W. Open,70KG,SF,2019
18993,6043,Lucas Pinheiro,,Brandon Walker,W,1,Points,Austin W. Open,70KG,F,2019
19390,6043,Lucas Pinheiro,,Matheus Magalhaes,W,1,Toe hold,Houston Open,64KG,SF,2019
19392,6043,Lucas Pinheiro,,Suraj Budhram,W,1,Choke from back,Houston Open,64KG,F,2019
20905,6043,Lucas Pinheiro,,Taylor Monroe,W,1,Toe hold,American NG Nats,61KG,SF,2019
20907,6043,Lucas Pinheiro,10357,Richard Alarcon,W,1,"Pts: 2x2, Adv",American NG Nats,61KG,F,2019
21165,6043,Lucas Pinheiro,,Ermilio Lima,W,1,Choke from back,Austin SMO,64KG,F,2019
