match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
8041,6060,Tomoyuki Hashimoto,1919,Koji Shibamoto,L,0,"Pts: 2x2, Adv",Asian Open,57KG,F,2015
9229,6060,Tomoyuki Hashimoto,5447,Mikey Musumeci,L,0,"Pts: 2x2, Adv",Pan American,57KG,4F,2016
9914,6060,Tomoyuki Hashimoto,2997,Joao Miyao,L,0,Pts: 6x4,World Champ.,57KG,R1,2016
11444,6060,Tomoyuki Hashimoto,6151,Hiago George,L,0,"Pts: 2x2, Adv",Grand Slam AD,62KG,F,2017
13054,6060,Tomoyuki Hashimoto,283,Bruno Malfacine,L,0,Armbar,World Champ.,58KG,SF,2017
13681,6060,Tomoyuki Hashimoto,1919,Koji Shibamoto,L,0,Points,Asian Open,57KG,F,2017
14593,6060,Tomoyuki Hashimoto,1436,Samir Chantre,L,0,Points,ACB JJ 9,60KG,4F,2017
14648,6060,Tomoyuki Hashimoto,582,Caio Terra,L,0,"Pts: 0x0, Adv",NoGi Worlds,55KG,F,2017
16438,6060,Tomoyuki Hashimoto,283,Bruno Malfacine,L,0,Arm in Ezekiel,World Champ.,57KG,SF,2018
18579,6060,Tomoyuki Hashimoto,2997,Joao Miyao,L,0,Referee Decision,NoGi Worlds,61KG,F,2018
18872,6060,Tomoyuki Hashimoto,6258,Rodnei Barbosa,L,0,"Pts: 4x4, Adv",European Open,57KG,F,2019
20571,6060,Tomoyuki Hashimoto,7657,Cleber Sousa,L,0,Pts: 6x4,World Champ.,57KG,4F,2019
21213,6060,Tomoyuki Hashimoto,10840,Diego Oliveira,L,0,"Pts: 0x0, Adv",King of Mats,69KG,RR,2019
21221,6060,Tomoyuki Hashimoto,8632,Thiago Macedo,L,0,Bow and arrow,King of Mats,69KG,RR,2019
21222,6060,Tomoyuki Hashimoto,6103,Isaac Doederlein,L,0,Armbar,King of Mats,69KG,RR,2019
21229,6060,Tomoyuki Hashimoto,9051,Gabriel Sousa,L,0,Referee Decision,Grand Slam TYO,62KG,SF,2019
22730,6060,Tomoyuki Hashimoto,9606,Inseong Jang,D,0.5,---,Quintet FN4,ABS,RR,2019
29448,6060,Tomoyuki Hashimoto,10293,Jonas Andrade,L,0,"Pts: 2x2, Adv",World Champ.,57KG,4F,2021
31620,6060,Tomoyuki Hashimoto,11423,Meyram Maquine,L,0,"Pts: 0x0, Adv",Pan American,64KG,SF,2022
32860,6060,Tomoyuki Hashimoto,,Bebeto Oliveira,L,0,DQ,World Champ.,57KG,4F,2022
36802,6060,Tomoyuki Hashimoto,6043,Lucas Pinheiro,L,0,Pts: 2x0,NoGi Worlds,61KG,4F,2022
37167,6060,Tomoyuki Hashimoto,10155,Malachi Edmond,L,0,Referee Decision,European Open,64KG,SF,2023
40207,6060,Tomoyuki Hashimoto,8536,Yuta Shimada,L,0,Straight ankle lock,World Champ.,64KG,8F,2023
7872,6060,Tomoyuki Hashimoto,,Hisashi Ezaki,W,1,Choke from back,Grand Slam TYO,62KG,SF,2015
8039,6060,Tomoyuki Hashimoto,,Makoto Sawada,W,1,Pts: 8x2,Asian Open,57KG,4F,2015
8040,6060,Tomoyuki Hashimoto,,Hisashi Ezaki,W,1,Pts: 4x0,Asian Open,57KG,SF,2015
