match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
8991,6071,Gabriel Arges,3200,Jackson Sousa,L,0,Toe hold,European Open,ABS,R2,2016
9046,6071,Gabriel Arges,289,Alan Finfou,L,0,DQ,PNBJJC,88KG,GP,2016
9323,6071,Gabriel Arges,1188,Leandro Lo,L,0,Pts: 12x6,Pan American,88KG,4F,2016
9393,6071,Gabriel Arges,425,Bernardo Faria,L,0,Dogbar,Pan American,ABS,4F,2016
10708,6071,Gabriel Arges,2107,Otavio Sousa,L,0,Botinha,BJJ Pro LA,82KG,SF,2016
11080,6071,Gabriel Arges,5636,Manuel Ribamar,L,0,DQ,Grand Slam RJ,85KG,4F,2016
11919,6071,Gabriel Arges,84,Alexandre Ribeiro,L,0,Referee Decision,Argentina Pro,ABS,SF,2017
12080,6071,Gabriel Arges,1548,Jose Junior,L,0,Pen,Grand Slam LDN,110KG,F,2017
16350,6071,Gabriel Arges,1188,Leandro Lo,L,0,Points,ACBJJ 13,85KG,SPF,2018
16548,6071,Gabriel Arges,8105,Tommy Langaker,L,0,DQ,World Champ.,82KG,4F,2018
17630,6071,Gabriel Arges,7478,Adam Wardzinski,L,0,Pts: 2x0,King of Mats,110KG,RR,2018
17638,6071,Gabriel Arges,1534,R. Evangelista,L,0,Pts: 2x0,King of Mats,110KG,RR,2018
17642,6071,Gabriel Arges,8195,Gutemberg Pereira,L,0,"Pts: 2x2, Adv",King of Mats,110KG,RR,2018
17808,6071,Gabriel Arges,5636,Manuel Ribamar,L,0,Referee Decision,WSOG 2,81KG,SF,2018
18663,6071,Gabriel Arges,4789,Marcos Tinoco,L,0,Pts: 6x4,NoGi Worlds,85KG,4F,2018
18818,6071,Gabriel Arges,8100,Rudson Mateus,L,0,"Pts: 2x2, Adv",Grand Slam AD,85KG,4F,2019
18845,6071,Gabriel Arges,5655,Lucas Barbosa,L,0,Pts: 3x0,King of Mats II,85KG,RR,2019
19321,6071,Gabriel Arges,8346,Craig Jones,L,0,RNC,GrappleFest 4,ABS,SPF,2019
21851,6071,Gabriel Arges,5423,Matheus Diniz,L,0,Referee Decision,ADCC,88KG,4F,2019
22013,6071,Gabriel Arges,8357,Gustavo Batista,L,0,Points,Templum FN,ABS,SPF,2019
22651,6071,Gabriel Arges,9014,Levi Jones,L,0,Referee Decision,Spyder Invitational,76KG,4F,2019
23757,6071,Gabriel Arges,8357,Gustavo Batista,L,0,Points,3CG Kumite,88KG,SF,2020
27198,6071,Gabriel Arges,576,Rafael Lovato,L,0,Referee Decision,F2W 180,92KG,SPF,2021
35552,6071,Gabriel Arges,5636,Manuel Ribamar,L,0,Pts: 9x0,NoGi Pan,85KG,8F,2022
36858,6071,Gabriel Arges,10103,Jonnatas Gracie,L,0,Referee Decision,NoGi Worlds,85KG,8F,2022
8743,6071,Gabriel Arges,5655,Lucas Barbosa,W,1,Pts: 6x4,Irvine Open,88KG,RR,2015
8745,6071,Gabriel Arges,5655,Lucas Barbosa,W,1,"Pts: 2x2, Adv",Irvine Open,88KG,F,2015
8751,6071,Gabriel Arges,7079,Carlos Farias,W,1,Adv,Irvine Open,ABS,4F,2015
8753,6071,Gabriel Arges,5655,Lucas Barbosa,W,1,Pts: 8x6,Irvine Open,ABS,SF,2015
8956,6071,Gabriel Arges,9711,Jurandir Conceicao,W,1,Pts: 8x4,European Open,88KG,R1,2016
8960,6071,Gabriel Arges,,Tero Pyylampi,W,1,Pts: 14x6,European Open,88KG,4F,2016
8964,6071,Gabriel Arges,4430,Patrick Gaudio,W,1,Referee Decision,European Open,88KG,SF,2016
9043,6071,Gabriel Arges,7082,Luca Anacoreta,W,1,"Pts: 4x4, Adv",PNBJJC,88KG,GP,2016
9045,6071,Gabriel Arges,,Gregorio Thomaz,W,1,Armbar,PNBJJC,88KG,GP,2016
9317,6071,Gabriel Arges,,Manuel Diaz,W,1,Pts: 16x0,Pan American,88KG,8F,2016
9382,6071,Gabriel Arges,6337,Arnaldo Maidana,W,1,Pts: 10x4,Pan American,ABS,R2,2016
9386,6071,Gabriel Arges,,Pedro Moura,W,1,Referee Decision,Pan American,ABS,8F,2016
9592,6071,Gabriel Arges,,Andre Almeida,W,1,Toe hold,World Pro,77KG,R1,2016
9599,6071,Gabriel Arges,,Sam Gibson,W,1,Pts: 8x0,World Pro,77KG,8F,2016
9606,6071,Gabriel Arges,,Cesar Miyahira,W,1,Pts: 2x0,World Pro,77KG,4F,2016
9611,6071,Gabriel Arges,6596,Jhonny Loureiro,W,1,Pts: 3x2,World Pro,77KG,SF,2016
9612,6071,Gabriel Arges,1824,Roberto Satoshi,W,1,Pts: 6x2,World Pro,77KG,F,2016
9995,6071,Gabriel Arges,5636,Manuel Ribamar,W,1,"Pts: 8x8, Adv",World Champ.,82KG,R2,2016
10010,6071,Gabriel Arges,428,Celso Vinicius,W,1,Pts: 8x7,World Champ.,82KG,8F,2016
10015,6071,Gabriel Arges,410,Claudio Calasans,W,1,Kneebar,World Champ.,82KG,4F,2016
10018,6071,Gabriel Arges,4789,Marcos Tinoco,W,1,Kneebar,World Champ.,82KG,SF,2016
10365,6071,Gabriel Arges,289,Alan Finfou,W,1,Referee Decision,Berkut 3,ABS,SPF,2016
10453,6071,Gabriel Arges,5655,Lucas Barbosa,W,1,Pts: 4x2,Grand Slam LA,85KG,SF,2016
10455,6071,Gabriel Arges,2107,Otavio Sousa,W,1,Pts: 2x0,Grand Slam LA,85KG,F,2016
10759,6071,Gabriel Arges,,Gottrell King,W,1,Kneebar,Las Vegas Pro,85KG,SF,2016
10760,6071,Gabriel Arges,8081,Nathan Mendelsohn,W,1,Kneebar,Las Vegas Pro,85KG,F,2016
10807,6071,Gabriel Arges,,Yongam Noh,W,1,"Pts: 2x2, Adv",Grand Slam TYO,85KG,SF,2016
10808,6071,Gabriel Arges,6301,Faisal AlKitbe,W,1,Pts: 2x0,Grand Slam TYO,85KG,F,2016
11074,6071,Gabriel Arges,,Ricardo Filho,W,1,Kneebar,Grand Slam RJ,85KG,8F,2016
11172,6071,Gabriel Arges,,David Aghion,W,1,Choke from back,Curitiba Pro,85KG,RR,2016
11173,6071,Gabriel Arges,,David Aghion,W,1,Mounted X choke,Curitiba Pro,85KG,F,2016
11209,6071,Gabriel Arges,,Flavio Santos,W,1,Mounted triangle,Belem Int. Pro,85KG,4F,2016
11210,6071,Gabriel Arges,,Luis Nogueira,W,1,Choke from back,Belem Int. Pro,85KG,SF,2016
11211,6071,Gabriel Arges,,Wanderley Fr.,W,1,Choke from back,Belem Int. Pro,85KG,F,2016
