match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
1823,607,Gabriel Vella,144,Andre Galvao,L,0,Points,Super Challenge,ABS,4F,2007
1989,607,Gabriel Vella,84,Alexandre Ribeiro,L,0,Points,World Champ.,ABS,SF,2008
2031,607,Gabriel Vella,387,Braga Neto,L,0,"Pts: 2x2, Adv",NoGi Worlds,ABS,F,2008
2585,607,Gabriel Vella,425,Bernardo Faria,L,0,Pts: 2x0,Pan American,ABS,4F,2010
2644,607,Gabriel Vella,331,Ricardo Abreu,L,0,Pts: 2x0,World Pro.,O92KG,F,2010
2896,607,Gabriel Vella,911,Antonio Peinado,L,0,Points,Pan American,O100KG,SF,2011
4521,607,Gabriel Vella,2226,DJ Jackson,L,0,Pts: 2x0,Pan American,ABS,R2,2013
682,607,Gabriel Vella,,Hugo Carioni,W,1,Baseball choke,World Champ.,100KG,R1,2002
683,607,Gabriel Vella,,Lucio Linhares,W,1,Cross choke,World Champ.,100KG,4F,2002
686,607,Gabriel Vella,384,Roberto Tozi,W,1,Baseball choke,World Champ.,100KG,SF,2002
975,607,Gabriel Vella,,Adriano Maciel,W,1,Pts: 2x0,BB Challenge 3,100KG,SPF,2004
1007,607,Gabriel Vella,562,Eduardo Telles,W,1,"Pts: 0x0, Adv",Pan American,94KG,SF,2004
1818,607,Gabriel Vella,562,Eduardo Telles,W,1,Referee Decision,Super Challenge,ABS,R1,2007
1970,607,Gabriel Vella,,Eduardo Paulista,W,1,Points,World Champ.,O100KG,R1,2008
1977,607,Gabriel Vella,,Daniel Aguilar,W,1,Armbar,World Champ.,ABS,R1,2008
2027,607,Gabriel Vella,,Andre Freitas,W,1,Pts: 7x0,NoGi Worlds,O100KG,4F,2008
2028,607,Gabriel Vella,5793,Bruno Paulista,W,1,Referee Decision,NoGi Worlds,O100KG,SF,2008
2030,607,Gabriel Vella,543,Rodrigo Cavaca,W,1,Pts: 2x0,NoGi Worlds,O100KG,F,2008
2050,607,Gabriel Vella,573,Fabricio Werdum,W,1,Points,Capital Challenge,O99KG,SF,2008
2052,607,Gabriel Vella,,Charles Cachoeira,W,1,Points,Capital Challenge,O99KG,F,2008
2123,607,Gabriel Vella,,Charles Cachoeira,W,1,Points,Brasileiro,ABS,SF,2009
2370,607,Gabriel Vella,6503,Marcel Fortuna,W,1,Pts: 2x0,World Champ.,O100KG,4F,2009
2372,607,Gabriel Vella,,Andre Freitas,W,1,Pts: 8x0,World Champ.,O100KG,SF,2009
2373,607,Gabriel Vella,543,Rodrigo Cavaca,W,1,"Pts: 0x0, Adv",World Champ.,O100KG,F,2009
2573,607,Gabriel Vella,,Luiz Theodoro,W,1,Adv,Pan American,O100KG,F,2010
4515,607,Gabriel Vella,,Matt Jubera,W,1,N/A,Pan American,ABS,R1,2013
