match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
8920,6103,Isaac Doederlein,4163,Marcio Andre,L,0,Pts: 4x2,European Open,70KG,4F,2016
9240,6103,Isaac Doederlein,,Vitor Paschoal,L,0,"Pts: 2x2, Adv",Pan American,64KG,4F,2016
9464,6103,Isaac Doederlein,2999,Paulo Miyao,L,0,Pts: 3x0,NY Spring Open,70KG,F,2016
9695,6103,Isaac Doederlein,179,Rafael Mendes,L,0,"Pts: 0x0, Adv",San Antonio Open,70KG,SF,2016
9939,6103,Isaac Doederlein,2999,Paulo Miyao,L,0,Pts: 4x0,World Champ.,64KG,SF,2016
10441,6103,Isaac Doederlein,2999,Paulo Miyao,L,0,Pts: 2x0,Grand Slam LA,69KG,F,2016
10694,6103,Isaac Doederlein,5414,Osvaldo Moizinho,D,0.5,---,Guatemala Open,ABS,SPF,2016
10699,6103,Isaac Doederlein,6368,Kevin Mahecha,L,0,Adv,Guatemala Open,76KG,SF,2016
11542,6103,Isaac Doederlein,6151,Hiago George,L,0,Pts: 6x4,European Open,64KG,4F,2017
12132,6103,Isaac Doederlein,7872,Gilson Nunes,L,0,Pts: 5x2,Pan American,70KG,8F,2017
12640,6103,Isaac Doederlein,4248,Gianni Grippo,L,0,"Pts: 2x2, Adv",World Pro,69KG,SF,2017
13075,6103,Isaac Doederlein,5447,Mikey Musumeci,L,0,"Pts: 8x8, Adv",World Champ.,64KG,4F,2017
13458,6103,Isaac Doederlein,2997,Joao Miyao,L,0,Points,ACBJJ 6,60KG,F,2017
14907,6103,Isaac Doederlein,4163,Marcio Andre,L,0,"Pts: 2x2, Adv",European Open,70KG,SF,2018
15378,6103,Isaac Doederlein,1436,Samir Chantre,L,0,Referee Decision,Pan American,70KG,8F,2018
15772,6103,Isaac Doederlein,7002,Jamil Hill-Taylor,L,0,Pts: 2x0,Washington SPO,70KG,F,2018
15788,6103,Isaac Doederlein,4310,Tim Spriggs,L,0,Referee Decision,Washington SPO,ABS,SF,2018
16477,6103,Isaac Doederlein,4163,Marcio Andre,L,0,"Pts: 0x0, Adv",World Champ.,70KG,4F,2018
19431,6103,Isaac Doederlein,2999,Paulo Miyao,L,0,Pts: 4x2,Grand Slam LDN,69KG,F,2019
19485,6103,Isaac Doederlein,2999,Paulo Miyao,L,0,Pts: 2x0,King of Mats,69KG,RR,2019
19494,6103,Isaac Doederlein,2999,Paulo Miyao,L,0,Referee Decision,King of Mats,69KG,F,2019
19583,6103,Isaac Doederlein,7002,Jamil Hill-Taylor,L,0,Pts: 2x0,Pan American,70KG,SF,2019
20088,6103,Isaac Doederlein,2999,Paulo Miyao,L,0,"Pts: 2x2, Adv",World Pro,69KG,F,2019
20605,6103,Isaac Doederlein,4163,Marcio Andre,L,0,Pts: 4x2,World Champ.,70KG,SF,2019
22232,6103,Isaac Doederlein,8231,Leo Saggioro,L,0,Pts: 6x5,KOM,69KG,SPF,2019
22284,6103,Isaac Doederlein,,Pedro Neto,L,0,Referee Decision,Grand Slam RJ,69KG,8F,2019
24139,6103,Isaac Doederlein,11510,Samuel Nagai,L,0,Pts: 17x4,Pan American,70KG,8F,2020
24395,6103,Isaac Doederlein,9094,Richar Nogueira,L,0,Pts: 2x0,Houston Open,70KG,F,2020
24556,6103,Isaac Doederlein,11568,Josh Cisneros,L,0,Pts: 4x2,American Nats,70KG,F,2020
25588,6103,Isaac Doederlein,4163,Marcio Andre,L,0,Referee Decision,EUG 1,70KG,4F,2021
27562,6103,Isaac Doederlein,9051,Gabriel Sousa,L,0,"Pts: 4x4, Adv",Pan American,70KG,SF,2021
