match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4062,6253,Diego Borges,1617,Victor Estima,L,0,Inverted triangle,World Champ.,82KG,4F,2012
4686,6253,Diego Borges,1523,Clark Gracie,L,0,Omoplata,Copa Podio,82KG,SPF,2013
4852,6253,Diego Borges,1188,Leandro Lo,L,0,Adv,Copa Podio,76KG,GP,2013
4872,6253,Diego Borges,1188,Leandro Lo,L,0,Adv,Copa Podio,76KG,F,2013
5553,6253,Diego Borges,443,Claudio Mattos,L,0,Referee Decision,Brasileiro,82KG,F,2014
8868,6253,Diego Borges,7543,Nelton Pontes,L,0,Pts: 2x0,Zurich Open,ABS,4F,2016
8895,6253,Diego Borges,358,Lucas Lepri,L,0,"Pts: 0x0, Adv",Copa Podio,77KG,SF,2016
10165,6253,Diego Borges,4521,Erberth Santos,L,0,Botinha,Copa Podio,86KG,GP,2016
10179,6253,Diego Borges,1188,Leandro Lo,L,0,Pts: 2x0,Copa Podio,86KG,SF,2016
10764,6253,Diego Borges,543,Rodrigo Cavaca,D,0.5,---,Copa Podio,105KG,RR,2016
10772,6253,Diego Borges,7543,Nelton Pontes,L,0,Pts: 2x0,Copa Podio,105KG,RR,2016
10780,6253,Diego Borges,1757,Alexander Trans,L,0,Pts: 6x0,Copa Podio,105KG,RR,2016
11892,6253,Diego Borges,,Espen M.,L,0,Pts: 2x0,Copa Podio,77KG,RR,2017
11904,6253,Diego Borges,7552,Isaque Bahiense,L,0,Pts: 2x0,Copa Podio,77KG,SF,2017
12604,6253,Diego Borges,7652,C. Negromonte,L,0,"Pts: 2x2, Adv",WP BR Qualifier,85KG,4F,2017
17195,6253,Diego Borges,9361,Guilherme Cordiviola,L,0,"Pts: 0x0, Adv",Team Nationals,O76KG,F,2018
2854,6253,Diego Borges,,Vitor Hugo,W,1,"Pts: 2x2, Adv",World Pro Trials,83KG,SF,2011
2855,6253,Diego Borges,410,Claudio Calasans,W,1,Pts: 4x2,World Pro Trials,83KG,F,2011
3452,6253,Diego Borges,,Juarez Harles,W,1,Bow and arrow,Amazon Meeting,82KG,SPF,2011
4028,6253,Diego Borges,8394,Vagner Rocha,W,1,Points,World Champ.,82KG,R1,2012
4050,6253,Diego Borges,484,Murilo Santana,W,1,Pts: 6x2,World Champ.,82KG,R2,2012
