match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
11312,6432,Yan Lucas,6836,John Combs,L,0,Guillotine,Long Beach Open,82KG,SF,2016
11318,6432,Yan Lucas,7079,Carlos Farias,L,0,Points,Long Beach Open,ABS,SF,2016
12150,6432,Yan Lucas,8231,Leo Saggioro,L,0,Choke from back,Pan American,76KG,R1,2017
12333,6432,Yan Lucas,7096,Josh Hinger,L,0,RNC,Chicago Sp. Open,ABS,F,2017
12339,6432,Yan Lucas,7096,Josh Hinger,L,0,Guillotine,Chicago Sp. NoGi,ABS,SF,2017
12385,6432,Yan Lucas,4163,Marcio Andre,L,0,Points,NY Spring Open,76KG,SF,2017
12404,6432,Yan Lucas,7399,Horlando Monteiro,L,0,"Pts: 2x2, Adv",NY Spring Open,ABS,4F,2017
12865,6432,Yan Lucas,,Gottrell King,L,0,DQ,Las Vegas Open,88KG,SF,2017
12871,6432,Yan Lucas,5655,Lucas Barbosa,L,0,Adv,Las Vegas Open,ABS,F,2017
13128,6432,Yan Lucas,358,Lucas Lepri,L,0,Pts: 4x0,World Champ.,76KG,SF,2017
13352,6432,Yan Lucas,4460,Jaime Canuto,L,0,Triangle,American Nats,82KG,F,2017
13370,6432,Yan Lucas,6592,Dany Gerard,L,0,N/A,American Nats,ABS,R1,2017
13441,6432,Yan Lucas,7664,Johnny Tama,L,0,Estima lock,FIVE Super League,N/A,SPF,2017
13771,6432,Yan Lucas,4460,Jaime Canuto,L,0,Armbar,San Diego Pro,82KG,R1,2017
13811,6432,Yan Lucas,6563,Francisco Iturralde,L,0,"Pts: 0x0, Adv",Grand Slam LA,77KG,SF,2017
14256,6432,Yan Lucas,4542,Felipe Cesar,L,0,Ezekiel,SJJIF Worlds,82KG,F,2017
14285,6432,Yan Lucas,11257,Gabriel Procopio,L,0,Points,Long Beach Open,82KG,SF,2017
15394,6432,Yan Lucas,8215,Espen Mathiesen,L,0,"Pts: 0x0, Adv",Pan American,76KG,8F,2018
16757,6432,Yan Lucas,8138,Hugo Marques,L,0,Pts: 4x0,SP BJJ Pro,82KG,SF,2018
17987,6432,Yan Lucas,,Chaise Olimpio,L,0,Points,Manaus Open,82KG,F,2018
17991,6432,Yan Lucas,,Felipe Matos,L,0,N/A,Manaus Open,ABS,F,2018
18293,6432,Yan Lucas,8138,Hugo Marques,L,0,Referee Decision,Grand Slam RJ,77KG,F,2018
18893,6432,Yan Lucas,8448,Pedro Ramalho,L,0,Triangle,European Open,76KG,R1,2019
19203,6432,Yan Lucas,6596,Jhonny Loureiro,D,0.5,---,Copa Podio,77KG,RR,2019
20279,6432,Yan Lucas,,Bruno Bressan,L,0,Points,Brasileiro,76KG,4F,2019
20624,6432,Yan Lucas,5930,Rodrigo Freitas,L,0,Pts: 2x0,World Champ.,76KG,R2,2019
21477,6432,Yan Lucas,7399,Horlando Monteiro,L,0,Adv,Coliseu JJ,85KG,SF,2019
22312,6432,Yan Lucas,10216,Natan Chueng,L,0,"Pts: 0x0, Adv",Grand Slam RJ,77KG,F,2019
22457,6432,Yan Lucas,10216,Natan Chueng,L,0,Choke from back,Rio BJJ Pro,82KG,4F,2019
22587,6432,Yan Lucas,7047,Matheus Spirandeli,L,0,Referee Decision,South American,88KG,SF,2019
24721,6432,Yan Lucas,11658,Lucas Gualberto,L,0,Referee Decision,Grand Slam RJ,77KG,F,2020
27318,6432,Yan Lucas,12241,Higor Lima,L,0,Pts: 3x2,Goiania Pro,LWA,SF,2021
28052,6432,Yan Lucas,,Wallisson Oliveira,L,0,Referee Decision,Brasileiro,82KG,R1,2021
28554,6432,Yan Lucas,11766,Gabriel Costa,L,0,Referee Decision,Grand Slam RJ,85KG,4F,2021
28564,6432,Yan Lucas,11746,Alex Munis,L,0,Referee Decision,Grand Slam RJ,85KG,3RD,2021
30152,6432,Yan Lucas,5756,Wellington Luis,L,0,"Pts: 0x0, Pen",Sul Brasileiro,ABS,4F,2022
30791,6432,Yan Lucas,12680,Enderson Dias,L,0,Pts: 2x0,Dallas Open,88KG,4F,2022
30809,6432,Yan Lucas,11878,Andy Murasaki,L,0,Pts: 6x2,Dallas Open,ABS,SF,2022
31693,6432,Yan Lucas,5636,Manuel Ribamar,L,0,Pts: 2x0,Pan American,88KG,SF,2022
32633,6432,Yan Lucas,12048,Rafael Anjos,L,0,Pts: 2x0,Denver Open,88KG,F,2022
32941,6432,Yan Lucas,8105,Tommy Langaker,L,0,Tarikoplata,World Champ.,82KG,8F,2022
33992,6432,Yan Lucas,11872,Luiz Paulo,L,0,Referee Decision,Grand Slam RJ,77KG,SF,2022
35900,6432,Yan Lucas,13076,Francisco Lo,L,0,Triangle,Houston FO,88KG,SF,2022
35909,6432,Yan Lucas,8514,Fellipe Andrew,L,0,DQ,Houston FO,ABS,F,2022
37120,6432,Yan Lucas,,Herico Pinto,L,0,Pts: 2x0,North East BRA,ABS,F,2023
37320,6432,Yan Lucas,8261,Rolando Samson,L,0,Armbar,Austin WO,82KG,F,2023
37333,6432,Yan Lucas,2403,Joao Rocha,L,0,"Pts: 2x2, Adv",Austin WO,ABS,SF,2023
38463,6432,Yan Lucas,1534,R. Evangelista,L,0,Referee Decision,Pan American,O100KG,R1,2023
39189,6432,Yan Lucas,,Shane Fishman,L,0,N/A,Chicago SPO,88KG,F,2023
41508,6432,Yan Lucas,,Lucas Valle,L,0,Referee Decision,Austin SMO,ABS,SF,2023
42384,6432,Yan Lucas,11697,Tainan Dalpra,L,0,Armbar,IBJJF GP,82KG,SPF,2023
11316,6432,Yan Lucas,6836,John Combs,W,1,Pts: 5x2,Long Beach Open,ABS,4F,2016
12324,6432,Yan Lucas,,Vinicius Canabarro,W,1,Pts: 14x0,Chicago Sp. Open,82KG,SF,2017
12325,6432,Yan Lucas,,Steven Patterson,W,1,Pts: 8x2,Chicago Sp. Open,82KG,F,2017
12326,6432,Yan Lucas,1017,Gabriel Goulart,W,1,Adv,Chicago Sp. Open,ABS,R1,2017
12330,6432,Yan Lucas,,Ross Daniels,W,1,Adv,Chicago Sp. Open,ABS,4F,2017
12332,6432,Yan Lucas,7079,Carlos Farias,W,1,Pts: 2x0,Chicago Sp. Open,ABS,SF,2017
12334,6432,Yan Lucas,,Gregory Walker,W,1,Adv,Chicago Sp. NoGi,79KG,RR,2017
12335,6432,Yan Lucas,,Gregory Walker,W,1,Triangle,Chicago Sp. NoGi,79KG,F,2017
12338,6432,Yan Lucas,,Aiazbek Mustakov,W,1,Toe hold,Chicago Sp. NoGi,ABS,4F,2017
12383,6432,Yan Lucas,,Rafael Rosendo,W,1,Points,NY Spring Open,76KG,4F,2017
12402,6432,Yan Lucas,9864,Diego Bispo,W,1,N/A,NY Spring Open,ABS,R1,2017
12864,6432,Yan Lucas,,Pedro Pimenta,W,1,Pts: 2x0,Las Vegas Open,88KG,4F,2017
12868,6432,Yan Lucas,,Jonathan Ares,W,1,Choke,Las Vegas Open,ABS,4F,2017
12870,6432,Yan Lucas,,Vitor Toledo,W,1,Pts: 6x2,Las Vegas Open,ABS,SF,2017
13114,6432,Yan Lucas,5061,Gabriel Rollo,W,1,Pts: 2x0,World Champ.,76KG,8F,2017
13120,6432,Yan Lucas,3313,Juan Kamezawa,W,1,"Pts: 0x0, Adv",World Champ.,76KG,8F,2017
13126,6432,Yan Lucas,5238,Edwin Najmi,W,1,Pts: 2x0,World Champ.,76KG,4F,2017
13349,6432,Yan Lucas,,Piter Silva,W,1,Adv,American Nats,82KG,4F,2017
13768,6432,Yan Lucas,9637,Sergio Rios,W,1,Points,San Diego Pro,82KG,R1,2017
13805,6432,Yan Lucas,11465,Kauan Barboza,W,1,Referee Decision,Grand Slam LA,77KG,R1,2017
13808,6432,Yan Lucas,4465,Andris Brunovskis,W,1,Referee Decision,Grand Slam LA,77KG,4F,2017
13815,6432,Yan Lucas,6836,John Combs,W,1,Pts: 2x0,Grand Slam LA,77KG,3RD,2017
14254,6432,Yan Lucas,,Unknown,W,1,Points,SJJIF Worlds,82KG,SF,2017
15954,6432,Yan Lucas,,Demerson Pereira,W,1,Points,Triangle 4,82KG,SPF,2018
16221,6432,Yan Lucas,,Igor Tavares,W,1,Arm in Ezekiel,Brasileiro,76KG,R1,2018
16228,6432,Yan Lucas,,Yuri Abreu,W,1,"Pts: 2x2, Adv",Brasileiro,76KG,8F,2018
16229,6432,Yan Lucas,3206,Rodrigo Conceicao,W,1,"Pts: 0x0, Adv",Brasileiro,76KG,4F,2018
16233,6432,Yan Lucas,4115,Fabio Caloi,W,1,Points,Brasileiro,76KG,SF,2018
16235,6432,Yan Lucas,6596,Jhonny Loureiro,W,1,Pts: 2x0,Brasileiro,76KG,F,2018
16669,6432,Yan Lucas,,Celso Ricardo,W,1,Points,BH Winter Open,82KG,4F,2018
