match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
2429,644,Joao Assis,926,Roberto Alencar,L,0,Kimura,NoGi Worlds,94KG,SF,2009
2565,644,Joao Assis,576,Rafael Lovato,L,0,Pts: 2x0,Pan American,94KG,SF,2010
2713,644,Joao Assis,576,Rafael Lovato,L,0,Points,World Champ.,94KG,4F,2010
3145,644,Joao Assis,1272,Leo Nogueira,L,0,Referee Decision,World Champ.,100KG,SF,2011
3184,644,Joao Assis,387,Braga Neto,L,0,Choke from back,San Diego Trials,O92,SF,2011
3194,644,Joao Assis,1386,Davi Ramos,L,0,Toe hold,Grapplers Quest LV,ABS,F,2011
3298,644,Joao Assis,1369,Dean Lister,L,0,Heel hook,ADCC,99KG,F,2011
3307,644,Joao Assis,1617,Victor Estima,L,0,Pts: 2x0,ADCC,ABS,R1,2011
3656,644,Joao Assis,425,Bernardo Faria,L,0,Pts: 3x2,Pan American,O100KG,SF,2012
4119,644,Joao Assis,,Felipe Bueno,L,0,Pts: 7x2,World Champ.,100KG,R2,2012
4259,644,Joao Assis,84,Alexandre Ribeiro,L,0,Referee Decision,NoGi Worlds,100KG,F,2012
4277,644,Joao Assis,911,Antonio Peinado,L,0,North south choke,NoGi Worlds,ABS,4F,2012
4753,644,Joao Assis,2403,Joao Rocha,L,0,Points,World Champ.,ABS,RDS,2013
4816,644,Joao Assis,3122,Luiz Panza,L,0,Botinha,World Champ.,100KG,4F,2013
7769,644,Joao Assis,1740,Yuri Simoes,L,0,Referee Decision,FIVE SL,ABS,SF,2015
7922,644,Joao Assis,2416,Felipe Pena,L,0,Pts: 9x0,ADCC,99KG,SF,2015
13871,644,Joao Assis,3200,Jackson Sousa,L,0,Referee Decision,ADCC,99KG,4F,2017
14600,644,Joao Assis,5655,Lucas Barbosa,L,0,North south choke,ACB JJ 9,95KG,4F,2017
14717,644,Joao Assis,5655,Lucas Barbosa,L,0,North south choke,NoGi Worlds,97KG,F,2017
16918,644,Joao Assis,6531,Richie Martinez,D,0.5,---,Quintet II,ABS,N/A,2018
16980,644,Joao Assis,,Kevin Cassey,L,0,Referee Decision,W.S.O.G.,O81KG,8F,2018
2563,644,Joao Assis,,Daniel Simmler,W,1,Points,Pan American,94KG,4F,2010
2754,644,Joao Assis,,Bruce Hoyer,W,1,RNC,GQ UFC Expo,ABS,R1,2010
2755,644,Joao Assis,,Mario Barbosa,W,1,RNC,GQ UFC Expo,ABS,4F,2010
2756,644,Joao Assis,898,Bill Cooper,W,1,Pts: 6x0,GQ UFC Expo,ABS,SF,2010
2757,644,Joao Assis,,Jeff Monson,W,1,RNC,GQ UFC Expo,ABS,F,2010
2758,644,Joao Assis,5992,Wilson Reis,W,1,Pts: 8x0,GQ WBG,ABS,R1,2010
2759,644,Joao Assis,,Nader Magrihiy,W,1,Kneebar,GQ WBG,ABS,4F,2010
2761,644,Joao Assis,,Nolan Dutcher,W,1,Toe hold,GQ WBG,ABS,SF,2010
2763,644,Joao Assis,84,Alexandre Ribeiro,W,1,Points,GQ WBG,ABS,F,2010
2769,644,Joao Assis,898,Bill Cooper,W,1,"Pts: 2x2, Adv",GQ Las Vegas,ABS,NA,2010
3090,644,Joao Assis,,Ronilson Nunes,W,1,Choke,World Champ.,100KG,RDS,2011
3125,644,Joao Assis,,Ricardo Henrique,W,1,DQ,World Champ.,100KG,4F,2011
3190,644,Joao Assis,,M. Perez,W,1,RNC,G. Quest WC,ABS,4F,2011
3191,644,Joao Assis,,Pat Begin,W,1,Pts: 23x0,G. Quest WC,ABS,SF,2011
3192,644,Joao Assis,,Rustam Chsiev,W,1,Adv,G. Quest WC,ABS,F,2011
3247,644,Joao Assis,,James Poupolo,W,1,Heel hook,ADCC,99KG,R1,2011
3273,644,Joao Assis,387,Braga Neto,W,1,Footlock,ADCC,99KG,4F,2011
3287,644,Joao Assis,84,Alexandre Ribeiro,W,1,RNC,ADCC,99KG,SF,2011
3334,644,Joao Assis,,Luis Pedro,W,1,RNC,No Gi Worlds,ABS,R2,2011
3338,644,Joao Assis,1523,Clark Gracie,W,1,Pts: 10x0,No Gi Worlds,ABS,4F,2011
3343,644,Joao Assis,911,Antonio Peinado,W,1,Pts: 2x0,No Gi Worlds,ABS,SF,2011
3653,644,Joao Assis,1827,James Puopolo,W,1,Toe Hold,Pan American,O100KG,4F,2012
4258,644,Joao Assis,425,Bernardo Faria,W,1,Pts: 3x0,NoGi Worlds,100KG,SF,2012
4274,644,Joao Assis,4177,Gustavo Dias,W,1,Pts: 12x0,NoGi Worlds,ABS,8F,2012
4724,644,Joao Assis,,Pedro Bessa,W,1,Pts: 2x0,World Champ.,ABS,RDS,2013
4742,644,Joao Assis,,Tio Chico,W,1,Choke from back,World Champ.,ABS,RDS,2013
5026,644,Joao Assis,,Liu Wen Bo,W,1,Pts: 9x0,ADCC,99KG,R1,2013
5030,644,Joao Assis,,Tomasz Narkun,W,1,Pts: 3x0,ADCC,99KG,4F,2013
5034,644,Joao Assis,1272,Leo Nogueira,W,1,Heel Hook,ADCC,99KG,SF,2013
5036,644,Joao Assis,1369,Dean Lister,W,1,Pts: 5x0,ADCC,99KG,F,2013
6060,644,Joao Assis,7519,Eliot Kelly,W,1,Pts: 2x0,NoGi Worlds,100KG,4F,2014
6061,644,Joao Assis,,Roger Ambrosi,W,1,Pts: 8x0,NoGi Worlds,100KG,SF,2014
6278,644,Joao Assis,,Andrew Miller,W,1,Kneebar,FIVE NAIC,ABS,RR,2014
6279,644,Joao Assis,6419,Marcel Goncalves,W,1,Points,FIVE NAIC,ABS,RR,2014
6280,644,Joao Assis,10501,Valdir Araujo,W,1,Points,FIVE NAIC,ABS,RR,2014
7557,644,Joao Assis,5324,Tom DeBlass,D,0.5,---,Sub Series Pro,ABS,SPF,2015
7641,644,Joao Assis,5324,Tom DeBlass,D,0.5,---,Sub Series Pro,ABS,SPF,2015
7767,644,Joao Assis,3083,Abraham Marte,W,1,Heel hook,FIVE SL,ABS,4F,2015
7771,644,Joao Assis,5660,Lucas Rocha,W,1,Pts: 4x2,FIVE SL,ABS,3RD,2015
7909,644,Joao Assis,,Tomasz Narkun,W,1,Pts: 3x0,ADCC,99KG,R1,2015
7920,644,Joao Assis,,Kamil Uminski,W,1,Injury,ADCC,99KG,4F,2015
8464,644,Joao Assis,6324,Evandro Nunes,W,1,Pts: 6x2,NoGi Worlds,97KG,4F,2015
8467,644,Joao Assis,1827,James Puopolo,W,1,Ankle lock,NoGi Worlds,97KG,SF,2015
8469,644,Joao Assis,926,Roberto Alencar,W,1,Pts: 4x0,NoGi Worlds,97KG,F,2015
8551,644,Joao Assis,,JJ Pugsley,W,1,RNC,F2W 1,100KG,SPF,2015
9867,644,Joao Assis,,Ray Kong,W,1,Triangle armbar,FTW Pro 5,ABS,SPF,2016
11773,644,Joao Assis,,M. Perez,W,1,Referee Decision,F2W 24,ABS,SPF,2017
13549,644,Joao Assis,5324,Tom deBlass,W,1,Referee Decision,F2W 43,N/A,SPF,2017
13865,644,Joao Assis,,Jeff Monson,W,1,Inside heel hook,ADCC,99KG,E1,2017
