match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
9020,6493,Darson Hemmings,,Victor Paschoal,L,0,"Pts: 2x2, Adv",San Jose Open,70KG,SF,2016
9253,6493,Darson Hemmings,4163,Marcio Andre,L,0,Pts: 11x0,Pan American,70KG,4F,2016
9467,6493,Darson Hemmings,4248,Gianni Grippo,L,0,"Pts: 4x4, Adv",NY Spring Open,76KG,SF,2016
9692,6493,Darson Hemmings,6043,Lucas Pinheiro,L,0,Pts: 6x4,San Antonio Open,64KG,F,2016
9708,6493,Darson Hemmings,5636,Manuel Ribamar,L,0,Arm in Ezekiel,San Antonio Open,ABS,R1,2016
11285,6493,Darson Hemmings,,Christopher Kriebel,L,0,Armbar,Montreal Open,64KG,F,2016
11287,6493,Darson Hemmings,,Jarod Lawton,L,0,Referee Decision,Montreal Open,ABS,F,2016
13530,6493,Darson Hemmings,6258,Rodnei Barbosa,L,0,Points,Boston SM. Open,64KG,4F,2017
14399,6493,Darson Hemmings,6368,Kevin Mahecha,L,0,"Pts: 2x2, Adv",BJJ NY Pro,70KG,R1,2017
15343,6493,Darson Hemmings,6337,Arnaldo Maidana,L,0,"Pts: 0x0, Adv",Pan American,ABS,R1,2018
15367,6493,Darson Hemmings,2997,Joao Miyao,L,0,Pts: 10x0,Pan American,64KG,4F,2018
16442,6493,Darson Hemmings,,E. Yezeguie,L,0,Pts: 6x4,World Champ.,64KG,R1,2018
17288,6493,Darson Hemmings,8974,Kaynan Duarte,L,0,Points,Las Vegas Open,ABS,4F,2018
17338,6493,Darson Hemmings,12629,Fabricio Barbarotti,L,0,Referee Decision,Toronto Open,82KG,F,2018
9019,6493,Darson Hemmings,,Rick Slomba,W,1,Pts: 4x2,San Jose Open,70KG,4F,2016
9248,6493,Darson Hemmings,,Rick Slomba,W,1,"Pts: 0x0, Adv",Pan American,70KG,8F,2016
9466,6493,Darson Hemmings,,Alexandre Bezerra,W,1,Ankle lock,NY Spring Open,76KG,4F,2016
11284,6493,Darson Hemmings,1640,Andre Monteiro,W,1,Points,Montreal Open,64KG,SF,2016
11286,6493,Darson Hemmings,,John Rickel,W,1,Darce choke,Montreal Open,ABS,SF,2016
