match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
2823,6792,Cassio Francis,1600,Vinicius Marinho,L,0,Points,Sulamericano,ABS,NA,2011
2832,6792,Cassio Francis,,Fabiano Boi,L,0,Kneebar,Panamericano,94KG,NA,2011
2833,6792,Cassio Francis,474,Alexandre Ceconi,L,0,Points,Panamericano,ABS,NA,2011
4876,6792,Cassio Francis,,Cássio Lisboa,L,0,Referee Decision,Brasileiro Sud.,94KG,F,2013
4881,6792,Cassio Francis,1188,Leandro Lo,L,0,Points,Brasileiro CBJJE,ABS,NA,2013
5241,6792,Cassio Francis,911,Antonio Peinado,L,0,Adv,World Pro Trial,94KG,SF,2014
5527,6792,Cassio Francis,2235,Renato Cardoso,L,0,Points,Brasileiro,ABS,R1,2014
5881,6792,Cassio Francis,4235,Victor Silverio,L,0,Adv,Rio Open,ABS,4F,2014
6140,6792,Cassio Francis,8560,Gabriel Lucas,L,0,Pts: 3x0,Rio BJJ Pro,O94KG,SF,2014
7267,6792,Cassio Francis,4521,Erberth Santos,L,0,"Pts: 0x0, Adv",Brasileiro,ABS,4F,2015
7499,6792,Cassio Francis,3200,Jackson Sousa,L,0,"Pts: 2x2, Adv",World Champ.,94KG,4F,2015
7919,6792,Cassio Francis,247,Rodolfo Vieira,L,0,RNC,ADCC,99KG,4F,2015
8330,6792,Cassio Francis,7579,Romulo Azevedo,L,0,Pts: 2x0,Brasileiro NoGi,ABS,R1,2015
8374,6792,Cassio Francis,,Otavio Nalati,L,0,Referee Decision,SP National Pro,O77KG,4F,2015
8716,6792,Cassio Francis,4521,Erberth Santos,L,0,Kneebar,Grand Slam RJ,ABS,4F,2015
8975,6792,Cassio Francis,4521,Erberth Santos,L,0,Pts: 6x4,European Open,100KG,4F,2016
9795,6792,Cassio Francis,5417,Guilherme Augusto,L,0,Toe hold,Brasileiro,94KG,SF,2016
10051,6792,Cassio Francis,144,Andre Galvao,L,0,"Pts: 4x4, Adv",World Champ.,94KG,SF,2016
10685,6792,Cassio Francis,6354,Jonathan Satava,L,0,Referee Decision,NoGi Pan Ams,ABS,SF,2016
10767,6792,Cassio Francis,4521,Erberth Santos,L,0,"Pts: 0x0, Adv",Copa Podio,105KG,RR,2016
10770,6792,Cassio Francis,1188,Leandro Lo,L,0,Toe hold,Copa Podio,105KG,RR,2016
10775,6792,Cassio Francis,,I. Bahiense,L,0,Pts: 5x2,Copa Podio,105KG,RR,2016
16675,6792,Cassio Francis,,Otavio Nalati,L,0,N/A,BH Winter Open,O100KG,F,2018
2822,6792,Cassio Francis,,Jefferson Conceição,W,1,Verbal tap,Sulamericano,ABS,NA,2011
2824,6792,Cassio Francis,,Grimaldo Oliveira,W,1,Kneebar,Brasileiro CBJJE,94KG,NA,2011
2825,6792,Cassio Francis,,Raggi Junior,W,1,Armbar,Brasileiro CBJJE,94KG,NA,2011
2829,6792,Cassio Francis,,Alexandre Cordeiro,W,1,Bow and arrow,XXII Interclubes,100KG,SF,2011
2830,6792,Cassio Francis,,Luiz Pereira,W,1,Triangle,XXII Interclubes,100KG,F,2011
2831,6792,Cassio Francis,,Dalton Régis,W,1,Toe hold,Panamericano,94KG,NA,2011
4873,6792,Cassio Francis,,Josimar Junior,W,1,Arm in Ezekiel,Brasileiro Sud.,ABS,4F,2013
4874,6792,Cassio Francis,,Alex Silva,W,1,Wristlock,Brasileiro Sud.,ABS,SF,2013
4875,6792,Cassio Francis,,Cássio Lisboa,W,1,Wristlock,Brasileiro Sud.,ABS,F,2013
4880,6792,Cassio Francis,8762,Rodrigo Ribeiro,W,1,Points,Brasileiro CBJJE,ABS,NA,2013
5190,6792,Cassio Francis,7224,Diogo Almeida,W,1,Points,SP Open,ABS,F,2013
5192,6792,Cassio Francis,,Petrônio Batista,W,1,Wristlock,Leao Dourado Cup,ABS,SF,2013
