match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
10419,7047,Matheus Spirandeli,4430,Patrick Gaudio,L,0,Referee Decision,Curitiba W. Open,88KG,F,2016
10430,7047,Matheus Spirandeli,4960,Dimitrius Souza,L,0,Pts: 2x0,Curitiba W. Open,ABS,F,2016
10581,7047,Matheus Spirandeli,4430,Patrick Gaudio,L,0,Adv,Sao Paulo Open,88KG,F,2016
10995,7047,Matheus Spirandeli,5417,Guilherme Augusto,L,0,Points,BJJ Rio Pro,94KG,4F,2016
11466,7047,Matheus Spirandeli,6071,Gabriel Arges,L,0,RNC,Grand Slam AD,85KG,F,2017
11609,7047,Matheus Spirandeli,7399,Horlando Monteiro,L,0,"Pts: 2x2, Adv",European Open,88KG,SF,2017
12796,7047,Matheus Spirandeli,4430,Patrick Gaudio,L,0,Points,Brasileiro,88KG,4F,2017
13151,7047,Matheus Spirandeli,4789,Marcos Tinoco,L,0,Pts: 4x2,World Champ.,82KG,4F,2017
13746,7047,Matheus Spirandeli,,Victor Bomfim,L,0,Points,Sao Paulo Open,88KG,SF,2017
14355,7047,Matheus Spirandeli,7552,Isaque Bahiense,L,0,Pts: 2x0,Grand Slam RJ,85KG,R2,2017
14941,7047,Matheus Spirandeli,4430,Patrick Gaudio,L,0,"Pts: 0x0, Adv",European Open,88KG,4F,2018
16268,7047,Matheus Spirandeli,7399,Horlando Monteiro,L,0,Triangle,Brasileiro,88KG,SF,2018
16569,7047,Matheus Spirandeli,8100,Rudson Mateus,L,0,50/50 armbar,World Champ.,88KG,4F,2018
17671,7047,Matheus Spirandeli,8100,Rudson Mateus,L,0,"Pts: 0x0, Adv",Gracie Pro,ABS,4F,2018
18303,7047,Matheus Spirandeli,7552,Isaque Bahiense,L,0,Pts: 2x0,Grand Slam RJ,85KG,SF,2018
19643,7047,Matheus Spirandeli,8100,Rudson Mateus,L,0,Pts: 2x0,Pan American,88KG,4F,2019
20313,7047,Matheus Spirandeli,,Carlos Eduardo,L,0,Pts: 6x4,Brasileiro,88KG,4F,2019
20673,7047,Matheus Spirandeli,8357,Gustavo Batista,L,0,Pts: 2x0,World Champ.,88KG,4F,2019
22028,7047,Matheus Spirandeli,9573,Marcos Martins,L,0,Adv,BJJ Stars,88KG,SPF,2019
22327,7047,Matheus Spirandeli,7652,C. Negromonte,L,0,Pts: 2x0,Grand Slam RJ,85KG,4F,2019
24746,7047,Matheus Spirandeli,5756,Wellington Luis,L,0,Pts: 1x0,Grand Slam RJ,85KG,F,2020
28071,7047,Matheus Spirandeli,9573,Marcos Martins,L,0,"Pts: 0x0, Adv",Brasileiro,88KG,SF,2021
29544,7047,Matheus Spirandeli,11384,Andre Porfirio,L,0,"Pts: 2x2, Adv",World Champ.,88KG,8F,2021
30595,7047,Matheus Spirandeli,10176,Bruno Lima,L,0,"Pts: 0x0, Adv",European Open,88KG,SF,2022
32971,7047,Matheus Spirandeli,7552,Isaque Bahiense,L,0,Referee Decision,World Champ.,88KG,4F,2022
37223,7047,Matheus Spirandeli,12506,Jansen Gomes,L,0,Pts: 2x0,European Open,88KG,4F,2023
38417,7047,Matheus Spirandeli,12671,Uanderson Ferreira,L,0,Pts: 2x0,Pan American,88KG,R1,2023
39516,7047,Matheus Spirandeli,8357,Gustavo Batista,L,0,Bow and arrow,Brasileiro,88KG,F,2023
40321,7047,Matheus Spirandeli,11878,Andy Murasaki,L,0,Choke from back,World Champ.,88KG,4F,2023
42500,7047,Matheus Spirandeli,7552,Isaque Bahiense,L,0,Choke from back,BJJ Stars,88KG,SPF,2023
10425,7047,Matheus Spirandeli,,Romes Ramos,W,1,Pts: 4x0,Curitiba W. Open,ABS,R1,2016
10427,7047,Matheus Spirandeli,7672,Caio Almeida,W,1,Choke from back,Curitiba W. Open,ABS,4F,2016
10428,7047,Matheus Spirandeli,8968,Admilson Gobi,W,1,Choke,Curitiba W. Open,ABS,SF,2016
10580,7047,Matheus Spirandeli,,Bruno Aquino,W,1,Kneebar,Sao Paulo Open,88KG,SF,2016
11071,7047,Matheus Spirandeli,,Marcelo Cortelassi,W,1,Points,Grand Slam RJ,85KG,8F,2016
11078,7047,Matheus Spirandeli,6301,Faisal AlKitbe,W,1,Pts: 6x0,Grand Slam RJ,85KG,4F,2016
11459,7047,Matheus Spirandeli,,Vinicius Almeida,W,1,Armbar,Grand Slam AD,85KG,R1,2017
11463,7047,Matheus Spirandeli,6301,Faisal AlKitbe,W,1,"Pts: 0x0, Adv",Grand Slam AD,85KG,4F,2017
11465,7047,Matheus Spirandeli,,Rafael Carvalho,W,1,Choke from back,Grand Slam AD,85KG,SF,2017
11601,7047,Matheus Spirandeli,,Arturo Espies,W,1,"Pts: 4x4, Pen",European Open,88KG,8F,2017
11607,7047,Matheus Spirandeli,,Vinicius Ferreira,W,1,Submission,European Open,88KG,4F,2017
12277,7047,Matheus Spirandeli,,Matheus Souza,W,1,Pts: 12x2,Rio Fall Open,88KG,4F,2017
12278,7047,Matheus Spirandeli,,Romeu Patrick,W,1,Kneebar,Rio Fall Open,88KG,SF,2017
12279,7047,Matheus Spirandeli,7224,Diogo Almeida,W,1,Pts: 12x0,Rio Fall Open,88KG,F,2017
12789,7047,Matheus Spirandeli,,Luiz Nogueira,W,1,Kneebar,Brasileiro,88KG,R1,2017
12795,7047,Matheus Spirandeli,,Pedro Conti,W,1,Points,Brasileiro,88KG,R2,2017
13131,7047,Matheus Spirandeli,8081,Nathan Mendelsohn,W,1,Pts: 12x0,World Champ.,82KG,R1,2017
13142,7047,Matheus Spirandeli,4235,Victor Silverio,W,1,"Pts: 2x2, Adv",World Champ.,82KG,8F,2017
14478,7047,Matheus Spirandeli,,Felipe Nilo,W,1,Pts: 7x2,South American,88KG,4F,2017
14480,7047,Matheus Spirandeli,4145,Thiago Sa,W,1,Armbar,South American,88KG,SF,2017
14481,7047,Matheus Spirandeli,2235,Renato Cardoso,W,1,"Pts: 4x4, Adv",South American,88KG,F,2017
14938,7047,Matheus Spirandeli,,Martin Aedma,W,1,Pts: 11x0,European Open,88KG,R1,2018
16257,7047,Matheus Spirandeli,,Anaue Pavanello,W,1,Armbar,Brasileiro,88KG,R1,2018
16260,7047,Matheus Spirandeli,7579,Romulo Azevedo,W,1,Choke from back,Brasileiro,88KG,8F,2018
16266,7047,Matheus Spirandeli,,Filipe Pinheiro,W,1,Points,Brasileiro,88KG,4F,2018
16560,7047,Matheus Spirandeli,1003,Diogo Sampaio,W,1,Pts: 4x0,World Champ.,88KG,8F,2018
16776,7047,Matheus Spirandeli,,Brenno Novaes,W,1,"Pts: 2x2, Adv",Mundial CBJJE,94KG,4F,2018
16777,7047,Matheus Spirandeli,,Dilson Souza,W,1,Choke from back,Mundial CBJJE,94KG,SF,2018
16778,7047,Matheus Spirandeli,,Ramon Rost,W,1,Armbar,Mundial CBJJE,94KG,F,2018
16786,7047,Matheus Spirandeli,,Robson Sa,W,1,Choke from back,Mundial CBJJE,ABS,4F,2018
16789,7047,Matheus Spirandeli,,Eros Danilo,W,1,Pts: 14x0,Mundial CBJJE,ABS,SF,2018
16791,7047,Matheus Spirandeli,4521,Erberth Santos,W,1,Verbal tap,Mundial CBJJE,ABS,F,2018
17172,7047,Matheus Spirandeli,,Henrique R.,W,1,Pts: 23x0,Floripa W. Open,88KG,4F,2018
17174,7047,Matheus Spirandeli,11456,Flavio Junqueira,W,1,"Pts: 2x2, Adv",Floripa W. Open,88KG,SF,2018
17175,7047,Matheus Spirandeli,,Manoel Porto,W,1,Pts: 5x0,Floripa W. Open,88KG,F,2018
18295,7047,Matheus Spirandeli,,Claudevan Oliveira,W,1,"Pts: 2x2, Adv",Grand Slam RJ,85KG,R1,2018
18297,7047,Matheus Spirandeli,6375,Ruan Oliveira,W,1,Pts: 6x0,Grand Slam RJ,85KG,R2,2018
18300,7047,Matheus Spirandeli,,Manoel Junior,W,1,"Pts: 0x0, Adv",Grand Slam RJ,85KG,4F,2018
18304,7047,Matheus Spirandeli,,Edjonson Andrade,W,1,Armlock,Grand Slam RJ,85KG,RPC,2018
18305,7047,Matheus Spirandeli,,Manoel Junior,W,1,Pts: 4x0,Grand Slam RJ,85KG,3RD,2018
19635,7047,Matheus Spirandeli,8729,Matt Leighton,W,1,Pts: 6x2,Pan American,88KG,8F,2019
20311,7047,Matheus Spirandeli,,Leandro Caetano,W,1,Choke from back,Brasileiro,88KG,R2,2019
20434,7047,Matheus Spirandeli,12277,Pedro Agrizzi,W,1,Adv,Copa Podio Trials,85KG,SPF,2019
20671,7047,Matheus Spirandeli,,Esdras Mendes,W,1,50/50 armbar,World Champ.,88KG,R2,2019
21016,7047,Matheus Spirandeli,,Henrique Riedlinger,W,1,Points,SP BJJ Pro,94KG,4F,2019
21201,7047,Matheus Spirandeli,,William Lima,W,1,Points,Mundial CBJJE,88KG,4F,2019
21203,7047,Matheus Spirandeli,,Anaue Pavanelli,W,1,N/A,Mundial CBJJE,88KG,SF,2019
