match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
5478,7096,Josh Hinger,562,Eduardo Telles,L,0,Pts: 2x0,FIVE NoGi C. 2,ABS,4F,2014
5948,7096,Josh Hinger,6563,Francisco Iturralde,L,0,Adv,American Nat.,82KG,SF,2014
6010,7096,Josh Hinger,425,Bernardo Faria,L,0,Armbar,NoGi Worlds,ABS,4F,2014
6038,7096,Josh Hinger,5909,Thiago Abreu,L,0,Footlock,NoGi Worlds,79KG,4F,2014
6737,7096,Josh Hinger,,Magid Hage,L,0,Baseball choke,SF Open,82KG,F,2015
6836,7096,Josh Hinger,4542,Felipe Cesar,L,0,Pts: 7x2,Pan American,82KG,R3,2015
6958,7096,Josh Hinger,1583,Mike Fowler,L,0,Pts: 15x0,Marianas Open,ABS,4F,2015
7371,7096,Josh Hinger,5649,Garry Tonon,L,0,EBI/OT,EBI 3,77KG,F,2015
7554,7096,Josh Hinger,,Stephen Martinez,L,0,Adv,RevGear,ABS,F,2015
7805,7096,Josh Hinger,,Stephen Martinez,L,0,Guillotine,Metamoris UG,ABS,SPF,2015
8347,7096,Josh Hinger,,Fernando Moya,L,0,Armbar,Seattle Open,ABS,SF,2015
8445,7096,Josh Hinger,4145,Thiago Sa,L,0,Toe hold,NoGi Worlds,85KG,4F,2015
8484,7096,Josh Hinger,,Adam Wheeler,L,0,Pts: 5x0,NoGi Worlds,ABS,R1,2015
8741,7096,Josh Hinger,,Procopio Fonseca,L,0,Pts: 9x6,Irvine Open,82KG,SF,2015
8962,7096,Josh Hinger,320,Romulo Barral,L,0,Mounted X choke,European Open,88KG,4F,2016
8980,7096,Josh Hinger,2416,Felipe Pena,L,0,Choke from back,European Open,ABS,R1,2016
9285,7096,Josh Hinger,5258,Dillon Danis,L,0,Triangle,Pan American,82KG,R1,2016
10384,7096,Josh Hinger,7079,Carlos Farias,L,0,Collar choke,Ch. Summer Open,ABS,SF,2016
10961,7096,Josh Hinger,484,Murilo Santana,L,0,Arm in guillotine,NoGi Worlds,ABS,4F,2016
11958,7096,Josh Hinger,6071,Gabriel Arges,L,0,Points,ACBJJ 4,85KG,4F,2017
12200,7096,Josh Hinger,320,Romulo Barral,L,0,Cross choke,Pan American,82KG,4F,2017
12544,7096,Josh Hinger,10531,John Salter,L,0,Pts: 2x0,ADCC WC Trials,88KG,SF,2017
13364,7096,Josh Hinger,3009,Keenan Cornelius,L,0,Choke from back,American Nats,94KG,F,2017
13379,7096,Josh Hinger,3009,Keenan Cornelius,L,0,Choke from back,American Nats,ABS,F,2017
13598,7096,Josh Hinger,3009,Keenan Cornelius,L,0,Pts: 5x2,Seattle Open,ABS,F,2017
13634,7096,Josh Hinger,8195,Gutemberg Pereira,L,0,Triangle,Chicago SMO,100KG,F,2017
13640,7096,Josh Hinger,8195,Gutemberg Pereira,L,0,Wristlock,Chicago SMO,ABS,SF,2017
14964,7096,Josh Hinger,4145,Thiago Sa,L,0,Points,ACB 10,85KG,SPF,2018
15855,7096,Josh Hinger,6337,Arnaldo Maidana,L,0,Points,ACBJJ 12,85KG,SPF,2018
16541,7096,Josh Hinger,5347,Yago Souza,L,0,Pts: 4x2,World Champ.,82KG,8F,2018
17314,7096,Josh Hinger,,Joshua Bacallao,L,0,Adv,LV NG Open,ABS,F,2018
18445,7096,Josh Hinger,576,Rafael Lovato,L,0,Referee Decision,F2W 95,88KG,SPF,2018
21388,7096,Josh Hinger,5423,Matheus Diniz,L,0,RNC,Kasai Pro 6,86KG,SPF,2019
21892,7096,Josh Hinger,5423,Matheus Diniz,L,0,Pts: 3x0,ADCC,88KG,SF,2019
26299,7096,Josh Hinger,8394,Vagner Rocha,L,0,Referee Decision,WNO 9,83KG,SPF,2021
29292,7096,Josh Hinger,4430,Patrick Gaudio,L,0,Referee Decision,Raw GC,94KG,SF,2021
35041,7096,Josh Hinger,5655,Lucas Barbosa,L,0,Pts: 7x0,ADCC,88KG,4F,2022
35110,7096,Josh Hinger,,Owen Livesey,L,0,Referee Decision,Polaris,ABS,SPF,2022
5463,7096,Josh Hinger,,Unknown,W,1,Referee Decision,FIVE Cali. 2,82KG,4F,2014
5464,7096,Josh Hinger,,Kyle Swanson,W,1,Triangle,FIVE Cali. 2,82KG,SF,2014
5465,7096,Josh Hinger,,Stephen Martinez,W,1,Points,FIVE Cali. 2,82KG,F,2014
5947,7096,Josh Hinger,,Nathan Mendelson,W,1,Guillotine,American Nat.,82KG,4F,2014
5958,7096,Josh Hinger,,Stephen Martinez,W,1,Arm Triangle,Am. Nat. NoGi,82KG,4F,2014
5959,7096,Josh Hinger,6563,Francisco Iturralde,W,1,DQ,Am. Nat. NoGi,82KG,SF,2014
5961,7096,Josh Hinger,6563,Francisco Iturralde,W,1,Pts: 11x0,Am. Nat. NoGi,ABS,4F,2014
5962,7096,Josh Hinger,4328,AJ Agazarm,W,1,Points,Am. Nat. NoGi,ABS,SF,2014
6735,7096,Josh Hinger,7321,Darragh OConaill,W,1,Triangle,SF Open,82KG,4F,2015
6736,7096,Josh Hinger,2035,Vitor Oliveira,W,1,Guillotine,SF Open,82KG,SF,2015
7358,7096,Josh Hinger,,Mike Padilla,W,1,Triangle,EBI 3,77KG,R1,2015
7365,7096,Josh Hinger,,Nathan Orchard,W,1,EBI/OT,EBI 3,77KG,4F,2015
7370,7096,Josh Hinger,7321,Darragh OConaill,W,1,EBI/OT,EBI 3,77KG,SF,2015
7552,7096,Josh Hinger,,Joseph Gonzalez,W,1,Points,RevGear,ABS,4F,2015
7553,7096,Josh Hinger,,Lance Glynn,W,1,Guillotine,RevGear,ABS,SF,2015
7558,7096,Josh Hinger,,Jaret Macintosh,W,1,Monoplata,Sub Series Pro,82KG,SPF,2015
8341,7096,Josh Hinger,,Vinicius Agudo,W,1,Monoplata,Seattle Open,82KG,4F,2015
8342,7096,Josh Hinger,,Pedro Henrique,W,1,Monoplata,Seattle Open,82KG,SF,2015
8345,7096,Josh Hinger,,Alessandro Ferreira,W,1,Guillotine,Seattle Open,ABS,4F,2015
8439,7096,Josh Hinger,,Gotterell King,W,1,"Pts: 0x0, Adv",NoGi Worlds,85KG,8F,2015
8795,7096,Josh Hinger,,Albert Aguirre,W,1,Triangle,Gracie Worlds,ABS,N/A,2015
8796,7096,Josh Hinger,,Issa Able,W,1,Triangle armbar,Gracie Worlds,ABS,N/A,2015
8797,7096,Josh Hinger,,Travis Newaza,W,1,Armbar,Gracie NoGi Worlds,ABS,F,2015
8798,7096,Josh Hinger,,Brent Alvarez,W,1,Reverse triangle,Gracie NoGi Worlds,ABS,SF,2015
8799,7096,Josh Hinger,1023,Baret Yoshida,D,0.5,---,Gracie NoGi Worlds,ABS,F,2015
8800,7096,Josh Hinger,,Shannon Gugerty,W,1,Arm in Guillotine,SRO,ABS,SPF,2015
8953,7096,Josh Hinger,,Bruno Cuppari,W,1,Pts: 2x0,European Open,88KG,R1,2016
9440,7096,Josh Hinger,,Javier Yamuni,W,1,Bow and Arrow,Chicago S. Open,82KG,SF,2016
9441,7096,Josh Hinger,,Sean Fisher,W,1,Points,Chicago S. Open,82KG,F,2016
9444,7096,Josh Hinger,,Aiazbek Mustakov,W,1,Arm Triangle,Chicago S. Open,ABS,4F,2016
9445,7096,Josh Hinger,,Josh Bowling,W,1,Guillotine,Chicago S. Open,ABS,SF,2016
9446,7096,Josh Hinger,7743,Inacio Neto,W,1,Monoplata,Chicago S. Open,ABS,F,2016
9448,7096,Josh Hinger,,Steven Patterson,W,1,RNC,Ch. NoGi S. Open,83KG,SF,2016
9449,7096,Josh Hinger,,Javier Yamuni,W,1,Pts: 14x0,Ch. NoGi S. Open,83KG,F,2016
9450,7096,Josh Hinger,,Steven Patterson,W,1,Kneebar,Ch. NoGi S. Open,ABS,SF,2016
9451,7096,Josh Hinger,7743,Inacio Neto,W,1,Kneebar,Ch. NoGi S. Open,ABS,F,2016
10373,7096,Josh Hinger,6836,John Combs,W,1,Armbar,Ch. Summer Open,82KG,SF,2016
10374,7096,Josh Hinger,,Lucas Valle,W,1,RNC,Ch. Summer Open,82KG,F,2016
10382,7096,Josh Hinger,6836,John Combs,W,1,Armbar,Ch. Summer Open,ABS,4F,2016
10390,7096,Josh Hinger,,Ben Shaeffer,W,1,Reverse Triangle,Chicago NoGi SO,83KG,SF,2016
10393,7096,Josh Hinger,,Mayko Borges,W,1,Guillotine,Chicago NoGi SO,ABS,SF,2016
10926,7096,Josh Hinger,,Matt Jubera,W,1,Reverse triangle,NoGi Worlds,85KG,4F,2016
10929,7096,Josh Hinger,5423,Matheus Diniz,W,1,Pts: 4x0,NoGi Worlds,85KG,SF,2016
10930,7096,Josh Hinger,7652,C. Negromonte,W,1,Pts: 11x0,NoGi Worlds,85KG,F,2016
10950,7096,Josh Hinger,1003,Diogo Sampaio,W,1,Referee Decision,NoGi Worlds,ABS,R1,2016
10956,7096,Josh Hinger,5842,Mahamed Aly,W,1,Pts: 16x8,NoGi Worlds,ABS,8F,2016
12180,7096,Josh Hinger,,Frederico Almeida,W,1,Kimura f/ triangle,Pan American,82KG,R1,2017
12193,7096,Josh Hinger,6354,Jonathan Satava,W,1,Gogoplata,Pan American,82KG,8F,2017
12321,7096,Josh Hinger,,Douglas Kallin,W,1,Gogoplata,Chicago Sp. Open,82KG,4F,2017
12322,7096,Josh Hinger,,Ross Keeping,W,1,Guillotine,Chicago Sp. Open,82KG,SF,2017
12323,7096,Josh Hinger,390,Abmar Barbosa,W,1,Injury,Chicago Sp. Open,82KG,F,2017
12329,7096,Josh Hinger,,Greg Walker,W,1,Guillotine,Chicago Sp. Open,ABS,4F,2017
12333,7096,Josh Hinger,6432,Yan Lucas,W,1,RNC,Chicago Sp. Open,ABS,F,2017
12339,7096,Josh Hinger,6432,Yan Lucas,W,1,Guillotine,Chicago Sp. NoGi,ABS,SF,2017
12341,7096,Josh Hinger,,John Gutta,W,1,Gogoplata,Chicago Sp. NoGi,ABS,F,2017
12536,7096,Josh Hinger,,Quentin Rosenzweig,W,1,Katagatame,ADCC WC Trials,88KG,8F,2017
12542,7096,Josh Hinger,,David Mitchell,W,1,Pts: 10x0,ADCC WC Trials,88KG,4F,2017
12547,7096,Josh Hinger,,Antonio Zuazo,W,1,Guillotine,ADCC WC Trials,88KG,3RD,2017
12911,7096,Josh Hinger,,Koffi Adzitso,W,1,Arm in guillotine,Grappling N.G.O.,84KG,4F,2017
12912,7096,Josh Hinger,,Obie Simpson,W,1,Arm in guillotine,Grappling N.G.O.,84KG,SF,2017
12913,7096,Josh Hinger,,George Ganssle,W,1,RNC,Grappling N.G.O.,84KG,F,2017
12914,7096,Josh Hinger,,Jacob Hockenbury,W,1,Arm in guillotine,Grappling Open,84KG,RR,2017
12915,7096,Josh Hinger,,Jacob Hockenbury,W,1,Pts: 5x0,Grappling Open,84KG,F,2017
13318,7096,Josh Hinger,,Wellington Peroto,W,1,Katagatame,American NG Nats,91KG,SF,2017
13319,7096,Josh Hinger,3009,Keenan Cornelius,W,1,Pts: 3x0,American NG Nats,91KG,F,2017
13326,7096,Josh Hinger,,Piter Silva,W,1,RNC,American NG Nats,ABS,4F,2017
13329,7096,Josh Hinger,8116,Dante Leon,W,1,RNC,American NG Nats,ABS,SF,2017
13331,7096,Josh Hinger,7831,Diego Ramalho,W,1,Guillotine,American NG Nats,ABS,F,2017
13359,7096,Josh Hinger,,Charles Mcguire,W,1,Brabo choke,American Nats,94KG,4F,2017
13362,7096,Josh Hinger,6156,Tanner Rice,W,1,Guillotine,American Nats,94KG,SF,2017
13373,7096,Josh Hinger,,Marcos Campos,W,1,Gogoplata,American Nats,ABS,R1,2017
13377,7096,Josh Hinger,,Scott Thometz,W,1,Guillotine,American Nats,ABS,4F,2017
13378,7096,Josh Hinger,4460,Jaime Canuto,W,1,Pts: 4x2,American Nats,ABS,SF,2017
13487,7096,Josh Hinger,,Jose Portillo,W,1,Gogoplata,Austin Open,94KG,SF,2017
13488,7096,Josh Hinger,5636,Manuel Ribamar,W,1,Armbar,Austin Open,94KG,F,2017
13592,7096,Josh Hinger,7399,Horlando Monteiro,W,1,"Pts: 2x2, Adv",Seattle Open,88KG,F,2017
