match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
67,720,Jorge Patino,12,Nino Schembri,L,0,Triangle,Brasileiro,82KG,F,1995
392,720,Jorge Patino,550,Roberto Roleta,L,0,Pts: 6x0,World Champ.,88KG,4F,2000
438,720,Jorge Patino,591,Ricardo Liborio,L,0,Injury,ADCC,88KG,SF,2000
467,720,Jorge Patino,12,Nino Schembri,L,0,kneebar,Rickson Cup,ABS,GP,2000
1189,720,Jorge Patino,481,Saulo Ribeiro,L,0,Pts: 10x0,ADCC,88KG,4F,2005
1548,720,Jorge Patino,601,Roberto Godoi,L,0,Pts: 4x0,Paulista FPJJ,100KG,F,2007
11362,720,Jorge Patino,5926,Thiago Gaia,L,0,Pts: 3x0,Gold Team Open,ABS,F,2016
431,720,Jorge Patino,,Karl Webber,W,1,Pts: 15x0,ADCC,88KG,R1,2000
435,720,Jorge Patino,,Egan Inoe,W,1,Pts: 6x0,ADCC,88KG,4F,2000
471,720,Jorge Patino,1152,Eduardo Jamelao,W,1,Pts: 9x2,Rickson Cup,ABS,GP,2000
970,720,Jorge Patino,601,Roberto Godoi,W,1,Referee Decision,BB Challenge 3,88KG,SPF,2004
1116,720,Jorge Patino,,Craig Kohl,W,1,Armbar,Copa Pacifica,ABS,SPF,2004
1186,720,Jorge Patino,,Take Hanai,W,1,Pts: 14x0,ADCC,88KG,R1,2005
3419,720,Jorge Patino,,Edwin Lipsey,W,1,Triangle,UFC Expo,ABS,SPF,2011
