match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
6566,7321,Darragh OConnaill,9587,Eduardo Rios,L,0,Cross choke,European,82KG,R1,2015
6730,7321,Darragh OConnaill,4248,Gianni Grippo,L,0,Points,SF Open,ABS,4F,2015
6735,7321,Darragh OConnaill,7096,Josh Hinger,L,0,Triangle,SF Open,82KG,4F,2015
7038,7321,Darragh OConnaill,289,Alan Finfou,L,0,Points,Rome Open,88KG,F,2015
7115,7321,Darragh OConnaill,2235,Renato Cardoso,L,0,Wristlock,World Pro,85KG,R1,2015
7370,7321,Darragh OConnaill,7096,Josh Hinger,L,0,EBI/OT,EBI 3,77KG,SF,2015
7453,7321,Darragh OConnaill,7082,Luca Anacoreta,L,0,Points,World Champ.,82KG,R1,2015
7627,7321,Darragh OConnaill,6156,Tanner Rice,L,0,Points,American Nat.,82KG,F,2015
7725,7321,Darragh OConnaill,,Jake McKenzie,L,0,Points,Rio Winter Open,82KG,R1,2015
7743,7321,Darragh OConnaill,7652,C. Negromonte,L,0,Pts: 12x0,London Open,82KG,F,2015
8824,7321,Darragh OConnaill,7652,C. Negromonte,L,0,Points,London FO,82KG,F,2015
8944,7321,Darragh OConnaill,7652,C. Negromonte,L,0,Pts: 15x0,European Open,82KG,R2,2016
9294,7321,Darragh OConnaill,5347,Yago Souza,L,0,Pts: 11x0,Pan American,82KG,8F,2016
9408,7321,Darragh OConnaill,6354,Jonathan Satava,D,0.5,---,Polaris 3,82KG,SPF,2016
9999,7321,Darragh OConnaill,875,Lucas Leite,L,0,Pts: 9x2,World Champ.,82KG,R2,2016
10635,7321,Darragh OConnaill,,P. Tepponen,L,0,Pts: 4x0,NoGi Finnish Open,ABS,SF,2016
10742,7321,Darragh OConnaill,,Magomedov,L,0,Points,ADCC EU Trials,77KG,4F,2016
12016,7321,Darragh OConnaill,8346,Craig Jones,L,0,Kneebar,EBI 11,77KG,4F,2017
12354,7321,Darragh OConnaill,7552,Isaque Bahiense,L,0,"Pts: 0x0, Adv",European NoGi,79KG,F,2017
12979,7321,Darragh OConnaill,11707,Oliver Taza,L,0,Inside heel hook,ADCC EU Trials,77KG,F,2017
13281,7321,Darragh OConnaill,9261,Ross Nicholls,L,0,Pts: 4x2,British NoGi Nats,79KG,F,2017
14154,7321,Darragh OConnaill,3200,Jackson Sousa,L,0,Pts: 2x0,London FNGO,ABS,SF,2017
16544,7321,Darragh OConnaill,410,Claudio Calasans,L,0,Choke,World Champ.,82KG,8F,2018
17764,7321,Darragh OConnaill,,Jan Stach,L,0,Submission,ADCC EU Trials,77KG,8F,2018
18634,7321,Darragh OConnaill,4460,Jaime Canuto,L,0,"Pts: 0x0, Adv",NoGi Worlds,79KG,R2,2018
18911,7321,Darragh OConnaill,4465,Andris Brunovskis,L,0,N/A,European Open,82KG,4F,2019
18949,7321,Darragh OConnaill,7399,Horlando Monteiro,L,0,Pts: 4x2,European Open,ABS,R2,2019
19202,7321,Darragh OConnaill,6432,Yan Lucas,L,0,"Pts: 0x0, Adv",Copa Podio,77KG,RR,2019
19205,7321,Darragh OConnaill,9121,Ygor Rodrigues,L,0,"Pts: 0x0, Adv",Copa Podio,77KG,RR,2019
19206,7321,Darragh OConnaill,12654,Tarik Hopstock,L,0,Tarikoplata,Copa Podio,77KG,RR,2019
19208,7321,Darragh OConnaill,6596,Jhonny Loureiro,L,0,Pts: 2x0,Copa Podio,77KG,RR,2019
19542,7321,Darragh OConnaill,8427,Michael Perez,L,0,Referee Decision,Polaris 9,85KG,SPF,2019
19606,7321,Darragh OConnaill,8477,Igor Paiva,L,0,Referee Decision,Pan American,82KG,R1,2019
20103,7321,Darragh OConnaill,,Oliver Lovell,L,0,"Pts: 0x0, Adv",World Pro,77KG,4F,2019
