match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
11610,7399,Horlando Monteiro,1895,Rodrigo Fajardo,L,0,Pts: 2x0,European Open,88KG,F,2017
12215,7399,Horlando Monteiro,,Roberto Frias,L,0,"Pts: 0x0, Adv",Pan American,88KG,8F,2017
12394,7399,Horlando Monteiro,7831,Diego Ramalho,L,0,Pts: 6x4,NY Spring Open,88KG,SF,2017
12408,7399,Horlando Monteiro,4235,Victor Silverio,L,0,Referee Decision,NY Spring Open,ABS,F,2017
12801,7399,Horlando Monteiro,2235,Renato Cardoso,L,0,Points,Brasileiro,88KG,SF,2017
12962,7399,Horlando Monteiro,5655,Lucas Barbosa,L,0,Pts: 2x0,San Diego Open,88KG,SF,2017
13171,7399,Horlando Monteiro,2416,Felipe Pena,L,0,Bow and arrow,World Champ.,88KG,8F,2017
13592,7399,Horlando Monteiro,7096,Josh Hinger,L,0,"Pts: 2x2, Adv",Seattle Open,88KG,F,2017
13596,7399,Horlando Monteiro,3009,Keenan Cornelius,L,0,Choke from back,Seattle Open,ABS,SF,2017
14216,7399,Horlando Monteiro,224,Roberto Abreu,L,0,Choke from back,Miami FO,ABS,SF,2017
14876,7399,Horlando Monteiro,3200,Jackson Sousa,L,0,Pts: 5x4,European Open,ABS,8F,2018
15428,7399,Horlando Monteiro,8357,Gustavo Batista,L,0,"Pts: 0x0, Adv",Pan American,88KG,4F,2018
15610,7399,Horlando Monteiro,8195,Gutemberg Pereira,L,0,Choke from back,Chicago Sp. Open,ABS,F,2018
16269,7399,Horlando Monteiro,8100,Rudson Mateus,L,0,RNC,Brasileiro,88KG,F,2018
16570,7399,Horlando Monteiro,8357,Gustavo Batista,L,0,Referee Decision,World Champ.,88KG,4F,2018
16868,7399,Horlando Monteiro,484,Murilo Santana,L,0,Choke from back,NY BJJ Pro,94KG,SF,2018
18924,7399,Horlando Monteiro,8100,Rudson Mateus,L,0,Armbar,European Open,88KG,SF,2019
18957,7399,Horlando Monteiro,8974,Kaynan Duarte,L,0,Pts: 4x0,European Open,ABS,4F,2019
19772,7399,Horlando Monteiro,8357,Gustavo Batista,L,0,Referee Decision,F2W 107,85KG,SPF,2019
20329,7399,Horlando Monteiro,4960,Dimitrius Souza,L,0,Choke from back,Brasileiro,94KG,SF,2019
20375,7399,Horlando Monteiro,9741,Pedro Elias,L,0,Armlock,Brasileiro,ABS,R3,2019
20881,7399,Horlando Monteiro,,Alvaro Fontes,L,0,Adv,Fortaleza Open,94KG,SF,2019
21017,7399,Horlando Monteiro,6825,Fernando Reis,L,0,Pts: 2x0,SP BJJ Pro,94KG,4F,2019
22403,7399,Horlando Monteiro,10240,Jake Watson,L,0,Pts: 12x8,Long Beach Open,94KG,F,2019
22411,7399,Horlando Monteiro,10162,Ronaldo Junior,L,0,Armbar,Long Beach Open,ABS,SF,2019
24205,7399,Horlando Monteiro,9321,Dominique Bell,L,0,Armbar,Pan American,94KG,SF,2020
42375,7399,Horlando Monteiro,10159,Victor Hugo,L,0,Arm in Ezekiel,IBJJF GP,ABS,4F,2023
11192,7399,Horlando Monteiro,,Karim Khalifa,W,1,Triangle,Paris Open,88KG,4F,2016
11194,7399,Horlando Monteiro,7082,Luca Anacoreta,W,1,Pts: 2x0,Paris Open,88KG,SF,2016
11195,7399,Horlando Monteiro,4145,Thiago Sa,W,1,Armbar,Paris Open,88KG,F,2016
