match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
11534,7405,Eduardo Barboza,1919,Koji Shibamoto,L,0,Pts: 4x2,European Open,58KG,4F,2017
12113,7405,Eduardo Barboza,283,Bruno Malfacine,L,0,Bow and Arrow,Pan American,58KG,SF,2017
13554,7405,Eduardo Barboza,,Douglas Rufino,L,0,Adv,Vitoria Open,64KG,SF,2017
14005,7405,Eduardo Barboza,2997,Joao Miyao,L,0,RNC,No Gi Pan Am.,61KG,F,2017
15362,7405,Eduardo Barboza,,David Herrera,L,0,Referee Decision,Pan American,58KG,4F,2018
16431,7405,Eduardo Barboza,8038,Hiago Gama,L,0,Short choke,World Champ.,57KG,R1,2018
26084,7405,Eduardo Barboza,10357,Richard Alarcon,L,0,Pts: 2x0,NoGi Pan Am.,61KG,4F,2021
27533,7405,Eduardo Barboza,11889,Keven Carrasco,L,0,Choke,Pan American,64KG,8F,2021
28207,7405,Eduardo Barboza,,Antione Gibson,L,0,Outside heel hook,NoGi Worlds,61KG,R1,2021
11530,7405,Eduardo Barboza,,Roulien Moreira,W,1,Adv,European Open,58KG,8F,2017
11850,7405,Eduardo Barboza,,Javier Gomez,W,1,Referee Decision,Houston Open,64KG,SF,2017
12112,7405,Eduardo Barboza,7476,Kristian Woodmansee,W,1,Pts: 2x0,Pan American,58KG,4F,2017
13552,7405,Eduardo Barboza,,Frank Bispo,W,1,Pts: 8x0,Vitoria Open,64KG,4F,2017
14002,7405,Eduardo Barboza,1774,Mark Ramos,W,1,Toe hold,No Gi Pan Am.,61KG,4F,2017
14003,7405,Eduardo Barboza,,R. Costa,W,1,"Pts: 0x0, Pen",No Gi Pan Am.,61KG,SF,2017
15766,7405,Eduardo Barboza,7476,Kristian Woodmansee,W,1,Referee Decision,Washington SPO,57KG,F,2018
15956,7405,Eduardo Barboza,,Jimmy Santiago,W,1,N/A,NY Spring Open,57KG,SF,2018
15958,7405,Eduardo Barboza,7476,Kristian Woodmansee,W,1,Injury,NY Spring Open,57KG,F,2018
17050,7405,Eduardo Barboza,,Joseph Conery,W,1,Omoplata armlock,Boston SMO,64KG,F,2018
26078,7405,Eduardo Barboza,,Reylando Leon,W,1,"Pts: 2x2, Adv",NoGi Pan Am.,61KG,R1,2021
