match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
12112,7476,Kristian Woodmansee,7405,Eduardo Barboza,L,0,Pts: 2x0,Pan American,58KG,4F,2017
13284,7476,Kristian Woodmansee,582,Caio Terra,L,0,Armbar,F2W 38,57KG,SPF,2017
14644,7476,Kristian Woodmansee,,Jimmy Santiago,L,0,Japanese necktie,NoGi Worlds,55KG,4F,2017
15766,7476,Kristian Woodmansee,7405,Eduardo Barboza,L,0,Referee Decision,Washington SPO,57KG,F,2018
15781,7476,Kristian Woodmansee,,Gregory Scott,L,0,Points,Washington SPO,ABS,R1,2018
15958,7476,Kristian Woodmansee,7405,Eduardo Barboza,L,0,Injury,NY Spring Open,57KG,F,2018
17992,7476,Kristian Woodmansee,1023,Baret Yoshida,L,0,Anaconda choke,F2W 90,60KG,SPF,2018
18386,7476,Kristian Woodmansee,,Andres Poveda,L,0,Choke,NY Fall Open,57KG,F,2018
18528,7476,Kristian Woodmansee,7082,Luca Anacoreta,L,0,Choke from back,Dublin Open,ABS,SF,2018
18570,7476,Kristian Woodmansee,9044,Livio Ribeiro,L,0,"Pts: 0x0, Adv",NoGi Worlds,55KG,SF,2018
19553,7476,Kristian Woodmansee,9044,Livio Ribeiro,L,0,Choke,Pan American,57KG,8F,2019
22829,7476,Kristian Woodmansee,,Marko Tapani,L,0,DQ,NoGi Worlds,55KG,4F,2019
23058,7476,Kristian Woodmansee,10099,Thalison Soares,L,0,Choke from back,European Open,57KG,R1,2020
23421,7476,Kristian Woodmansee,,Ron Henderson,L,0,Referee Decision,F2W 136,57KG,SPF,2020
13401,7476,Kristian Woodmansee,,Joshua Peters,W,1,Armbar,F2W 40,57KG,SPF,2017
13551,7476,Kristian Woodmansee,,Chris Noon,W,1,Toe hold,F2W 43,N/A,SPF,2017
15957,7476,Kristian Woodmansee,,Christopher Michael,W,1,Toe hold,NY Spring Open,57KG,SF,2018
17407,7476,Kristian Woodmansee,,Chris Noonan,W,1,Short choke,No Gi Pan Am.,55KG,F,2018
18385,7476,Kristian Woodmansee,,Lee Rosenfeld,W,1,Triangle,NY Fall Open,57KG,SF,2018
18527,7476,Kristian Woodmansee,,Gabriel Rosenberg,W,1,Adv,Dublin Open,ABS,4F,2018
19169,7476,Kristian Woodmansee,,Dustin Ordinario,W,1,Pts: 9x2,Atlanta WO,57KG,F,2019
22030,7476,Kristian Woodmansee,,Dustin Ordinario,W,1,Referee Decision,F2W 128,57KG,SPF,2019
