match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
11339,7478,Ademir Barreto,7543,Nelton Pontes,L,0,Referee Decision,Spain Nat. Pro,ABS,F,2016
11471,7478,Ademir Barreto,84,Alexandre Ribeiro,L,0,"Pts: 0x0, Adv",Grand Slam AD,94KG,F,2017
11623,7478,Ademir Barreto,6156,Tanner Rice,L,0,Referee Decision,European Open,94KG,SF,2017
12074,7478,Ademir Barreto,84,Alexandre Ribeiro,L,0,Choke from back,Grand Slam LDN,94KG,F,2017
12361,7478,Ademir Barreto,919,Pablo Popovitch,L,0,Referee Decision,European NoGi,92KG,SF,2017
12683,7478,Ademir Barreto,2416,Felipe Pena,L,0,Choke from back,World Pro,94KG,F,2017
12902,7478,Ademir Barreto,2416,Felipe Pena,L,0,Points,ACBJJ 5,95KG,SF,2017
13194,7478,Ademir Barreto,4960,Dimitrius Souza,L,0,Pts: 6x4,World Champ.,94KG,4F,2017
13399,7478,Ademir Barreto,1848,Marcos Souza,L,0,Pts: 2x0,Grand Slam TYO,94KG,F,2017
13833,7478,Ademir Barreto,5655,Lucas Barbosa,L,0,"Pts: 0x0, Adv",Grand Slam LA,94KG,F,2017
13994,7478,Ademir Barreto,,Raphael Souza,L,0,Choke from back,Copenhagen Open,ABS,F,2017
14378,7478,Ademir Barreto,5417,Guilherme Augusto,L,0,"Pts: 0x0, Adv",Grand Slam RJ,94KG,4F,2017
14383,7478,Ademir Barreto,84,Alexandre Ribeiro,L,0,Pts: 2x0,Grand Slam RJ,94KG,RPC,2017
14847,7478,Ademir Barreto,7704,Helton Jose,L,0,Referee Decision,Grand Slam AD,94KG,F,2018
14950,7478,Ademir Barreto,3009,Keenan Cornelius,L,0,Armbar,European Open,94KG,SF,2018
15227,7478,Ademir Barreto,2226,DJ Jackson,L,0,"Pts: 0x0, Adv",Spain Nat. Pro,94KG,F,2018
15248,7478,Ademir Barreto,4460,Jaime Canuto,L,0,"Pts: 2x2, Adv",Swiss Nat. Pro,ABS,F,2018
15528,7478,Ademir Barreto,,Paulo Pinto,L,0,"Pts: 0x0, Adv",Grand Slam LDN,94KG,SF,2018
15862,7478,Ademir Barreto,2416,Felipe Pena,L,0,Bow and arrow,ACBJJ 12,95KG,SPF,2018
16181,7478,Ademir Barreto,2416,Felipe Pena,L,0,Pts: 4x0,World Pro,94KG,F,2018
16576,7478,Ademir Barreto,2416,Felipe Pena,L,0,Pts: 6x0,World Champ.,94KG,8F,2018
17501,7478,Ademir Barreto,6825,Fernando Reis,L,0,Pts: 2x0,Sao Paulo Open,ABS,4F,2018
17598,7478,Ademir Barreto,8357,Gustavo Batista,L,0,Referee Decision,Grand Slam LA,94KG,SF,2018
17644,7478,Ademir Barreto,1534,R. Evangelista,L,0,"Pts: 0x0, Adv",King of Mats,110KG,RR,2018
18317,7478,Ademir Barreto,8974,Kaynan Duarte,L,0,Pts: 2x0,Grand Slam RJ,94KG,SF,2018
18928,7478,Ademir Barreto,8357,Gustavo Batista,L,0,Pts: 3x0,European Open,94KG,SF,2019
19456,7478,Ademir Barreto,8974,Kaynan Duarte,L,0,Toe hold,Grand Slam LDN,94KG,F,2019
19655,7478,Ademir Barreto,8974,Kaynan Duarte,L,0,"Pts: 2x2, Adv",Pan American,94KG,F,2019
20138,7478,Ademir Barreto,8974,Kaynan Duarte,L,0,Kneebar,World Pro,94KG,F,2019
20689,7478,Ademir Barreto,8974,Kaynan Duarte,L,0,Armbar,World Champ.,94KG,4F,2019
20748,7478,Ademir Barreto,8100,Rudson Mateus,L,0,Pts: 2x0,King of Mats,110KG,RR,2019
20756,7478,Ademir Barreto,10103,Jonnatas Gracie,L,0,Pts: 2x0,King of Mats,110KG,RR,2019
21057,7478,Ademir Barreto,7704,Helton Jose,L,0,"Pts: 0x0, Adv",ACB World Champ.,95KG,F,2019
21850,7478,Ademir Barreto,7096,Josh Hinger,L,0,Arm in guillotine,ADCC,88KG,4F,2019
22195,7478,Ademir Barreto,10644,Marcelo Gomide,L,0,Pts: 6x2,European NoGi,ABS,4F,2019
22344,7478,Ademir Barreto,10741,Luan Azevedo,L,0,"Pts: 0x0, Adv",Grand Slam RJ,94KG,F,2019
22696,7478,Ademir Barreto,8346,Craig Jones,L,0,Reverse triangle,GrappleFest 7,100KG,SPF,2019
23142,7478,Ademir Barreto,3009,Keenan Cornelius,L,0,"Pts: 4x4, Adv",European Open,94KG,F,2020
23529,7478,Ademir Barreto,10588,Jon Blank,L,0,Inside heel hook,Grapplefest 8,90KG,SPF,2020
27626,7478,Ademir Barreto,8357,Gustavo Batista,L,0,"Pts: 0x0, Adv",Pan American,94KG,F,2021
28197,7478,Ademir Barreto,11991,Pedro Marinho,L,0,Pts: 5x0,NoGi Worlds,ABS,SF,2021
28317,7478,Ademir Barreto,11991,Pedro Marinho,L,0,Pts: 6x0,NoGi Worlds,91KG,SF,2021
29236,7478,Ademir Barreto,11693,Erich Munis,L,0,Pts: 4x2,World Pro,94KG,F,2021
29297,7478,Ademir Barreto,576,Rafael Lovato,L,0,Referee Decision,Raw GC,ABS,SPF,2021
29556,7478,Ademir Barreto,10741,Luan Azevedo,L,0,"Pts: 0x0, Adv",World Champ.,94KG,R1,2021
30647,7478,Ademir Barreto,12055,Yatan Bueno,L,0,Pts: 9x0,European Open,ABS,SF,2022
31142,7478,Ademir Barreto,11111,Santeri Lilius,L,0,Pts: 4x4,Grand Slam LDN,94KG,4F,2022
31591,7478,Ademir Barreto,11499,Roosevelt Sousa,L,0,Botinha,Pan American,ABS,R2,2022
31707,7478,Ademir Barreto,5423,Matheus Diniz,L,0,Pts: 3x0,Pan American,94KG,4F,2022
