match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
12108,7507,Nicholas Meregali,1188,Leandro Lo,L,0,Pts: 3x0,Pan American,ABS,SF,2017
12231,7507,Nicholas Meregali,1188,Leandro Lo,L,0,Pts: 2x0,Pan American,94KG,4F,2017
13032,7507,Nicholas Meregali,2403,Joao Rocha,L,0,Pts: 3x2,World Champ.,ABS,8F,2017
16306,7507,Nicholas Meregali,5509,Victor Honorio,L,0,Pts: 5x2,Brasileiro,ABS,SF,2018
16595,7507,Nicholas Meregali,5842,Mahamed Aly,L,0,Pts: 5x0,World Champ.,100KG,SF,2018
16634,7507,Nicholas Meregali,984,Marcus Almeida,L,0,Pts: 5x2,World Champ.,ABS,SF,2018
16741,7507,Nicholas Meregali,2403,Joao Rocha,L,0,Points,ACBJJ 14,O95KG,SPF,2018
17817,7507,Nicholas Meregali,8974,Kaynan Duarte,L,0,Referee Decision,WSOG 2,O81KG,8F,2018
20737,7507,Nicholas Meregali,3009,Keenan Cornelius,L,0,Pts: 2x0,World Champ.,ABS,4F,2019
22662,7507,Nicholas Meregali,8974,Kaynan Duarte,L,0,Referee Decision,Spyder Invitational,100KG,F,2019
23291,7507,Nicholas Meregali,10159,Victor Hugo,L,0,Pts: 2x0,Whos N1,ABS,SPF,2020
25089,7507,Nicholas Meregali,8195,Gutemberg Pereira,L,0,"Pts: 0x0, Adv",BJJ Stars 5,96KG,4F,2021
33008,7507,Nicholas Meregali,11693,Erich Munis,L,0,Pts: 6x4,World Champ.,100KG,F,2022
35061,7507,Nicholas Meregali,8346,Craig Jones,L,0,Referee Decision,ADCC,99KG,SF,2022
35108,7507,Nicholas Meregali,1740,Yuri Simoes,L,0,"Pts: 0x0, Pen",ADCC,ABS,F,2022
11818,7507,Nicholas Meregali,,Maik Matos,W,1,Triangle,Manaus Nat. Pro,94KG,R1,2017
11820,7507,Nicholas Meregali,,Tyron Gonzalves,W,1,Choke from back,Manaus Nat. Pro,94KG,4F,2017
11822,7507,Nicholas Meregali,,Marcus Reis,W,1,Choke from back,Manaus Nat. Pro,94KG,SF,2017
11823,7507,Nicholas Meregali,84,Alexandre Ribeiro,W,1,Adv,Manaus Nat. Pro,94KG,F,2017
12100,7507,Nicholas Meregali,,Otavio Nalati,W,1,Loop choke,Pan American,ABS,8F,2017
12106,7507,Nicholas Meregali,5842,Mahamed Aly,W,1,Choke from back,Pan American,ABS,4F,2017
13022,7507,Nicholas Meregali,6337,Arnaldo Maidana,W,1,Pts: 10x0,World Champ.,ABS,R1,2017
13186,7507,Nicholas Meregali,7704,Helton Jose,W,1,Triangle,World Champ.,94KG,8F,2017
13193,7507,Nicholas Meregali,875,Lucas Leite,W,1,Choke from back,World Champ.,94KG,4F,2017
13197,7507,Nicholas Meregali,4960,Dimitrius Souza,W,1,Triangle,World Champ.,94KG,SF,2017
13199,7507,Nicholas Meregali,1188,Leandro Lo,W,1,Pts: 2x0,World Champ.,94KG,F,2017
16280,7507,Nicholas Meregali,,Eduardo Sarkissi,W,1,Armbar,Brasileiro,100KG,R1,2018
16283,7507,Nicholas Meregali,,Rafael Silva,W,1,Choke from back,Brasileiro,100KG,4F,2018
16285,7507,Nicholas Meregali,8762,Rodrigo Ribeiro,W,1,Choke from back,Brasileiro,100KG,SF,2018
16286,7507,Nicholas Meregali,6631,Igor Schneider,W,1,Arm in Ezekiel,Brasileiro,100KG,F,2018
16297,7507,Nicholas Meregali,,Raphael Braga,W,1,Katagatame,Brasileiro,ABS,R1,2018
16300,7507,Nicholas Meregali,,Jonas Campos,W,1,Armbar,Brasileiro,ABS,8F,2018
16303,7507,Nicholas Meregali,8514,Fellipe Andrew,W,1,Armbar,Brasileiro,ABS,4F,2018
16593,7507,Nicholas Meregali,6631,Igor Schneider,W,1,Triangle,World Champ.,100KG,4F,2018
16610,7507,Nicholas Meregali,,Pedro Palhares,W,1,Choke from back,World Champ.,ABS,RD,2018
16629,7507,Nicholas Meregali,1534,R. Evangelista,W,1,Kimura,World Champ.,ABS,8F,2018
16630,7507,Nicholas Meregali,2416,Felipe Pena,W,1,Arm in Ezekiel,World Champ.,ABS,4F,2018
19328,7507,Nicholas Meregali,1188,Leandro Lo,W,1,Pts: 4x0,BJJ Stars,100KG,SPF,2019
20333,7507,Nicholas Meregali,,Paulo Dantas,W,1,Kimura,Brasileiro,100KG,R1,2019
20340,7507,Nicholas Meregali,,Hugo Leonardo,W,1,Submission,Brasileiro,100KG,4F,2019
20344,7507,Nicholas Meregali,,Rodrigo Rodrigues,W,1,"Pts: 0x0, Adv",Brasileiro,100KG,SF,2019
20345,7507,Nicholas Meregali,8514,Fellipe Andrew,W,1,Choke from back,Brasileiro,100KG,F,2019
20364,7507,Nicholas Meregali,,Henrique Riedlinger,W,1,Choke from back,Brasileiro,ABS,R2,2019
20377,7507,Nicholas Meregali,,Agnaldo Silveira,W,1,Choke from back,Brasileiro,ABS,R3,2019
20379,7507,Nicholas Meregali,9741,Pedro Elias,W,1,Choke from back,Brasileiro,ABS,4F,2019
20382,7507,Nicholas Meregali,8974,Kaynan Duarte,W,1,Choke from back,Brasileiro,ABS,SF,2019
20383,7507,Nicholas Meregali,8100,Rudson Mateus,W,1,DQ,Brasileiro,ABS,F,2019
20699,7507,Nicholas Meregali,,Roberto Torralbas,W,1,Triangle,World Champ.,100KG,R1,2019
20704,7507,Nicholas Meregali,7704,Helton Jose,W,1,Pts: 2x0,World Champ.,100KG,4F,2019
20707,7507,Nicholas Meregali,3122,Luiz Panza,W,1,Triangle armbar,World Champ.,100KG,SF,2019
20709,7507,Nicholas Meregali,5842,Mahamed Aly,W,1,Choke from back,World Champ.,100KG,F,2019
20729,7507,Nicholas Meregali,6156,Tanner Rice,W,1,Armbar,World Champ.,ABS,R2,2019
20866,7507,Nicholas Meregali,224,Roberto Abreu,W,1,Loop choke,Third Coast,100KG,SPF,2019
22021,7507,Nicholas Meregali,10159,Victor Hugo,W,1,Pts: 6x2,BJJ Stars,ABS,4F,2019
22025,7507,Nicholas Meregali,5655,Lucas Barbosa,W,1,Pts: 9x0,BJJ Stars,ABS,SF,2019
22027,7507,Nicholas Meregali,8357,Gustavo Batista,W,1,Kimura,BJJ Stars,ABS,F,2019
22656,7507,Nicholas Meregali,4310,Tim Spriggs,W,1,Choke from back,Spyder Invitational,100KG,4F,2019
22660,7507,Nicholas Meregali,4521,Erberth Santos,W,1,Verbal tap,Spyder Invitational,100KG,SF,2019
23925,7507,Nicholas Meregali,1188,Leandro Lo,D,0.5,---,BJJ Bet,ABS,SPF,2020
27087,7507,Nicholas Meregali,11064,Rider Zuchi,W,1,Pts: 2x0,BJJ Bet,98KG,SPF,2021
29433,7507,Nicholas Meregali,,Marlon Tanaka,W,1,Triangle,World Champ.,ABS,8F,2021
29437,7507,Nicholas Meregali,10159,Victor Hugo,W,1,"Pts: 2x2, Adv",World Champ.,ABS,4F,2021
29442,7507,Nicholas Meregali,8974,Kaynan Duarte,W,1,Referee Decision,World Champ.,ABS,SF,2021
29588,7507,Nicholas Meregali,,Robert Abreu,W,1,Loop choke,World Champ.,O100KG,4F,2021
29591,7507,Nicholas Meregali,10159,Victor Hugo,W,1,"Pts: 0x0, Adv",World Champ.,O100KG,SF,2021
31295,7507,Nicholas Meregali,6337,Arnaldo Maidana,W,1,Armbar,WNO 12,O92KG,SPF,2022
32196,7507,Nicholas Meregali,,Marcos Carrozzino,W,1,Choke from back,Brasileiro,100KG,4F,2022
32199,7507,Nicholas Meregali,10130,Marcus Ribeiro,W,1,Loop choke,Brasileiro,100KG,SF,2022
32201,7507,Nicholas Meregali,8514,Fellipe Andrew,W,1,Choke from back,Brasileiro,100KG,F,2022
32996,7507,Nicholas Meregali,,Davi Souza,W,1,Armbar,World Champ.,100KG,8F,2022
33003,7507,Nicholas Meregali,7704,Helton Jose,W,1,Choke from back,World Champ.,100KG,4F,2022
33006,7507,Nicholas Meregali,8514,Fellipe Andrew,W,1,Choke from back,World Champ.,100KG,SF,2022
33030,7507,Nicholas Meregali,9515,Seif Houmine,W,1,Loop choke,World Champ.,ABS,8F,2022
33037,7507,Nicholas Meregali,11709,Wallace Costa,W,1,Loop choke,World Champ.,ABS,4F,2022
33040,7507,Nicholas Meregali,8514,Fellipe Andrew,W,1,Armbar,World Champ.,ABS,SF,2022
