match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
11885,7539,Renato Forasieppi Canuto,,Espen M.,L,0,"Pts: 2x2, Adv",Copa Podio,77KG,RR,2017
11893,7539,Renato Forasieppi Canuto,,Pedro Paquito,D,0.5,---,Copa Podio,77KG,RR,2017
11896,7539,Renato Forasieppi Canuto,6253,Diego Borges,L,0,Pts: 4x2,Copa Podio,77KG,RR,2017
11900,7539,Renato Forasieppi Canuto,,H. Marques,L,0,"Pts: 0x0, Adv",Copa Podio,77KG,RR,2017
12175,7539,Renato Forasieppi Canuto,4163,Marcio Andre,L,0,Pts: 6x4,Pan American,76KG,SF,2017
12835,7539,Renato Forasieppi Canuto,7552,Isaque Bahiense,L,0,Pts: 4x0,Marianas,82KG,SF,2017
13118,7539,Renato Forasieppi Canuto,1014,Jake Mackenzie,L,0,Pts: 9x2,World Champ.,76KG,8F,2017
14880,7539,Renato Forasieppi Canuto,8105,Tommy Langaker,L,0,Triangle armbar,European Open,ABS,4F,2018
14917,7539,Renato Forasieppi Canuto,7645,Masahiro Iwasaki,L,0,Pts: 2x0,European Open,76KG,4F,2018
15868,7539,Renato Forasieppi Canuto,7442,Eddie Cummings,L,0,Referee Decision,Kasai Pro 2,72KG,SPF,2018
16017,7539,Renato Forasieppi Canuto,7552,Isaque Bahiense,L,0,Pts: 2x0,Marianas Open,81KG,F,2018
16058,7539,Renato Forasieppi Canuto,7652,C. Negromonte,L,0,Referee Decision,King of Mats,85KG,SF,2018
16086,7539,Renato Forasieppi Canuto,8357,Gustavo Batista,L,0,Referee Decision,WP Br Qualifier,85KG,SF,2018
16516,7539,Renato Forasieppi Canuto,358,Lucas Lepri,L,0,Pts: 4x0,World Champ.,76KG,F,2018
19604,7539,Renato Forasieppi Canuto,9014,Levi Jones,L,0,Pts: 6x4,Pan American,76KG,F,2019
20631,7539,Renato Forasieppi Canuto,8516,Lucas Valente,L,0,"Pts: 0x0, Adv",World Champ.,76KG,SF,2019
21861,7539,Renato Forasieppi Canuto,5649,Garry Tonon,L,0,"Pts: 0x0, Pen",ADCC,77KG,4F,2019
23208,7539,Renato Forasieppi Canuto,8116,Dante Leon,L,0,Pts: 5x4,Kasai Pro 7,77KG,SPF,2020
23867,7539,Renato Forasieppi Canuto,12003,Tye Ruotolo,L,0,Referee Decision,Kumite V,81KG,SF,2020
24165,7539,Renato Forasieppi Canuto,4655,Michael Liera,L,0,Pts: 2x0,Pan American,76KG,SF,2020
25419,7539,Renato Forasieppi Canuto,10506,Jeferson Guaresi,L,0,Pts: 4x2,Orlando Open,82KG,SF,2021
