match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
11517,7552,Isaque Bahiense,1188,Leandro Lo,L,0,Pts: 11x2,European Open,ABS,4F,2017
11592,7552,Isaque Bahiense,6351,Alec Baulding,L,0,Choke from back,European Open,82KG,SF,2017
12205,7552,Isaque Bahiense,2107,Otavio Sousa,L,0,Flying triangle,Pan American,82KG,F,2017
12314,7552,Isaque Bahiense,7478,Adam Wardzinski,L,0,Choke from back,Rome Open,ABS,F,2017
12652,7552,Isaque Bahiense,6071,Gabriel Arges,L,0,"Pts: 4x4, Adv",World Pro,77KG,SF,2017
12845,7552,Isaque Bahiense,2416,Felipe Pena,L,0,Darce choke,Marianas,ABS,SPF,2017
13150,7552,Isaque Bahiense,4460,Jaime Canuto,L,0,Pts: 4x2,World Champ.,82KG,4F,2017
13673,7552,Isaque Bahiense,7096,Josh Hinger,L,0,Darce choke,ACBJJ 7,85KG,4F,2017
14841,7552,Isaque Bahiense,7652,C. Negromonte,L,0,Referee Decision,Grand Slam AD,85KG,F,2018
17806,7552,Isaque Bahiense,4235,Victor Silverio,L,0,Referee Decision,WSOG 2,81KG,4F,2018
18862,7552,Isaque Bahiense,6071,Gabriel Arges,L,0,Pts: 6x2,King of Mats II,85KG,F,2019
19762,7552,Isaque Bahiense,,T. Vicente,L,0,Inside heel hook,ADCC SP Trials,88KG,4F,2019
20658,7552,Isaque Bahiense,6071,Gabriel Arges,L,0,"Pts: 2x2, Adv",World Champ.,82KG,F,2019
21630,7552,Isaque Bahiense,5636,Manuel Ribamar,L,0,Referee Decision,King Of Mats,85KG,RR,2019
21639,7552,Isaque Bahiense,8357,Gustavo Batista,L,0,Pts: 2x0,King Of Mats,85KG,F,2019
22218,7552,Isaque Bahiense,8116,Dante Leon,L,0,Guillotine,F2W 129,81KG,SPF,2019
24419,7552,Isaque Bahiense,1188,Leandro Lo,L,0,Adv,BJJ Stars 4,86KG,F,2020
29533,7552,Isaque Bahiense,11697,Tainan Dalpra,L,0,Pts: 8x6,World Champ.,82KG,F,2021
32975,7552,Isaque Bahiense,1188,Leandro Lo,L,0,Pts: 2x0,World Champ.,88KG,F,2022
33269,7552,Isaque Bahiense,10588,Jon Blank,D,0.5,---,Polaris 20,ABS,RR,2022
35034,7552,Isaque Bahiense,11797,Giancarlo Bodoni,L,0,Pts: 6x0,ADCC,88KG,R1,2022
36375,7552,Isaque Bahiense,8514,Fellipe Andrew,L,0,Pts: 6x5,World Pro,85KG,SF,2022
