match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4450,7652,Charles Negromonte,437,Fernando Terere,L,0,Pts: 4x0,European Open,82KG,4F,2013
5374,7652,Charles Negromonte,1188,Leandro Lo,L,0,Pts: 4x2,Pan American,82KG,4F,2014
5551,7652,Charles Negromonte,443,Claudio Mattos,L,0,Referee Decision,Brasileiro,82KG,SF,2014
5715,7652,Charles Negromonte,1272,Leo Nogueira,L,0,Pts: 5x0,World Champ.,ABS,R3,2014
6500,7652,Charles Negromonte,2235,Renato Cardoso,L,0,Referee Decision,European,ABS,R3,2015
6701,7652,Charles Negromonte,3200,Jackson Sousa,L,0,"Pts: 0x0, Adv",London WO,ABS,F,2015
7043,7652,Charles Negromonte,3200,Jackson Sousa,L,0,Pts: 4x0,Rome Open,ABS,SF,2015
7463,7652,Charles Negromonte,1600,Vinicius Marinho,L,0,Pts: 3x0,World Champ.,82KG,8F,2015
8450,7652,Charles Negromonte,4145,Thiago Sa,L,0,Pts: 3x0,NoGi Worlds,85KG,SF,2015
8496,7652,Charles Negromonte,5842,Mahamed Aly,L,0,Toe hold,NoGi Worlds,ABS,8F,2015
8949,7652,Charles Negromonte,289,Alan Finfou,L,0,"Pts: 0x0, Adv",European Open,82KG,SF,2016
9137,7652,Charles Negromonte,3200,Jackson Sousa,L,0,Pts: 4x2,London WO,94KG,F,2016
9142,7652,Charles Negromonte,3200,Jackson Sousa,L,0,Pts: 5x2,London WO,ABS,SF,2016
9626,7652,Charles Negromonte,2235,Renato Cardoso,L,0,Pts: 2x0,World Pro,85KG,8F,2016
10030,7652,Charles Negromonte,1188,Leandro Lo,L,0,Pts: 8x0,World Champ.,88KG,8F,2016
10930,7652,Charles Negromonte,7096,Josh Hinger,L,0,Pts: 11x0,NoGi Worlds,85KG,F,2016
11714,7652,Charles Negromonte,10501,Valdir Araujo,L,0,Referee Decision,ADCC SP Trials,88KG,SF,2017
12610,7652,Charles Negromonte,410,Claudio Calasans,L,0,Kneebar,WP BR Qualifier,85KG,F,2017
