match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
3213,7698,Gabriel Marangoni,174,Bruno Frazatto,L,0,Pts: 3x0,ADCC Rio Trials,66KG,SF,2011
4291,7698,Gabriel Marangoni,,Max Campos,L,0,Points,European NoGi,70KG,F,2012
4297,7698,Gabriel Marangoni,4960,Dimitrius Souza,L,0,Points,European NoGi,ABS,4F,2012
6406,7698,Gabriel Marangoni,,Mauricio Cristo,L,0,Adv,Munich Winter,ABS,SF,2015
6539,7698,Gabriel Marangoni,4163,Marcio Andre,L,0,Pts: 4x2,European,70KG,SF,2015
6703,7698,Gabriel Marangoni,5715,Isaque Paiva,L,0,Triangle,Gramado Trials,65KG,R1,2015
7959,7698,Gabriel Marangoni,4248,Gianni Grippo,L,0,Pts: 2x0,ADCC,66KG,R1,2015
8921,7698,Gabriel Marangoni,1542,Italo Lins,L,0,"Pts: 2x2, Adv",European Open,70KG,4F,2016
9242,7698,Gabriel Marangoni,2401,Gabriel Moraes,L,0,Clock choke,Pan American,64KG,4F,2016
9462,7698,Gabriel Marangoni,6103,Isaac Doederlein,L,0,Points,NY Spring Open,70KG,SF,2016
9691,7698,Gabriel Marangoni,5655,Lucas Barbosa,L,0,RNC,SA Open NoGi,ABS,F,2016
9696,7698,Gabriel Marangoni,179,Rafael Mendes,L,0,Pts: 12x0,San Antonio Open,70KG,F,2016
9873,7698,Gabriel Marangoni,9706,Marcelo Mafra,L,0,Pts: 6x2,Las Vegas Open,76KG,F,2016
9958,7698,Gabriel Marangoni,5414,Osvaldo Moizinho,L,0,Pts: 2x0,World Champ.,70KG,4F,2016
10148,7698,Gabriel Marangoni,5715,Isaque Paiva,L,0,Choke from back,SP BJJ Pro,70KG,SF,2016
10415,7698,Gabriel Marangoni,5715,Isaque Paiva,L,0,Choke from back,Curitiba W. Open,70KG,F,2016
10894,7698,Gabriel Marangoni,1436,Samir Chantre,L,0,Referee Decision,NoGi Worlds,67KG,SF,2016
11560,7698,Gabriel Marangoni,147,Rubens Charles,L,0,Bow and arrow,European Open,70KG,SF,2017
12125,7698,Gabriel Marangoni,1436,Samir Chantre,L,0,Referee Decision,Pan American,64KG,4F,2017
12340,7698,Gabriel Marangoni,,John Gutta,L,0,Points,Chicago Sp. NoGi,ABS,SF,2017
13074,7698,Gabriel Marangoni,2997,Joao Miyao,L,0,Pts: 2x0,World Champ.,64KG,4F,2017
13465,7698,Gabriel Marangoni,2999,Paulo Miyao,L,0,Choke from back,ACBJJ 6,65KG,F,2017
14241,7698,Gabriel Marangoni,2999,Paulo Miyao,L,0,Points,ACBJJ 8,65KG,SF,2017
14906,7698,Gabriel Marangoni,6103,Isaac Doederlein,L,0,Pts: 8x4,European Open,70KG,4F,2018
15321,7698,Gabriel Marangoni,174,Bruno Frazatto,L,0,Points,ACBJJ 11,65KG,SPF,2018
15681,7698,Gabriel Marangoni,,Luciano Queiroz,L,0,Pts: 8x6,Rome Open,70KG,F,2018
16341,7698,Gabriel Marangoni,8069,Pablo Mantovani,L,0,Points,ACBJJ 13,65KG,SPF,2018
16470,7698,Gabriel Marangoni,5414,Osvaldo Moizinho,L,0,Pts: 2x0,World Champ.,70KG,R2,2018
17898,7698,Gabriel Marangoni,9074,Joao Mendes,L,0,Adv,Curitiba SPO,70KG,F,2018
18595,7698,Gabriel Marangoni,9031,Kennedy Maciel,L,0,"Pts: 0x0, Adv",NoGi Worlds,67KG,4F,2018
18887,7698,Gabriel Marangoni,9074,Joao Mendes,L,0,"Pts: 4x4, Adv",European Open,70KG,4F,2019
20249,7698,Gabriel Marangoni,6103,Isaac Doederlein,L,0,Arm in Ezekiel,Brasileiro,70KG,R3,2019
21716,7698,Gabriel Marangoni,10953,Danilo Moreira,L,0,Pts: 4x0,Sao Paulo Open,70KG,R1,2019
22152,7698,Gabriel Marangoni,9150,Cole Franson,L,0,"Pts: 8x8, Adv",European NoGi,67KG,SF,2019
22847,7698,Gabriel Marangoni,8884,Alex Sodre,L,0,Referee Decision,NoGi Worlds,67KG,SF,2019
23086,7698,Gabriel Marangoni,8231,Leo Saggioro,L,0,Pts: 2x0,European Open,70KG,4F,2020
29481,7698,Gabriel Marangoni,7002,Jamil Hill-Taylor,L,0,Choke from back,World Champ.,70KG,8F,2021
3212,7698,Gabriel Marangoni,,Marcelo Andreoli,W,1,Points,ADCC Rio Trials,66KG,4F,2011
3215,7698,Gabriel Marangoni,,Valter Mota,W,1,Calf slicer,ADCC Rio Trials,66KG,3RD,2011
4289,7698,Gabriel Marangoni,,S. Fransceschini,W,1,Footlock,European NoGi,70KG,4F,2012
4290,7698,Gabriel Marangoni,,Cristofer Barrios,W,1,Points,European NoGi,70KG,SF,2012
4322,7698,Gabriel Marangoni,,Romeo Balan,W,1,Toe hold,ADCC Romenia,66KG,R1,2012
4323,7698,Gabriel Marangoni,,Andrei Gheorghe,W,1,Triangle armbar,ADCC Romenia,66KG,4F,2012
4324,7698,Gabriel Marangoni,,Eugen Stanescu,W,1,Armbar,ADCC Romenia,66KG,SF,2012
4325,7698,Gabriel Marangoni,,Octav Anechitei,W,1,Triangle,ADCC Romenia,ABS,F,2012
