match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
5953,7743,Inacio Neto,562,Eduardo Telles,L,0,Armbar,American Nat.,88KG,SF,2014
6044,7743,Inacio Neto,484,Murilo Santana,L,0,Toe hold,NoGi Worlds,88KG,4F,2014
6855,7743,Inacio Neto,4145,Thiago Sa,L,0,Pts: 11x10,Pan American,88KG,8F,2015
7757,7743,Inacio Neto,7760,Pedro Mello,L,0,Points,Austin Open,88KG,F,2015
7763,7743,Inacio Neto,6337,Arnaldo Maidana,L,0,Armbar,Austin Open,ABS,F,2015
8019,7743,Inacio Neto,1017,Gabriel Goulart,L,0,Points,Atlanta W. Open,88KG,F,2015
8447,7743,Inacio Neto,5655,Lucas Barbosa,L,0,"Pts: 4x4, Adv",NoGi Worlds,85KG,4F,2015
8730,7743,Inacio Neto,5636,Manuel Ribamar,L,0,"Pts: 2x2, Adv",San Antonio Open,ABS,SF,2015
8748,7743,Inacio Neto,6156,Tanner Rice,L,0,Referee Decision,Irvine Open,94KG,F,2015
9082,7743,Inacio Neto,5842,Mahamed Aly,L,0,Injury,Houston Open,ABS,F,2016
9318,7743,Inacio Neto,2235,Renato Cardoso,L,0,Pts: 9x2,Pan American,88KG,8F,2016
9446,7743,Inacio Neto,7096,Josh Hinger,L,0,Monoplata,Chicago S. Open,ABS,F,2016
9451,7743,Inacio Neto,7096,Josh Hinger,L,0,Kneebar,Ch. NoGi S. Open,ABS,F,2016
9707,7743,Inacio Neto,,Gabriel Vieira,L,0,Choke from back,San Antonio Open,94KG,F,2016
9710,7743,Inacio Neto,5636,Manuel Ribamar,L,0,Pts: 6x2,San Antonio Open,ABS,4F,2016
10023,7743,Inacio Neto,6375,Ruan Oliveira,L,0,Triangle armbar,World Champ.,88KG,R1,2016
10335,7743,Inacio Neto,5414,Osvaldo Moizinho,L,0,Points,Austin Open,ABS,F,2016
10712,7743,Inacio Neto,6156,Tanner Rice,L,0,Triangle armbar,BJJ Pro LA,94KG,4F,2016
11856,7743,Inacio Neto,7831,Diego Ramalho,L,0,Botinha,Houston Open,88KG,F,2017
12849,7743,Inacio Neto,1003,Diogo Sampaio,L,0,Adv,Dallas Open,88KG,F,2017
13172,7743,Inacio Neto,477,Tarsis Humphreys,L,0,Pts: 2x0,World Champ.,88KG,8F,2017
13486,7743,Inacio Neto,5636,Manuel Ribamar,L,0,Points,Austin Open,94KG,SF,2017
15060,7743,Inacio Neto,9246,Tex Johnson,L,0,Kneebar,Atlanta W. Open,94KG,F,2018
15063,7743,Inacio Neto,4789,Marcos Tinoco,L,0,Adv,Atlanta W. Open,ABS,4F,2018
15545,7743,Inacio Neto,8729,Matt Leighton,L,0,Referee Decision,F2W 66,94KG,SPF,2018
16579,7743,Inacio Neto,3009,Keenan Cornelius,L,0,Armbar,World Champ.,94KG,8F,2018
17531,7743,Inacio Neto,7399,Horlando Monteiro,L,0,Points,Atlanta SMO,94KG,F,2018
24399,7743,Inacio Neto,6375,Ruan Oliveira,L,0,Pts: 2x0,Houston Open,94KG,RR,2020
24400,7743,Inacio Neto,8634,Rafael Vasconcelos,L,0,Pts: 2x0,Houston Open,94KG,RR,2020
24581,7743,Inacio Neto,12566,Rodrigo Tatu,L,0,"Pts: 0x0, Adv",American Nats,94KG,SF,2020
5939,7743,Inacio Neto,,Ismael Miranda,W,1,Pts: 6x4,Grappling Games,88KG,SF,2014
5940,7743,Inacio Neto,7660,Alex Martins,W,1,Verbal tap,Grappling Games,88KG,F,2014
5960,7743,Inacio Neto,,Jason Selva,W,1,Triangle,Am. Nat. NoGi,85KG,F,2014
7471,7743,Inacio Neto,,John Jordan,W,1,Choke from back,World Champ.,88KG,R1,2015
7756,7743,Inacio Neto,,Robert Yamashita,W,1,Points,Austin Open,88KG,SF,2015
7761,7743,Inacio Neto,6043,Lucas Pinheiro,W,1,Pts: 12x10,Austin Open,ABS,SF,2015
8018,7743,Inacio Neto,,Jonathan Swift,W,1,N/A,Atlanta W. Open,88KG,SF,2015
