match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
9141,7831,Diego Dias Ramalho,1263,Lucio Rodrigues,L,0,Points,London WO,ABS,SF,2016
9312,7831,Diego Dias Ramalho,5423,Matheus Diniz,L,0,Pts: 13x0,Pan American,88KG,R1,2016
9783,7831,Diego Dias Ramalho,4430,Patrick Gaudio,L,0,Triangle,Brasileiro,88KG,4F,2016
9836,7831,Diego Dias Ramalho,2235,Renato Cardoso,L,0,Wristlock,Brasileiro,ABS,4F,2016
12089,7831,Diego Dias Ramalho,1534,R. Evangelista,L,0,Referee Decision,Pan American,ABS,R1,2017
12218,7831,Diego Dias Ramalho,2235,Renato Cardoso,L,0,Kneebar,Pan American,88KG,4F,2017
12395,7831,Diego Dias Ramalho,7914,Nick Calvanese,L,0,Choke from back,NY Spring Open,88KG,F,2017
12863,7831,Diego Dias Ramalho,4465,Andris Brunovskis,L,0,Baratoplata,Las Vegas Open,82KG,F,2017
12956,7831,Diego Dias Ramalho,,Piter Frank,L,0,Kneebar,San Diego Open,82KG,4F,2017
13130,7831,Diego Dias Ramalho,4235,Victor Silverio,L,0,"Pts: 2x2, Adv",World Champ.,82KG,R1,2017
13313,7831,Diego Dias Ramalho,5655,Lucas Barbosa,L,0,"Pts: 0x0, Adv",American NG Nats,85KG,SF,2017
13331,7831,Diego Dias Ramalho,7096,Josh Hinger,L,0,Guillotine,American NG Nats,ABS,F,2017
13665,7831,Diego Dias Ramalho,,K. Duarte,L,0,Pts: 2x0,JJ Net Open,ABS,SF,2017
13823,7831,Diego Dias Ramalho,4235,Victor Silverio,L,0,"Pts: 0x0, Adv",Grand Slam LA,85KG,F,2017
14022,7831,Diego Dias Ramalho,6354,Jonathan Satava,L,0,Pts: 4x0,No Gi Pan Am.,85KG,SF,2017
14034,7831,Diego Dias Ramalho,3200,Jackson Sousa,L,0,Pts: 4x0,No Gi Pan Am.,ABS,F,2017
14260,7831,Diego Dias Ramalho,7922,Nick Schrock,L,0,Points,SJJIF Worlds,94KG,SF,2017
14266,7831,Diego Dias Ramalho,4521,Erberth Santos,L,0,50/50 armbar,SJJIF Worlds,ABS,4F,2017
14700,7831,Diego Dias Ramalho,3009,Keenan Cornelius,L,0,RNC,NoGi Worlds,85KG,SF,2017
15018,7831,Diego Dias Ramalho,7143,Breno Bittencourt,L,0,Pts: 8x6,LA Open,82KG,SF,2018
15037,7831,Diego Dias Ramalho,8357,Gustavo Batista,L,0,Pts: 16x0,LA Open,ABS,F,2018
15151,7831,Diego Dias Ramalho,8516,Lucas Valente,L,0,Referee Decision,Houston Open,82KG,F,2018
15412,7831,Diego Dias Ramalho,2107,Otavio Sousa,L,0,Ezekiel,Pan American,82KG,8F,2018
16013,7831,Diego Dias Ramalho,7539,Renato Canuto,L,0,Points,Marianas Open,81KG,4F,2018
16385,7831,Diego Dias Ramalho,8357,Gustavo Batista,L,0,Referee Decision,ACB North America,ABS,F,2018
16386,7831,Diego Dias Ramalho,8357,Gustavo Batista,L,0,Referee Decision,ACB North America,ABS,3RD,2018
16531,7831,Diego Dias Ramalho,7552,Isaque Bahiense,L,0,North south choke,World Champ.,82KG,R2,2018
16820,7831,Diego Dias Ramalho,9067,Leonardo Lara,L,0,Pts: 2x0,ACBJJ World,75KG,4F,2018
17138,7831,Diego Dias Ramalho,,Sandro Vieira,L,0,Referee Decision,ACBJJ Poland,85KG,F,2018
17146,7831,Diego Dias Ramalho,9637,Sergio Rios,L,0,Submission,ACBJJ Poland,ABS,4F,2018
17590,7831,Diego Dias Ramalho,5636,Manuel Ribamar,L,0,Referee Decision,Grand Slam LA,85KG,SF,2018
18306,7831,Diego Dias Ramalho,7552,Isaque Bahiense,L,0,Pts: 11x0,Grand Slam RJ,85KG,F,2018
18853,7831,Diego Dias Ramalho,5636,Manuel Ribamar,L,0,Armbar,King of Mats II,85KG,RR,2019
18856,7831,Diego Dias Ramalho,2226,DJ Jackson,L,0,"Pts: 0x0, Adv",King of Mats II,85KG,RR,2019
18857,7831,Diego Dias Ramalho,7552,Isaque Bahiense,L,0,Bow and arrow,King of Mats II,85KG,RR,2019
19441,7831,Diego Dias Ramalho,8448,Pedro Ramalho,L,0,Pts: 6x0,Grand Slam LDN,77KG,4F,2019
19447,7831,Diego Dias Ramalho,8448,Pedro Ramalho,L,0,"Pts: 2x2, Adv",Grand Slam LDN,77KG,3RD,2019
20105,7831,Diego Dias Ramalho,8105,Tommy Langaker,L,0,Pts: 4x0,World Pro,77KG,4F,2019
21624,7831,Diego Dias Ramalho,8105,Tommy Langaker,L,0,Armbar,King Of Mats,85KG,RR,2019
21626,7831,Diego Dias Ramalho,4789,Marcos Tinoco,L,0,Footlock,King Of Mats,85KG,RR,2019
21629,7831,Diego Dias Ramalho,8357,Gustavo Batista,L,0,Bow and arrow,King Of Mats,85KG,RR,2019
21681,7831,Diego Dias Ramalho,4460,Jaime Canuto,L,0,"Pts: 2x2, Adv",Grand Slam LA,77KG,F,2019
22169,7831,Diego Dias Ramalho,10506,Jeferson Guaresi,L,0,Pts: 8x0,European NoGi,79KG,F,2019
22307,7831,Diego Dias Ramalho,11015,Pablo Lavaselli,L,0,Referee Decision,Grand Slam RJ,77KG,4F,2019
22877,7831,Diego Dias Ramalho,,Felipe Silva,L,0,Pts: 4x2,NoGi Worlds,79KG,4F,2019
22986,7831,Diego Dias Ramalho,8105,Tommy Langaker,L,0,Armbar,Grand Slam AD,77KG,F,2020
23628,7831,Diego Dias Ramalho,8308,Max Lindblad,L,0,Pts: 7x6,Grand Slam LDN,77KG,4F,2020
24508,7831,Diego Dias Ramalho,1534,R. Evangelista,L,0,Referee Decision,No Gi Pan Am.,O97KG,SF,2020
25462,7831,Diego Dias Ramalho,11991,Pedro Marinho,L,0,Guillotine,Orlando NGO,91KG,SF,2021
25475,7831,Diego Dias Ramalho,11797,Giancarlo Bodoni,L,0,Pts: 5x2,Orlando NGO,ABS,SF,2021
26040,7831,Diego Dias Ramalho,9002,Matheus Gabriel,L,0,Pts: 2x0,N.Orleans NGO,ABS,F,2021
26172,7831,Diego Dias Ramalho,9157,Devhonte Johnson,L,0,Referee Decision,NoGi Pan Am.,97KG,SF,2021
26290,7831,Diego Dias Ramalho,4248,Gianni Grippo,L,0,Referee Decision,Miami NGO,ABS,F,2021
26566,7831,Diego Dias Ramalho,7502,Paul Ardila,L,0,"Pts: 0x0, Adv",Atlanta NGO,100KG,F,2021
26746,7831,Diego Dias Ramalho,9559,Rida Haisam,L,0,Armbar,American NGN,97KG,F,2021
26884,7831,Diego Dias Ramalho,12236,Joao Costa,L,0,"Pts: 0x0, Adv",Chicago NGO,97KG,F,2021
26889,7831,Diego Dias Ramalho,11707,Oliver Taza,L,0,Kneebar,Chicago NGO,ABS,SF,2021
27511,7831,Diego Dias Ramalho,12203,Austin Baker,L,0,Choke from back,Pan American,ABS,8F,2021
