match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
3451,7872,Gilson Nunes,2304,Fernando Vieira,L,0,Points,Amazon Meeting,70KG,N/A,2011
3462,7872,Gilson Nunes,790,Mario Reis,L,0,Choke from back,CBJJE Brasileiro,70KG,F,2011
5201,7872,Gilson Nunes,1178,Theodoro Canal,L,0,"Pts: 2x2, Adv",Terra do Sol,70KG,SF,2013
5204,7872,Gilson Nunes,,Talison Soares,L,0,Points,Pans CBLP,70KG,F,2013
6163,7872,Gilson Nunes,1542,Italo Lins,L,0,Referee Decision,Brasileiro CBLP,70KG,F,2014
7094,7872,Gilson Nunes,5715,Isaque Paiva,L,0,Points,World Pro,65KG,SF,2015
7717,7872,Gilson Nunes,5715,Isaque Paiva,L,0,Adv,Rio Winter Open,70KG,F,2015
9576,7872,Gilson Nunes,4163,Marcio Andre,L,0,Pts: 2x0,World Pro,69KG,4F,2016
10149,7872,Gilson Nunes,5715,Isaque Paiva,L,0,Choke from back,SP BJJ Pro,70KG,F,2016
11128,7872,Gilson Nunes,2997,Joao Miyao,L,0,Pts: 4x2,NY BJJ Pro,70KG,SF,2016
12138,7872,Gilson Nunes,5414,Osvaldo Moizinho,L,0,Pts: 8x4,Pan American,70KG,4F,2017
13097,7872,Gilson Nunes,147,Rubens Charles,L,0,Referee Decision,World Champ.,70KG,4F,2017
14675,7872,Gilson Nunes,5930,Rodrigo Freitas,L,0,Pts: 4x2,NoGi Worlds,73KG,4F,2017
15051,7872,Gilson Nunes,4248,Gianni Grippo,L,0,"Pts: 4x4, Adv",Atlanta W. Open,76KG,F,2018
15387,7872,Gilson Nunes,7002,Jamil Hill-Taylor,L,0,"Pts: 0x0, Adv",Pan American,70KG,SF,2018
16000,7872,Gilson Nunes,,Alex Huddleston,L,0,Points,Denver Open,ABS,R1,2018
16313,7872,Gilson Nunes,8516,Lucas Valente,L,0,Triangle,Dallas SPO,76KG,F,2018
16474,7872,Gilson Nunes,8231,Leo Saggioro,L,0,Pts: 2x0,World Champ.,70KG,R2,2018
18601,7872,Gilson Nunes,9031,Kennedy Maciel,L,0,Pts: 2x0,NoGi Worlds,67KG,F,2018
20389,7872,Gilson Nunes,8516,Lucas Valente,L,0,Pts: 4x2,Dallas SPO,76KG,F,2019
20500,7872,Gilson Nunes,,Paulo Martins,L,0,Points,Denver Open,76KG,SF,2019
20612,7872,Gilson Nunes,5930,Rodrigo Freitas,L,0,Referee Decision,World Champ.,76KG,R1,2019
23234,7872,Gilson Nunes,11015,Pablo Lavaselli,L,0,Pts: 2x0,Atlanta WO,76KG,4F,2020
