match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
3397,7931,Jose Carlos Sousa,410,Claudio Calasans,L,0,Armbar,Pan Am CBJJE,ABS,NA,2011
12767,7931,Jose Carlos Sousa,5061,Gabriel Rollo,L,0,Ezekiel,Brasileiro,76KG,SF,2017
11424,7931,Jose Carlos Sousa,,Rael A.,W,1,Pts: 2x0,Desafio Verao,82KG,SF,2017
11425,7931,Jose Carlos Sousa,,Abner Soares,W,1,Mounted X choke,Desafio Verao,82KG,F,2017
12273,7931,Jose Carlos Sousa,,Unknown,W,1,Submission,Rio Fall Open,76KG,R1,2017
12274,7931,Jose Carlos Sousa,,Unknown,W,1,Submission,Rio Fall Open,76KG,4F,2017
12275,7931,Jose Carlos Sousa,,Eduardo Freitas,W,1,Choke,Rio Fall Open,76KG,SF,2017
12276,7931,Jose Carlos Sousa,,Ary Gomes,W,1,Mounted triangle,Rio Fall Open,76KG,F,2017
12760,7931,Jose Carlos Sousa,4328,AJ Agazarm,W,1,Pts: 22x2,Brasileiro,76KG,R2,2017
12766,7931,Jose Carlos Sousa,3313,Juan Kamezawa,W,1,Pts: 4x0,Brasileiro,76KG,4F,2017
14303,7931,Jose Carlos Sousa,,Khaled Anbar,W,1,Submission,World Police Games,77KG,R1,2017
14304,7931,Jose Carlos Sousa,,William Santiago,W,1,Mounted X choke,World Police Games,77KG,4F,2017
14305,7931,Jose Carlos Sousa,,Lumomir Sotular,W,1,Mounted X choke,World Police Games,77KG,SF,2017
14306,7931,Jose Carlos Sousa,,Hamdan Saleh,W,1,Submission,World Police Games,77KG,F,2017
