match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
12017,8346,Craig Jones,8394,Vagner Rocha,L,0,EBI/OT,EBI 11,77KG,SF,2017
13888,8346,Craig Jones,3009,Keenan Cornelius,L,0,Pts: 13x0,ADCC,88KG,SF,2017
13890,8346,Craig Jones,84,Alexandre Ribeiro,L,0,Pts: 2x0,ADCC,88KG,3RD,2017
13935,8346,Craig Jones,6550,Gordon Ryan,L,0,Katagatame,ADCC,ABS,4F,2017
14553,8346,Craig Jones,6550,Gordon Ryan,L,0,EBI/OT,EBI 14,ABS,F,2017
14575,8346,Craig Jones,484,Murilo Santana,L,0,"Pts: 4x4, Pen",Kasai Pro,ABS,SPF,2017
14698,8346,Craig Jones,7652,C. Negromonte,L,0,Pts: 7x0,NoGi Worlds,85KG,4F,2017
15874,8346,Craig Jones,8427,Michael Perez,L,0,Pts: 3x2,Kasai Pro 2,84KG,RR,2018
16750,8346,Craig Jones,2226,DJ Jackson,L,0,"Pts: 0x0, Pen",Boa Super 8,ABS,F,2018
16932,8346,Craig Jones,2226,DJ Jackson,L,0,Referee Decision,Spider Inv. 4F,O76KG,SPF,2018
17746,8346,Craig Jones,6550,Gordon Ryan,L,0,Short choke,Quintet 3,ABS,F,2018
19801,8346,Craig Jones,8974,Kaynan Duarte,L,0,Short choke,Kasai 5,93KG,RR,2019
20865,8346,Craig Jones,5423,Matheus Diniz,L,0,Points,Third Coast,85KG,SPF,2019
21894,8346,Craig Jones,5423,Matheus Diniz,L,0,Pts: 2x0,ADCC,88KG,F,2019
23833,8346,Craig Jones,11789,Mason Fowler,L,0,EBI/OT,SUG 16,ABS,SPF,2020
23913,8346,Craig Jones,11789,Mason Fowler,L,0,EBI/OT,SUG 17,ABS,SPF,2020
29782,8346,Craig Jones,,Sean Brady,L,0,Referee Decision,Fury Pro,90KG,SPF,2021
29819,8346,Craig Jones,11991,Pedro Marinho,L,0,Referee Decision,WNO 11,93KG,SPF,2022
35062,8346,Craig Jones,8974,Kaynan Duarte,L,0,Pts: 12x0,ADCC,99KG,F,2022
12012,8346,Craig Jones,,Nathan Orchard,W,1,Inside heel hook,EBI 11,77KG,R1,2017
12016,8346,Craig Jones,7321,Darragh OConaill,W,1,Kneebar,EBI 11,77KG,4F,2017
12985,8346,Craig Jones,,Micah Brakefield,W,1,RNC,SUG 4,N/A,SPF,2017
13877,8346,Craig Jones,1188,Leandro Lo,W,1,RNC,ADCC,88KG,E1,2017
13885,8346,Craig Jones,484,Murilo Santana,W,1,Flying triangle,ADCC,88KG,4F,2017
13930,8346,Craig Jones,,Chael Sonnen,W,1,Outside heel hook,ADCC,ABS,E1,2017
14035,8346,Craig Jones,,Ben Egli,W,1,Outside heel hook,SUG 5,88KG,SPF,2017
14219,8346,Craig Jones,,Bob Firas,W,1,Heel hook,Coffs Harbour Inv,ABS,SPF,2017
14546,8346,Craig Jones,,Andy Burke,W,1,Inside heel hook,EBI 14,ABS,R1,2017
14550,8346,Craig Jones,6419,Marcel Goncalves,W,1,Inside heel hook,EBI 14,ABS,4F,2017
14552,8346,Craig Jones,9246,Tex Johnson,W,1,Inside heel hook,EBI 14,ABS,SF,2017
15168,8346,Craig Jones,1031,Jake Shields,W,1,Inside heel hook,Polaris 6,84KG,SPF,2018
15829,8346,Craig Jones,,Mindas Verzbickas,W,1,Kneebar,Quintet,ABS,RR,2018
15830,8346,Craig Jones,,Sergei Grecicho,D,0.5,---,Quintet,ABS,RR,2018
15839,8346,Craig Jones,1848,Marcos Souza,W,1,Kneebar,Quintet,ABS,RR,2018
15869,8346,Craig Jones,7914,Nick Calvanese,W,1,Triangle,Kasai Pro 2,84KG,RR,2018
15871,8346,Craig Jones,8116,Dante Leon,W,1,Pts: 2x0,Kasai Pro 2,84KG,RR,2018
15881,8346,Craig Jones,6531,Richie Martinez,W,1,Inside heel hook,Kasai Pro 2,84KG,3RD,2018
16746,8346,Craig Jones,,Roberto Frias,W,1,Pts: 7x0,Boa Super 8,ABS,4F,2018
16749,8346,Craig Jones,,Ben Hodgkinson,W,1,Outside heel hook,Boa Super 8,ABS,SF,2018
17229,8346,Craig Jones,431,Rousimar Palhares,W,1,Referee Decision,Kasai Pro 3,ABS,SPF,2018
17463,8346,Craig Jones,5423,Matheus Diniz,W,1,Referee Decision,Grapple Fest,ABS,SPF,2018
17741,8346,Craig Jones,6531,Richie Martinez,W,1,Terra footlock,Quintet 3,ABS,SF,2018
17742,8346,Craig Jones,,Adam Sachnoff,W,1,RNC,Quintet 3,ABS,SF,2018
17745,8346,Craig Jones,,Antoine Jaoude,W,1,RNC,Quintet 3,ABS,F,2018
18514,8346,Craig Jones,3009,Keenan Cornelius,W,1,Referee Decision,Polaris 8,93KG,SPF,2018
