match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
2422,8394,Vagner Rocha,,Carlos Ferreira,L,0,Points,NoGi Worlds,79KG,4F,2009
2798,8394,Vagner Rocha,,Matt Arroyo,L,0,Points,MMAC Grappling,ABS,F,2011
3233,8394,Vagner Rocha,188,Augusto Mendes,L,0,Footlock,ADCC,77KG,R1,2011
4028,8394,Vagner Rocha,6253,Diego Borges,L,0,Points,World Champ.,82KG,R1,2012
4348,8394,Vagner Rocha,,G. Tonon,L,0,Points,ADCC US Trials,77KG,F,2013
7948,8394,Vagner Rocha,2107,Otavio Sousa,L,0,Referee Decision,ADCC,77KG,4F,2015
7996,8394,Vagner Rocha,2403,Joao Rocha,L,0,Pts: 3x0,ADCC,ABS,4F,2015
10686,8394,Vagner Rocha,4328,AJ Agazarm,L,0,DQ,F2W 14,77KG,SPF,2016
10763,8394,Vagner Rocha,6550,Gordon Ryan,D,0.5,---,Sapateiro 2,ABS,SPF,2016
12019,8394,Vagner Rocha,6550,Gordon Ryan,L,0,RNC,EBI 11,77KG,F,2017
13248,8394,Vagner Rocha,2226,DJ Jackson,L,0,Pts: 25x8,Grappling Pro,77KG,SPF,2017
13904,8394,Vagner Rocha,358,Lucas Lepri,L,0,Referee Decision,ADCC,77KG,SF,2017
14235,8394,Vagner Rocha,5649,Garry Tonon,L,0,Inside heel hook,EBI 13,70KG,F,2017
14672,8394,Vagner Rocha,7872,Gilson Nunes,L,0,"Pts: 0x0, Adv",NoGi Worlds,73KG,R2,2017
14730,8394,Vagner Rocha,5861,Jared Dopp,L,0,"Pts: 0x0, Adv",NoGi Worlds,ABS,R1,2017
16960,8394,Vagner Rocha,6563,Francisco Iturralde,L,0,Referee Decision,W.S.O.G.,81KG,8F,2018
17249,8394,Vagner Rocha,7539,Renato Canuto,L,0,"Pts: 1x1, Pen",Kasai Pro 3,77KG,F,2018
18193,8394,Vagner Rocha,7539,Renato Canuto,L,0,Pts: 3x0,Kasai Pro 4,77KG,SPF,2018
21255,8394,Vagner Rocha,967,JT Torres,L,0,Referee Decision,F2W 119,77KG,SPF,2019
21898,8394,Vagner Rocha,967,JT Torres,L,0,Pts: 3x0,ADCC,77KG,F,2019
22417,8394,Vagner Rocha,12003,Tye Ruotolo,L,0,Referee Decision,F2W 131,77KG,SPF,2019
23740,8394,Vagner Rocha,8346,Craig Jones,L,0,EBI/OT,SUG 14,88KG,SPF,2020
23810,8394,Vagner Rocha,10880,Roberto Jimenez,L,0,Referee Decision,3CG Kumite III,81KG,F,2020
23924,8394,Vagner Rocha,84,Alexandre Ribeiro,D,0.5,---,BJJ Bet,95KG,SPF,2020
25396,8394,Vagner Rocha,6550,Gordon Ryan,L,0,Reverse triangle,WNO 7,93KG,SPF,2021
28319,8394,Vagner Rocha,11991,Pedro Marinho,L,0,Pts: 4x2,NoGi Worlds,91KG,F,2021
33510,8394,Vagner Rocha,2416,Felipe Pena,L,0,EBI/OT,Honor Challenge,ABS,F,2022
35045,8394,Vagner Rocha,5655,Lucas Barbosa,L,0,Referee Decision,ADCC,88KG,SF,2022
1845,8394,Vagner Rocha,,David Vieira,W,1,Points,Copa America,ABS,F,2008
2789,8394,Vagner Rocha,,G. Geiger,W,1,Points,ADCC US Trials,77KG,R1,2010
2790,8394,Vagner Rocha,9640,Brian Beaury,W,1,Anaconda choke,ADCC US Trials,77KG,R2,2010
2791,8394,Vagner Rocha,,B. McLaugh,W,1,Armbar,ADCC US Trials,77KG,4F,2010
2792,8394,Vagner Rocha,,Peter Runez,W,1,Choke,ADCC US Trials,77KG,SF,2010
2793,8394,Vagner Rocha,,Tony Tipton,W,1,Points,ADCC US Trials,77KG,F,2010
