match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
13355,8477,Igor Paiva,5655,Lucas Barbosa,L,0,Inverted armbar,American Nats,88KG,4F,2017
13485,8477,Igor Paiva,6836,John Combs,L,0,Flying triangle,Austin Open,82KG,F,2017
13494,8477,Igor Paiva,7743,Inacio Neto,L,0,Points,Austin NG Open,83KG,F,2017
13590,8477,Igor Paiva,4655,Michael Liera,L,0,Pts: 2x0,Seattle Open,82KG,F,2017
13626,8477,Igor Paiva,8116,Dante Leon,L,0,Choke from back,Chicago SMO,82KG,SF,2017
14068,8477,Igor Paiva,5655,Lucas Barbosa,L,0,North south choke,Dallas FO,88KG,F,2017
14220,8477,Igor Paiva,7743,Inacio Neto,D,0.5,---,Fury Fighting,ABS,SPF,2017
14411,8477,Igor Paiva,4235,Victor Silverio,L,0,Points,BJJ NY Pro,82KG,4F,2017
15056,8477,Igor Paiva,5423,Matheus Diniz,L,0,Bread slicer,Atlanta W. Open,88KG,SF,2018
15150,8477,Igor Paiva,7831,Diego Ramalho,L,0,Adv,Houston Open,82KG,SF,2018
15408,8477,Igor Paiva,6071,Gabriel Arges,L,0,"Pts: 8x0, Adv",Pan American,82KG,8F,2018
16528,8477,Igor Paiva,5347,Yago Souza,L,0,Pts: 5x0,World Champ.,82KG,R2,2018
19620,8477,Igor Paiva,4460,Jaime Canuto,L,0,Pts: 2x0,Pan American,82KG,8F,2019
20639,8477,Igor Paiva,4655,Michael Liera,L,0,Pts: 2x0,World Champ.,82KG,R1,2019
21546,8477,Igor Paiva,,Thiago Lemos,L,0,Points,Dallas SMO,82KG,F,2019
21553,8477,Igor Paiva,10658,Matheus Luna,L,0,Pts: 3x0,Dallas SMO,ABS,SF,2019
13482,8477,Igor Paiva,,William Abreu,W,1,Points,Austin Open,82KG,4F,2017
13483,8477,Igor Paiva,,Douglas Kallin,W,1,Toe hold,Austin Open,82KG,SF,2017
13492,8477,Igor Paiva,7519,Eliot Kelly,W,1,Pts: 4x2,Austin Open,ABS,SF,2017
13493,8477,Igor Paiva,,Wellington Peroto,W,1,Points,Austin NG Open,83KG,SF,2017
13589,8477,Igor Paiva,,Joshua Guzman,W,1,Points,Seattle Open,82KG,SF,2017
14066,8477,Igor Paiva,,Rennick Kama,W,1,Choke from back,Dallas FO,88KG,SF,2017
14408,8477,Igor Paiva,9640,Brian Beaury,W,1,Toe hold,BJJ NY Pro,82KG,R1,2017
15055,8477,Igor Paiva,,Hugo Alcala,W,1,Points,Atlanta W. Open,88KG,4F,2018
15148,8477,Igor Paiva,,Erick Newton,W,1,N/A,Houston Open,82KG,4F,2018
15290,8477,Igor Paiva,,Ygor Machado,W,1,N/A,San Francisco Open,82KG,4F,2018
15407,8477,Igor Paiva,,Athos Miranda,W,1,"Pts: 2x2, Adv",Pan American,82KG,R1,2018
16521,8477,Igor Paiva,,D. Colino,W,1,Pts: 2x0,World Champ.,82KG,R1,2018
16944,8477,Igor Paiva,,Edson Cortez,W,1,Points,Austin Open,82KG,SF,2018
16945,8477,Igor Paiva,,William Durkee,W,1,Choke from back,Austin Open,82KG,F,2018
17665,8477,Igor Paiva,,Will Durkee,W,1,Referee Decision,F2W 87 Pro,80KG,SPF,2018
18472,8477,Igor Paiva,,Rhalan Gracie,W,1,Points,San Antonio Open,88KG,SF,2018
18473,8477,Igor Paiva,,Jose Portillo,W,1,Toe hold,San Antonio Open,88KG,F,2018
19394,8477,Igor Paiva,8516,Lucas Valente,W,1,Pts: 2x0,Houston Open,82KG,F,2019
19606,8477,Igor Paiva,7321,Darragh OConaill,W,1,Referee Decision,Pan American,82KG,R1,2019
20428,8477,Igor Paiva,,John Marks,W,1,Adv,American Cup,83KG,F,2019
20815,8477,Igor Paiva,5756,Wellington Luis,W,1,Points,Rio Open,82KG,4F,2019
20816,8477,Igor Paiva,,Ygor Dantas,W,1,Points,Rio Open,82KG,SF,2019
20818,8477,Igor Paiva,9312,Alexandre Cavaliere,W,1,Adv,Rio Open,82KG,F,2019
21545,8477,Igor Paiva,,Joe Tonche,W,1,Points,Dallas SMO,82KG,SF,2019
21552,8477,Igor Paiva,7636,Vinicius Garcia,W,1,Points,Dallas SMO,ABS,4F,2019
21956,8477,Igor Paiva,,Jonathon Hunter,W,1,Referee Decision,F2W 127,88KG,SPF,2019
23194,8477,Igor Paiva,,Andre Gomes,W,1,Referee Decision,Kasai Pro 7,84KG,SPF,2020
23729,8477,Igor Paiva,,Jeff Hammond,W,1,Referee Decision,F2W 140,84KG,SPF,2020
